"","experimentid","Cell.Number","Cell.Type","Substrate","Loading","Media","Donor","Days.CM","Passage","Purpose","objArrayNum","cy.RNA","tmr.RNA","GAPDH.RNA","alexa.RNA","cy.Threshold","Neighbors","group","dataFile","area","isDead","AGGperGAPDH","log.cy.RNA","log.GAPDH.RNA","log.AGGperGAPDH"
"4756","G23",1,"chondrocyte","glass","static","Basal","4",NA,"0","chondrocyte dedifferentiation core",NA,4,17,11,1,NA,NA,NA,"data001.mat",NA,NA,0.363636363636364,1.6094379124341,2.484906649788,0.31015492830384
"4757","G23",2,"chondrocyte","glass","static","Basal","4",NA,"0","chondrocyte dedifferentiation core",NA,8,0,14,2,NA,NA,NA,"data001.mat",NA,NA,0.571428571428571,2.19722457733622,2.70805020110221,0.451985123743057
"4758","G23",3,"chondrocyte","glass","static","Basal","4",NA,"0","chondrocyte dedifferentiation core",NA,117,113,91,1,NA,NA,NA,"data001.mat",NA,NA,1.28571428571429,4.77068462446567,4.52178857704904,0.826678573184468
"4759","G23",4,"chondrocyte","glass","static","Basal","4",NA,"0","chondrocyte dedifferentiation core",NA,279,19,99,1,NA,NA,NA,"data001.mat",NA,NA,2.81818181818182,5.63478960316925,4.60517018598809,1.339774345485
"4760","G23",5,"chondrocyte","glass","static","Basal","4",NA,"0","chondrocyte dedifferentiation core",NA,11,7,70,2,NA,NA,NA,"data002.mat",NA,NA,0.157142857142857,2.484906649788,4.26267987704132,0.14595391262308
"4761","G23",6,"chondrocyte","glass","static","Basal","4",NA,"0","chondrocyte dedifferentiation core",NA,102,39,169,1,NA,NA,NA,"data002.mat",NA,NA,0.603550295857988,4.63472898822964,5.13579843705026,0.472220105956627
"4762","G23",7,"chondrocyte","glass","static","Basal","4",NA,"0","chondrocyte dedifferentiation core",NA,310,392,330,3,NA,NA,NA,"data003.mat",NA,NA,0.939393939393939,5.73979291217923,5.80211837537706,0.662375521893192
"4763","G23",8,"chondrocyte","glass","static","Basal","4",NA,"0","chondrocyte dedifferentiation core",NA,203,34,137,1,NA,NA,NA,"data003.mat",NA,NA,1.48175182481752,5.31811999384422,4.92725368515721,0.908964691782082
"4764","G23",9,"chondrocyte","glass","static","Basal","4",NA,"0","chondrocyte dedifferentiation core",NA,377,17,53,1,NA,NA,NA,"data003.mat",NA,NA,7.11320754716981,5.93489419561959,3.98898404656427,2.09349329513549
"4765","G23",10,"chondrocyte","glass","static","Basal","4",NA,"0","chondrocyte dedifferentiation core",NA,208,9,60,7,NA,NA,NA,"data004.mat",NA,NA,3.46666666666667,5.34233425196481,4.11087386417331,1.49664241828876
"4766","G23",11,"chondrocyte","glass","static","Basal","4",NA,"0","chondrocyte dedifferentiation core",NA,26,34,18,1,NA,NA,NA,"data004.mat",NA,NA,1.44444444444444,3.29583686600433,2.94443897916644,0.893817876022097
"4767","G23",12,"chondrocyte","glass","static","Basal","4",NA,"0","chondrocyte dedifferentiation core",NA,80,8,15,1,NA,NA,NA,"data005.mat",NA,NA,5.33333333333333,4.39444915467244,2.77258872223978,1.84582669049833
"4769","G23",14,"chondrocyte","glass","static","Basal","4",NA,"0","chondrocyte dedifferentiation core",NA,171,4,198,3,NA,NA,NA,"data005.mat",NA,NA,0.863636363636364,5.14749447681345,5.29330482472449,0.622529613345992
"4770","G23",15,"chondrocyte","glass","static","Basal","4",NA,"0","chondrocyte dedifferentiation core",NA,167,223,101,3,NA,NA,NA,"data005.mat",NA,NA,1.65346534653465,5.12396397940326,4.62497281328427,0.975866463669597
"4771","G23",16,"chondrocyte","glass","static","Basal","4",NA,"0","chondrocyte dedifferentiation core",NA,52,14,128,2,NA,NA,NA,"data006.mat",NA,NA,0.40625,3.97029191355212,4.85981240436167,0.340926586970593
"4772","G23",17,"chondrocyte","glass","static","Basal","4",NA,"0","chondrocyte dedifferentiation core",NA,215,21,209,3,NA,NA,NA,"data006.mat",NA,NA,1.02870813397129,5.37527840768417,5.34710753071747,0.707399203267147
"4773","G23",18,"chondrocyte","glass","static","Basal","4",NA,"0","chondrocyte dedifferentiation core",NA,6,58,16,3,NA,NA,NA,"data006.mat",NA,NA,0.375,1.94591014905531,2.83321334405622,0.318453731118535
"4774","G23",19,"chondrocyte","glass","static","Basal","4",NA,"0","chondrocyte dedifferentiation core",NA,45,8,17,1,NA,NA,NA,"data006.mat",NA,NA,2.64705882352941,3.8286413964891,2.89037175789616,1.29392104098888
"4775","G23",20,"chondrocyte","glass","static","Basal","4",NA,"0","chondrocyte dedifferentiation core",NA,105,6,226,1,NA,NA,NA,"data006.mat",NA,NA,0.464601769911504,4.66343909411207,5.4249500174814,0.381583376104777
"4776","G23",21,"chondrocyte","glass","static","Basal","4",NA,"0","chondrocyte dedifferentiation core",NA,121,106,199,2,NA,NA,NA,"data007.mat",NA,NA,0.608040201005025,4.80402104473326,5.29831736654804,0.47501617106928
"4777","G23",22,"chondrocyte","glass","static","Basal","4",NA,"0","chondrocyte dedifferentiation core",NA,8,2,15,3,NA,NA,NA,"data007.mat",NA,NA,0.533333333333333,2.19722457733622,2.77258872223978,0.42744401482694
"4778","G23",23,"chondrocyte","glass","static","Basal","4",NA,"0","chondrocyte dedifferentiation core",NA,82,7,81,1,NA,NA,NA,"data007.mat",NA,NA,1.01234567901235,4.4188406077966,4.40671924726425,0.699301046134324
"4779","G23",24,"chondrocyte","glass","static","Basal","4",NA,"0","chondrocyte dedifferentiation core",NA,86,4,246,2,NA,NA,NA,"data007.mat",NA,NA,0.349593495934959,4.46590811865458,5.50938833662798,0.299803432984126
"4780","G23",25,"chondrocyte","glass","static","Basal","4",NA,"0","chondrocyte dedifferentiation core",NA,98,2,199,3,NA,NA,NA,"data007.mat",NA,NA,0.492462311557789,4.59511985013459,5.29831736654804,0.400427314078207
"4781","G23",26,"chondrocyte","glass","static","Basal","4",NA,"0","chondrocyte dedifferentiation core",NA,38,1,20,2,NA,NA,NA,"data007.mat",NA,NA,1.9,3.66356164612965,3.04452243772342,1.06471073699243
"4782","G23",27,"chondrocyte","glass","static","Basal","4",NA,"0","chondrocyte dedifferentiation core",NA,30,15,12,0,NA,NA,NA,"data008.mat",NA,NA,2.5,3.43398720448515,2.56494935746154,1.25276296849537
"4784","G23",29,"chondrocyte","glass","static","Basal","4",NA,"0","chondrocyte dedifferentiation core",NA,158,0,249,3,NA,NA,NA,"data008.mat",NA,NA,0.634538152610442,5.06890420222023,5.52146091786225,0.491360288977887
"4785","G23",30,"chondrocyte","glass","static","Basal","4",NA,"0","chondrocyte dedifferentiation core",NA,80,17,87,3,NA,NA,NA,"data008.mat",NA,NA,0.919540229885057,4.39444915467244,4.47733681447821,0.652085693762171
"4786","G23",31,"chondrocyte","glass","static","Basal","4",NA,"0","chondrocyte dedifferentiation core",NA,95,73,243,3,NA,NA,NA,"data008.mat",NA,NA,0.390946502057613,4.56434819146784,5.4971682252932,0.32998445214247
"4787","G23",32,"chondrocyte","glass","static","Basal","4",NA,"0","chondrocyte dedifferentiation core",NA,206,10,136,1,NA,NA,NA,"data009.mat",NA,NA,1.51470588235294,5.33271879326537,4.91998092582813,0.922155851326553
"4788","G23",33,"chondrocyte","glass","static","Basal","4",NA,"0","chondrocyte dedifferentiation core",NA,156,54,39,2,NA,NA,NA,"data009.mat",NA,NA,4,5.05624580534831,3.68887945411394,1.6094379124341
"4789","G23",34,"chondrocyte","glass","static","Basal","4",NA,"0","chondrocyte dedifferentiation core",NA,160,64,180,9,NA,NA,NA,"data009.mat",NA,NA,0.888888888888889,5.08140436498446,5.19849703126583,0.635988766719997
