"","experimentid","N","Aggrecan.RNA.mean","Aggrecan.RNA.sd","Aggrecan.RNA.se","Aggrecan.RNA.CV","GAPDH.RNA.mean","GAPDH.RNA.sd","GAPDH.RNA.se","GAPDH.RNA.CV","Osteopontin.RNA.mean","Ostepontin.RNA.sd","Osteopontin.RNA.se","Osteopontin.RNA.CV","LPL.RNA.mean","LPL.RNA.sd","LPL.RNA.se","LPL.RNA.CV","AggperGAPDH.RNA.mean","AggperGAPDH.RNA.sd","AggperGAPDH.RNA.se","AggperGAPDH.RNA.CV","AggGAPDH.RNA.cor","GAPDH.RNA.range","cy.RNA.range","AggGAPDH.RNA.corsquared","AggGAPDH.RNA.cor.p","AggGAPDH.RNA.cor.s","AggGAPDH.RNA.cor.pZ","AggGAPDH.RNA.cor.sZ","AggMEANperGAPDHMEAN","AggOPN.RNA.corsquared","AggLPL.RNA.corsquared","GAPDHOPN.RNA.corsquared","GAPDHLPL.RNA.corsquared","OPNLPL.RNA.corsquared","(Intercept)","cy.RNA","Cell.Type","Clone","Substrate","Loading","Media","Donor","Days.CM","Passage","Stain","Purpose","Date.FISHed","Date.Imaged","Good.","Data.Processed.","FISHed.Processed.By","Notes","GFP.dye","GFP.type","GFP.target","alexa.dye","alexa.target","TMR.dye","TMR.target","cy.dye","cy.target","nir.dye","nir.target","dapi.dye","dapi.target"
"60","G23",98,160.591836734694,124.567940865365,12.5832622434777,0.775680404422782,173.30612244898,157.544325830239,15.9143801617178,0.909052280461811,80.4489795918367,181.449894958336,18.3292073100895,2.25546546244508,1.33673469387755,1.84415419414257,0.186287705175974,1.37959626737383,1.44682269677991,2.19219464103322,0.221445099479342,1.51517849831374,0.65687150156109,1082,806,0.431480169563121,0.65687150156109,0.567427981189085,0.787290728773174,0.643721248222657,0.926636834667923,0.326681712519215,0.00492336774971328,0.398106688357594,0.000191407284518152,0.0148184597618279,39.8924416592123,0.830762531287152,"chondrocyte","het","glass","static","Basal","4",NA,"0","","chondrocyte dedifferentiation core","10/15/2013","10/16/2013","","","AC","","","","","alexa594","LPL","cy3","osteopontin","a647N","aggrecan","atto700","GAPDH","dapi","DNA"
"61","G24",90,175.333333333333,141.980929246371,14.9661040241915,0.809777163002114,489.555555555556,352.204968130108,37.1256634172719,0.719438200901265,105.255555555556,161.27487604381,16.9998645886588,1.53222198289274,1.38888888888889,3.59679771571051,0.379135768817867,2.58969435531157,0.457524376084097,0.388929854785448,0.0409968063720185,0.850074608295755,0.275164017441272,1716,636,0.0757152364944206,0.275164017441272,0.334444748225119,0.282442346071131,0.347824454021073,0.358147980027236,0.263940011745851,0.0302938241880194,0.174602837082218,0.00519912920456348,0.00605405241100868,369.875551696021,0.682585573343351,"chondrocyte","het","glass","static","Basal","6",NA,"0","","chondrocyte dedifferentiation core","10/15/2013","10/16/2013","","","AC","","","","","alexa594","LPL","cy3","osteopontin","a647N","aggrecan","atto700","GAPDH","dapi","DNA"
"63","G26",60,187.366666666667,167.987586977524,21.6871042244506,0.896571359068797,1034.9,347.639775571384,44.8801020422418,0.335916296812623,220.633333333333,172.059801061267,22.2128248020683,0.779844996500684,1.86666666666667,3.12163943599538,0.403001918282481,1.67230684071181,0.19169020793589,0.148773005272677,0.0192065123928769,0.776111658882618,0.265170719696917,1478,949,0.0703155105845811,0.265170719696917,-0.018154272257289,0.271662073900443,-0.0181562670656043,0.18104808838213,0.10955928912848,0.159152286547786,0.0505618913954623,0.0297051667819654,0.0461414963819725,932.081759654599,0.548754173698992,"chondrocyte","het","glass","static","Basal","4",NA,"1","","chondrocyte dedifferentiation core","10/17/2013","10/18/2013","y","y","CM","","","","","alexa594","LPL","cy3","osteopontin","a647N","aggrecan","atto700","GAPDH","dapi","DNA"
"64","G27",80,306.9375,263.413538465348,29.4505289101137,0.858199270096838,992.2625,252.215988599183,28.1986047760043,0.25418272745285,178.1375,162.328760310829,18.1489071379142,0.911255408383014,1.5875,2.45307221482353,0.27426181130307,1.54524234004632,0.317681198745509,0.255570936686362,0.0285736993752,0.804488706588824,0.220428007343074,1003,1360,0.0485885064212383,0.220428007343074,0.110735364085057,0.224105930089319,0.111191347856141,0.309330948211789,0.0306264829272597,0.0197058420789791,0.0472786517429062,0.00475191817331309,0.00769496780270086,927.480962979224,0.211057746351541,"chondrocyte","het","glass","static","Basal","6",NA,"1","","chondrocyte dedifferentiation core","10/17/2013","10/18/2013","y","y","CM","","","","","alexa594","LPL","cy3","osteopontin","a647N","aggrecan","atto700","GAPDH","dapi","DNA"
"68","G30",113,91.1946902654867,102.041733269765,9.59927879329007,1.11894380004691,884.761061946903,298.071158640261,28.0401759196172,0.336894526059228,228.87610619469,184.143729419991,17.3227849047368,0.804556371049723,2.09734513274336,3.75823999882238,0.353545479528616,1.79190345935413,0.112845821494946,0.122267840603692,0.0115019909188092,1.08349462110272,0.0387162793864343,1515,572,0.00149895028952844,0.0387162793864343,-0.103128308501885,0.0387356413957653,-0.103496264653226,0.103072675988718,0.000113363303842612,0.0560841177357411,0.256877016993176,0.0474971232365906,0.0794909372253216,874.447580381098,0.11309300503987,"chondrocyte","het","glass","static","Basal","4",NA,"3","","chondrocyte dedifferentiation core","10/30/2013","10/31/2013","","","AC","","","","","alexa594","LPL","cy3","osteopontin","a647N","aggrecan","atto700","GAPDH","dapi","DNA"
"69","G31",103,137.320388349515,178.551481761041,17.5932002638772,1.30025471022251,1190.95145631068,481.131598699842,47.4073050848948,0.403989260981542,266.611650485437,240.029868770849,23.6508457333851,0.90029774893112,2.15533980582524,2.74311001957238,0.27028666155105,1.27270419827007,0.12737795097484,0.152747871628083,0.0150506950092431,1.19917042517236,0.0613104987491333,2784,951,0.00375897725686747,0.0613104987491333,-0.0334020145209433,0.0613874940682054,-0.0334144449919582,0.115303094531581,0.149190303659936,0.000879850160366501,0.024483343177913,0.020713755909582,0.0064081940917869,1168.26481034175,0.165209596634619,"chondrocyte","het","glass","static","Basal","6",NA,"3","","chondrocyte dedifferentiation core","10/30/2013","10/31/2013","","","AC","","","","","alexa594","LPL","cy3","osteopontin","a647N","aggrecan","atto700","GAPDH","dapi","DNA"
"70","G34",106,53.6603773584906,60.8092860691293,5.90631998589838,1.13322509200557,767.056603773585,257.356370675768,24.9966604424949,0.335511576863672,136.72641509434,115.48453064981,11.2168491941125,0.844639498301243,2.09433962264151,3.14575542259662,0.30554277684018,1.50202736394253,0.0738718996508153,0.0807926923459288,0.00784727998573806,1.09368640481465,0.161581533105794,1377,311,0.0261085918408188,0.161581533105794,0.0575310447308835,0.163010203229382,0.0575946435679387,0.069956215870517,0.0125416233849377,0.114799108828335,0.239801028850124,0.000311140348727567,0.01008806933991,730.361301823697,0.683843531414924,"chondrocyte","het","glass","static","Basal","4",NA,"5","","chondrocyte dedifferentiation core","4/17/2014","4/18/2014","y","y","AC","","","","","alexa594","LPL","cy3","osteopontin","a647N","aggrecan","atto700","GAPDH","dapi","DNA"
"71","G35",113,129.451327433628,113.406033408284,10.668342222778,0.876051529610067,844.495575221239,313.971794794811,29.5359819447331,0.37178619285549,162.911504424779,149.649862627146,14.0778748724095,0.918596038723857,2.57522123893805,3.05253205708718,0.287158060751182,1.1853474998311,0.168348450376052,0.146820762607089,0.0138117355296483,0.872124229710018,0.0351670164936439,1819,451,0.00123671904906422,0.0351670164936439,0.0316574680943702,0.0351815245002955,0.0316680501133476,0.15328834304397,0.0838189046824701,0.0184029362860197,0.118621530730024,0.000229800357997336,0.0048097081438603,831.891920170259,0.0973621151736851,"chondrocyte","het","glass","static","Basal","6",NA,"5","","chondrocyte dedifferentiation core","4/17/2014","4/18/2014","y","y","AC","","","","","alexa594","LPL","cy3","osteopontin","a647N","aggrecan","atto700","GAPDH","dapi","DNA"
"72","G36",99,147.515151515152,106.93869726236,10.7477434663229,0.724933650299483,1231.26262626263,343.745503446912,34.5477229789463,0.279181302278554,389.060606060606,268.436927497926,26.9789263147411,0.689961726569948,1.3030303030303,2.26082225178681,0.227221185662523,1.73504963509221,0.1294392339701,0.097033919892718,0.00975227588550147,0.749648440558081,0.0338254793088791,1976,619,0.00114416305047541,0.0338254793088791,-0.00433541652017255,0.0338383887935684,-0.00433544368307211,0.119808031502523,0.00330016668198328,0.0138615602561276,0.0901265894921543,0.0093087974855317,0.0138121806612091,1215.22342542051,0.10872917579908,"chondrocyte","het","glass","static","Basal","4",NA,"7","","chondrocyte dedifferentiation core","11/21/2013","11/22/2013","","","","","","","","alexa594","LPL","cy3","osteopontin","a647N","aggrecan","atto700","GAPDH","dapi","DNA"
"73","G37",113,280.203539823009,200.306335008408,18.8432349411845,0.714860116096078,1133.44247787611,425.154088412431,39.9951323248179,0.375099836746108,281.035398230089,188.848339056368,17.7653573509907,0.671973496028264,1.76106194690265,2.60930456075391,0.24546272522697,1.48166540384519,0.291339084513926,0.235132202135828,0.0221193769378164,0.807074006318532,-0.0289739006082103,2006,862,0.000839486916454449,-0.0289739006082103,-0.0628013798983073,-0.0289820124312905,-0.0628841389880827,0.247214609733055,0.0100128432600286,0.00846087126597253,0.0902376368404577,0.00722893147143478,0.0134895708078116,1150.67434187785,-0.0614976670623971,"chondrocyte","het","glass","static","Basal","6",NA,"7","","chondrocyte dedifferentiation core","11/21/2013","11/22/2013","","","","","","","","alexa594","LPL","cy3","osteopontin","a647N","aggrecan","atto700","GAPDH","dapi","DNA"
"74","G38",94,122.234042553191,136.412043861104,14.0698280283929,1.11599061122226,558.585106382979,232.081576757869,23.9373869133307,0.415481139947811,167.436170212766,143.298587324722,14.780120752559,0.855840092034049,1.32978723404255,2.12202124112655,0.218869779311038,1.59575997332717,0.244643712849441,0.24819042329511,0.0255988875704539,1.01449745184276,0.163232845310131,1378,1021,0.0266449617880412,0.163232845310131,0.0296771816258487,0.164706250977598,0.029685898811432,0.218827965795037,0.10015519137894,0.0859142493097208,0.0379021567925366,0.00618548961463383,0.000143256250467679,524.639179116836,0.277712546824837,"chondrocyte","het","glass","static","Basal","4",NA,"9","","chondrocyte dedifferentiation core","12/12/2013","12/13/2013","","","","","","","","alexa594","LPL","cy3","osteopontin","a647N","aggrecan","atto700","GAPDH","dapi","DNA"
"75","G39",108,275.648148148148,338.30908046012,32.5538064454909,1.22732215954629,646.694444444444,343.115916173331,33.0163444276529,0.530568832191053,204.111111111111,238.213103892384,22.9220666094607,1.16707563148147,2.12962962962963,3.74937401028764,0.360783682355359,1.76057562222202,0.418387107183249,0.283999386822397,0.0273278537385999,0.678795741901312,0.670120396626545,2198,2788,0.449061345974918,0.670120396626545,0.277379356073361,0.81096162348596,0.28484074642114,0.426241713557551,0.609119965445876,0.00424885967309145,0.483894163422883,0.000158917307129477,0.000939695389464911,459.352455997049,0.679641745123234,"chondrocyte","het","glass","static","Basal","6",NA,"9","","chondrocyte dedifferentiation core","12/12/2013","12/13/2013","","","","","","","","alexa594","LPL","cy3","osteopontin","a647N","aggrecan","atto700","GAPDH","dapi","DNA"
"77","G42",108,400.324074074074,262.390193453624,25.2485081371946,0.655444452249135,1018.5,283.254500669509,27.256177035119,0.27810947537507,193.203703703704,217.11716804309,20.8921092358946,1.1237733225656,3.65740740740741,3.77686523093622,0.363429026295661,1.03266188592686,0.400661688381482,0.23997950475158,0.0230920386113863,0.598957953082573,0.288026113447006,1330,1132,0.0829590420273875,0.288026113447006,0.302742897429546,0.29641247316219,0.312536514394126,0.393052600956381,0.232154378328109,0.0282162432074492,0.0202057507671273,0.0269544929368156,0.000464213197672877,894.027677953096,0.310928895132778,"chondrocyte","het","glass","static","Basal","1",NA,"1","","chondrocyte dedifferentiation core","1/27/2014","1/28/2014","","y CMM","","","","","","alexa594","LPL","cy3","osteopontin","a647N","aggrecan","atto700","GAPDH","dapi","DNA"
"78","G43",112,323.580357142857,230.66424405303,21.7957223613939,0.712849958167253,1046.78571428571,412.961168441933,39.0211626008575,0.394504016252956,119.598214285714,165.241099299428,15.6138162540434,1.38163517144725,5.16071428571429,6.45644251392746,0.610076473072741,1.25107536602055,0.318174399354857,0.214503389815511,0.0202686651725782,0.674169229989738,0.379489298859482,3628,855,0.144012127948862,0.379489298859482,0.37818258104284,0.399462892937525,0.397937214465387,0.309118048447629,0.194611381735136,0.129583916231639,0.00188194291047841,0.00452842352740657,0.0712998951539975,826.94373706075,0.679404581805026,"chondrocyte","het","glass","static","Basal","4B",NA,"1","","chondrocyte dedifferentiation core","1/27/2014","1/28/2014","","Y CMM","","","","","","alexa594","LPL","cy3","osteopontin","a647N","aggrecan","atto700","GAPDH","dapi","DNA"
