,experimentid,Cell.Number,Cell.Type,Substrate,Loading,Media,Donor,Days.CM,Passage,Purpose,objArrayNum,cy.RNA,tmr.RNA,GAPDH.RNA,alexa.RNA,cy.Threshold,Neighbors,group,dataFile,area,isDead,AGGperGAPDH,log.cy.RNA,log.GAPDH.RNA,log.AGGperGAPDH
1,A100,23,chondrocyte,agarose,static,basal,1B,1,5,chondrocyte redifferentiation core,3,404,16,391,10,NA,NA,NA,NA,NA,NA,1.033248082,6.003887067,5.97126184,0.709634555
2,A100,24,chondrocyte,agarose,static,basal,1B,1,5,chondrocyte redifferentiation core,3,362,32,440,0,NA,NA,NA,NA,NA,NA,0.822727273,5.894402834,6.089044875,0.600333881
3,A100,27,chondrocyte,agarose,static,basal,1B,1,5,chondrocyte redifferentiation core,3,299,27,167,1,NA,NA,NA,NA,NA,NA,1.790419162,5.703782475,5.123963979,1.026191822
4,A100,28,chondrocyte,agarose,static,basal,1B,1,5,chondrocyte redifferentiation core,3,163,24,93,1,NA,NA,NA,NA,NA,NA,1.752688172,5.099866428,4.543294782,1.012577951
5,A100,25,chondrocyte,agarose,static,basal,1B,1,5,chondrocyte redifferentiation core,3,195,39,174,0,NA,NA,NA,NA,NA,NA,1.120689655,5.278114659,5.164785974,0.751741345
6,A100,26,chondrocyte,agarose,static,basal,1B,1,5,chondrocyte redifferentiation core,3,263,64,409,0,NA,NA,NA,NA,NA,NA,0.643031785,5.575949103,6.01615716,0.496543184
7,A100,59,chondrocyte,agarose,static,basal,1B,1,5,chondrocyte redifferentiation core,7,419,109,389,0,NA,NA,NA,NA,NA,NA,1.077120823,6.040254711,5.966146739,0.730982715
8,A100,60,chondrocyte,agarose,static,basal,1B,1,5,chondrocyte redifferentiation core,7,387,95,440,0,NA,NA,NA,NA,NA,NA,0.879545455,5.96100534,6.089044875,0.631029968
9,A100,61,chondrocyte,agarose,static,basal,1B,1,5,chondrocyte redifferentiation core,7,181,5,1085,0,NA,NA,NA,NA,NA,NA,0.166820276,5.204006687,6.9902565,0.154282337
10,A100,62,chondrocyte,agarose,static,basal,1B,1,5,chondrocyte redifferentiation core,7,371,391,375,12,NA,NA,NA,NA,NA,NA,0.989333333,5.918893854,5.929589143,0.687799574
11,A100,63,chondrocyte,agarose,static,basal,1B,1,5,chondrocyte redifferentiation core,7,221,348,623,1,NA,NA,NA,NA,NA,NA,0.354735152,5.402677382,6.436150368,0.303605976
12,A100,64,chondrocyte,agarose,static,basal,1B,1,5,chondrocyte redifferentiation core,7,114,222,580,14,NA,NA,NA,NA,NA,NA,0.196551724,4.744932128,6.364750757,0.179443857
13,A100,1,chondrocyte,agarose,static,basal,1B,1,5,chondrocyte redifferentiation core,1,408,499,544,0,NA,NA,NA,NA,NA,NA,0.75,6.013715156,6.300785795,0.559615788
14,A100,2,chondrocyte,agarose,static,basal,1B,1,5,chondrocyte redifferentiation core,1,287,282,314,0,NA,NA,NA,NA,NA,NA,0.914012739,5.66296048,5.752572639,0.649201949
15,A100,3,chondrocyte,agarose,static,basal,1B,1,5,chondrocyte redifferentiation core,1,335,56,314,5,NA,NA,NA,NA,NA,NA,1.066878981,5.81711116,5.752572639,0.726039731
16,A100,4,chondrocyte,agarose,static,basal,1B,1,5,chondrocyte redifferentiation core,1,426,126,360,4,NA,NA,NA,NA,NA,NA,1.183333333,6.056784013,5.888877958,0.780852761
17,A100,5,chondrocyte,agarose,static,basal,1B,1,5,chondrocyte redifferentiation core,1,319,351,504,3,NA,NA,NA,NA,NA,NA,0.632936508,5.768320996,6.224558429,0.490379933
18,A100,6,chondrocyte,agarose,static,basal,1B,1,5,chondrocyte redifferentiation core,1,456,444,505,0,NA,NA,NA,NA,NA,NA,0.902970297,6.124683391,6.226536669,0.64341598
19,A100,7,chondrocyte,agarose,static,basal,1B,1,5,chondrocyte redifferentiation core,1,367,397,430,2,NA,NA,NA,NA,NA,NA,0.853488372,5.908082938,6.06610809,0.61706947
20,A100,8,chondrocyte,agarose,static,basal,1B,1,5,chondrocyte redifferentiation core,1,391,574,511,2,NA,NA,NA,NA,NA,NA,0.765166341,5.97126184,6.238324625,0.56824493
21,A100,9,chondrocyte,agarose,static,basal,1B,1,5,chondrocyte redifferentiation core,1,51,243,333,0,NA,NA,NA,NA,NA,NA,0.153153153,3.951243719,5.811140993,0.142500063
22,A100,10,chondrocyte,agarose,static,basal,1B,1,5,chondrocyte redifferentiation core,2,563,314,475,2,NA,NA,NA,NA,NA,NA,1.185263158,6.335054251,6.165417854,0.78173626
23,A100,11,chondrocyte,agarose,static,basal,1B,1,5,chondrocyte redifferentiation core,2,583,437,270,1,NA,NA,NA,NA,NA,NA,2.159259259,6.369900983,5.602118821,1.150337588
24,A100,12,chondrocyte,agarose,static,basal,1B,1,5,chondrocyte redifferentiation core,2,277,93,449,1,NA,NA,NA,NA,NA,NA,0.616926503,5.627621114,6.109247583,0.480527127
25,A100,13,chondrocyte,agarose,static,basal,1B,1,5,chondrocyte redifferentiation core,2,75,129,411,2,NA,NA,NA,NA,NA,NA,0.182481752,4.33073334,6.021023349,0.167615409
26,A100,14,chondrocyte,agarose,static,basal,1B,1,5,chondrocyte redifferentiation core,2,337,401,496,0,NA,NA,NA,NA,NA,NA,0.679435484,5.823045895,6.208590026,0.518457715
27,A100,15,chondrocyte,agarose,static,basal,1B,1,5,chondrocyte redifferentiation core,2,393,309,427,0,NA,NA,NA,NA,NA,NA,0.920374707,5.976350909,6.059123196,0.652520327
28,A100,16,chondrocyte,agarose,static,basal,1B,1,5,chondrocyte redifferentiation core,2,334,141,440,0,NA,NA,NA,NA,NA,NA,0.759090909,5.814130532,6.089044875,0.564797147
29,A100,17,chondrocyte,agarose,static,basal,1B,1,5,chondrocyte redifferentiation core,2,368,126,479,1,NA,NA,NA,NA,NA,NA,0.768267223,5.910796644,6.173786104,0.570000097
30,A100,18,chondrocyte,agarose,static,basal,1B,1,5,chondrocyte redifferentiation core,3,723,135,591,1,NA,NA,NA,NA,NA,NA,1.223350254,6.584791392,6.383506635,0.799015182
