"","experimentid","Cell.Number","Pre.Fix.Stain","Post.Fix.Stain","Cell.Type","Substrate","Loading","Media","Donor","Days.CM","Passage","Purpose","objArrayNum","cy.RNA","tmr.RNA","GAPDH.RNA","alexa.RNA","cy.Threshold","Neighbors","group","dataFile","area","isDead","AGGperGAPDH","log.cy.RNA","log.GAPDH.RNA","log.AGGperGAPDH"
"359","A11",64,"","","MSC","agarose","static","CM-","3",1,NA,"MSCs het differentiation in gels core","16",3,126,304,1,NA,"NaN","2",NA,NA,NA,0.00986842105263158,1.38629436111989,5.72031177660741,0.00982004618097546
"360","A11",66,"","","MSC","agarose","static","CM-","3",1,NA,"MSCs het differentiation in gels core","17",1,19,218,3,NA,"NaN","1",NA,NA,NA,0.00458715596330275,0.693147180559945,5.3890717298165,0.00457666702741181
"361","A11",67,"","","MSC","agarose","static","CM-","3",1,NA,"MSCs het differentiation in gels core","17",0,1,72,0,NA,"NaN","2",NA,NA,NA,0,0,4.29045944114839,0
"362","A11",68,"","","MSC","agarose","static","CM-","3",1,NA,"MSCs het differentiation in gels core","17",0,0,75,0,NA,"NaN","2",NA,NA,NA,0,0,4.33073334028633,0
"363","A11",65,"","","MSC","agarose","static","CM-","3",1,NA,"MSCs het differentiation in gels core","17",0,0,241,0,NA,"NaN","1",NA,NA,NA,0,0,5.48893772615669,0
"364","A11",61,"","","MSC","agarose","static","CM-","3",1,NA,"MSCs het differentiation in gels core","15",157,4,89,4,NA,"NaN","4",NA,NA,NA,1.76404494382022,5.06259503302697,4.49980967033027,1.01669516620022
"365","A11",62,"","","MSC","agarose","static","CM-","3",1,NA,"MSCs het differentiation in gels core","15",2,59,181,2,NA,"NaN","6",NA,NA,NA,0.0110497237569061,1.09861228866811,5.2040066870768,0.0109891215755952
"366","A11",63,"","","MSC","agarose","static","CM-","3",1,NA,"MSCs het differentiation in gels core","16",40,116,258,2,NA,"NaN","1",NA,NA,NA,0.155038759689922,3.71357206670431,5.55682806169954,0.144133901583787
"367","A11",77,"","","MSC","agarose","static","CM-","3",1,NA,"MSCs het differentiation in gels core","18",0,0,106,0,NA,"NaN","4",NA,NA,NA,0,0,4.67282883446191,0
"368","A11",78,"","","MSC","agarose","static","CM-","3",1,NA,"MSCs het differentiation in gels core","18",0,0,334,0,NA,"NaN","4",NA,NA,NA,0,0,5.81413053182507,0
"369","A11",79,"","","MSC","agarose","static","CM-","3",1,NA,"MSCs het differentiation in gels core","18",380,64,160,6,NA,"NaN","7",NA,NA,NA,2.375,5.9427993751267,5.08140436498446,1.21639532432449
"370","A11",80,"","","MSC","agarose","static","CM-","3",1,NA,"MSCs het differentiation in gels core","18",0,0,222,0,NA,"NaN","2",NA,NA,NA,0,0,5.40717177146012,0
"371","A11",81,"","","MSC","agarose","static","CM-","3",1,NA,"MSCs het differentiation in gels core","18",10,14,275,0,NA,"NaN","2",NA,NA,NA,0.0363636363636364,2.39789527279837,5.62040086571715,0.0357180826020792
"372","A11",69,"","","MSC","agarose","static","CM-","3",1,NA,"MSCs het differentiation in gels core","17",70,0,199,0,NA,"NaN","5",NA,NA,NA,0.351758793969849,4.26267987704132,5.29831736654804,0.301406554877347
