ID,Division_Scan,Parent_Cell,Well,Daughter1_cy.RNA,Daughter1_GAPDH.RNA,Daughter1_tmr.RNA,Daughter1_alexa.RNA,Daughter2_cy.RNA,Daughter2_GAPDH.RNA,Daughter2_tmr.RNA,Daughter2_alexa.RNA,TimeSinceDivision,maxDaughter_cy.RNA,minDaughter_cy.RNA,Daughter1_aggpergaph,Daughter2_aggpergapdh,maxDaughter_aggpergapdh,minDaughter_aggpergapdh,maxDaughter_tmr.RNA,minDaughter_tmr.RNA,maxDaughter_GAPDH.RNA,minDaughter_GAPDH.RNA,cy_difference,aggpergapdh_difference,aggpergapdh_distance,GAPDH_difference,mean_cy,TimeCategory
1,-1,127.5,left,241,449,1015,3,132,585,426,3,66,241,132,0.53674833,0.225641026,0.53674833,0.225641026,1015,426,585,77.07463915,109,96.16652224,0.219986084,136,186.5,> 47
2,1,70,left,22,353,456,3,20,357,509,3,65,22,20,0.062322946,0.056022409,0.062322946,0.056022409,509,456,357,1.414213562,2,2.828427125,0.004455153,4,21,> 47
3,1,71,left,46,806,542,3,21,453,457,0,65,46,21,0.05707196,0.046357616,0.05707196,0.046357616,542,457,806,17.67766953,25,249.6086938,0.007576186,353,33.5,> 47
9,4,159,left,71,347,393,12,16,284,118,0,63.5,71,16,0.204610951,0.056338028,0.204610951,0.056338028,393,118,347,38.89087297,55,44.54772721,0.104844789,63,43.5,> 47
10,6,73,left,21,476,664,22,17,789,604,4,62.5,21,17,0.044117647,0.021546261,0.044117647,0.021546261,664,604,789,2.828427125,4,221.3244225,0.01596038,313,19,> 47
11,6,95,left,4,344,416,2,10,920,906,8,62.5,10,4,0.011627907,0.010869565,0.011627907,0.010869565,906,416,920,4.242640687,6,407.293506,0.000536229,576,7,> 47
14,9,66,left,311,881,457,6,27,331,343,3,61,311,27,0.353007946,0.081570997,0.353007946,0.081570997,457,343,881,200.8183259,284,388.9087297,0.191934907,550,169,> 47
15,10,117,left,36,377,725,6,88,228,792,2,60.5,88,36,0.095490716,0.385964912,0.385964912,0.095490716,792,725,377,36.76955262,52,105.3589104,0.205396274,149,62,> 47
16,10,96,left,2,166,385,1,29,382,387,4,60.5,29,2,0.012048193,0.07591623,0.07591623,0.012048193,387,385,382,19.09188309,27,152.7350647,0.045161522,216,15.5,> 47
17,11,17,left,135,167,264,1,121,166,230,6,60,135,121,0.808383234,0.728915663,0.808383234,0.728915663,264,230,167,9.899494937,14,0.707106781,0.056192058,1,128,> 47
18,11,47,left,41,846,869,7,4,563,810,3,60,41,4,0.048463357,0.007104796,0.048463357,0.007104796,869,810,846,26.1629509,37,200.1112191,0.029244919,283,22.5,> 47
21,13,18,left,141,333,264,0,118,297,525,1,59,141,118,0.423423423,0.397306397,0.423423423,0.397306397,525,264,333,16.26345597,23,25.45584412,0.018467526,36,129.5,> 47
22,14,108,left,128,388,720,6,57,193,439,3,58.5,128,57,0.329896907,0.295336788,0.329896907,0.295336788,720,439,388,50.20458146,71,137.8858223,0.024437695,195,92.5,> 47
26,18,181,left,1,380,654,2,25,253,637,1,56.5,25,1,0.002631579,0.098814229,0.098814229,0.002631579,654,637,380,16.97056275,24,89.80256121,0.068011404,127,13,> 47
28,19,50,left,6,465,527,10,15,503,502,9,56,15,6,0.012903226,0.029821074,0.029821074,0.012903226,527,502,503,6.363961031,9,26.87005769,0.011962725,38,10.5,> 47
29,20,109,left,26,229,189,5,74,495,384,5,55.5,74,26,0.113537118,0.149494949,0.149494949,0.113537118,384,189,495,33.9411255,48,188.0904038,0.025426027,266,50,> 47
30,20,37,left,193,214,494,2,382,382,542,1,55.5,382,193,0.901869159,1,1,0.901869159,542,494,382,133.6431816,189,118.7939392,0.069388983,168,287.5,> 47
31,20,49,left,191,757,502,7,92,320,586,8,55.5,191,92,0.252311757,0.2875,0.2875,0.252311757,586,502,757,70.00357134,99,309.0056634,0.024881845,437,141.5,> 47
32,20,81,left,58,450,221,2,5,451,246,3,55.5,58,5,0.128888889,0.011086475,0.128888889,0.011086475,246,221,451,37.4766594,53,0.707106781,0.083298886,1,31.5,> 47
33,20,92,left,38,780,719,7,42,488,597,4,55.5,42,38,0.048717949,0.086065574,0.086065574,0.048717949,719,597,780,2.828427125,4,206.4751801,0.026408759,292,40,> 47
34,21,152,left,39,313,747,3,9,613,443,2,55,39,9,0.124600639,0.014681892,0.124600639,0.014681892,747,443,613,21.21320344,30,212.1320344,0.077724291,300,24,> 47
35,21,58,left,46,359,412,2,9,171,241,2,55,46,9,0.128133705,0.052631579,0.128133705,0.052631579,412,241,359,26.1629509,37,132.9360749,0.053388065,188,27.5,> 47
36,22,55,left,42,441,850,2,41,363,186,5,54.5,42,41,0.095238095,0.112947658,0.112947658,0.095238095,850,186,441,0.707106781,1,55.15432893,0.012522552,78,41.5,> 47
37,23,107,left,0,354,318,1,0,507,352,3,54,0,0,0,0,0,0,352,318,507,0,0,108.1873375,0,153,0,> 47
38,25,80,left,7,463,171,2,0,506,291,4,53,7,0,0.01511879,0,0.01511879,0,291,171,506,4.949747468,7,30.40559159,0.010690599,43,3.5,> 47
39,30,41,left,26,344,566,2,4,568,188,3,50.5,26,4,0.075581395,0.007042254,0.075581395,0.007042254,566,188,568,15.55634919,22,158.391919,0.048464492,224,15,> 47
45,40,42,left,43,630,455,1,27,393,324,1,45.5,43,27,0.068253968,0.06870229,0.06870229,0.068253968,455,324,630,11.3137085,16,167.5843071,0.000317011,237,35,36-47
49,50,74,left,52,544,162,1,42,516,268,5,40.5,52,42,0.095588235,0.081395349,0.095588235,0.081395349,268,162,544,7.071067812,10,19.79898987,0.010035886,28,47,36-47
55,62,91-2,left,4,321,578,4,15,401,643,4,34.5,15,4,0.012461059,0.037406484,0.037406484,0.012461059,643,578,401,7.778174593,11,56.56854249,0.017639079,80,9.5,24-35
56,63,89,left,83,484,546,5,48,246,386,3,34,83,48,0.171487603,0.195121951,0.195121951,0.171487603,546,386,484,24.74873734,35,168.2914139,0.016712008,238,65.5,24-35
63,78,90,left,374,484,360,6,123,534,573,8,26.5,374,123,0.772727273,0.230337079,0.772727273,0.230337079,573,360,534,177.4838021,251,35.35533906,0.383527784,50,248.5,24-35
67,92,67-1,left,34,66,276,0,13,160,263,1,19.5,34,13,0.515151515,0.08125,0.515151515,0.08125,276,263,160,14.8492424,21,66.46803743,0.306814704,94,23.5,12-23
69,101,176,left,98,206,938,8,140,341,1098,12,15,140,98,0.475728155,0.410557185,0.475728155,0.410557185,1098,938,341,29.69848481,42,95.45941546,0.046082835,135,119,12-23
71,107,177,left,18,896,1124,6,26,885,1114,4,12,26,18,0.020089286,0.029378531,0.029378531,0.020089286,1124,1114,896,5.656854249,8,7.778174593,0.006568488,11,22,12-23
77,116,178,left,92,279,437,3,85,348,434,1,7.5,92,85,0.329749104,0.244252874,0.329749104,0.244252874,437,434,348,4.949747468,7,48.7903679,0.060454964,69,88.5,< 12
81,122,25,left,208,314,381,0,205,187,447,6,4.5,208,205,0.662420382,1.096256684,1.096256684,0.662420382,447,381,314,2.121320344,3,89.80256121,0.306768591,127,206.5,< 12
84,127,34-2,left,0,362,193,1,7,376,258,0,2,7,0,0,0.018617021,0.018617021,0,258,193,376,4.949747468,7,9.899494937,0.013164222,14,3.5,< 12
86,130,13,left,0,350,211,1,9,715,311,1,0.5,9,0,0,0.012587413,0.012587413,0,311,211,715,6.363961031,9,258.0939751,0.008900645,365,4.5,< 12
6,2,229,right,87,218,252,2,121,653,187,3,68,121,87,0.399082569,0.185298622,0.399082569,0.185298622,252,187,653,24.04163056,34,307.5914498,0.151168079,435,104,> 47
20,12,194,right,7,393,425,6,15,233,498,0,63,15,7,0.017811705,0.064377682,0.064377682,0.017811705,498,425,393,5.656854249,8,113.137085,0.032927119,160,11,> 47
23,16,206,right,36,669,512,4,116,407,1027,4,61,116,36,0.053811659,0.285012285,0.285012285,0.053811659,1027,512,669,56.56854249,80,185.2619767,0.16348353,262,76,> 47
27,18,195,right,117,204,489,2,239,157,390,0,60,239,117,0.573529412,1.522292994,1.522292994,0.573529412,489,390,204,86.2670273,122,33.23401872,0.670877162,47,178,> 47
40,33,196,right,13,131,295,0,99,374,557,0,52.5,99,13,0.099236641,0.264705882,0.264705882,0.099236641,557,295,374,60.81118318,86,171.8269478,0.117004422,243,56,> 47
41,35,193,right,252,126,321,2,145,338,416,1,51.5,252,145,2,0.428994083,2,0.428994083,416,321,338,75.66042559,107,149.9066376,1.110868937,212,198.5,> 47
43,37,217,right,11,99,99,1,59,270,414,1,50.5,59,11,0.111111111,0.218518519,0.218518519,0.111111111,414,99,270,33.9411255,48,120.9152596,0.075948506,171,35,> 47
44,38,222,right,205,261,814,10,264,563,668,5,50,264,205,0.785440613,0.468916519,0.785440613,0.468916519,814,668,563,41.71930009,59,213.5462479,0.223816334,302,234.5,> 47
46,44,227,right,7,183,497,4,18,281,532,2,47,18,7,0.038251366,0.06405694,0.06405694,0.038251366,532,497,281,7.778174593,11,69.29646456,0.018247296,98,12.5,36-47
47,44,228,right,118,366,429,2,69,204,252,1,47,118,69,0.322404372,0.338235294,0.338235294,0.322404372,429,252,366,34.64823228,49,114.5512986,0.011194153,162,93.5,36-47
48,50,200,right,89,162,556,0,4,309,320,1,44,89,4,0.549382716,0.012944984,0.549382716,0.012944984,556,320,309,60.1040764,85,103.9446968,0.379318758,147,46.5,36-47
50,52,215,right,41,175,328,0,178,394,549,1,43,178,41,0.234285714,0.45177665,0.45177665,0.234285714,549,328,394,96.87362902,137,154.8563851,0.153789315,219,109.5,36-47
51,53,231,right,124,187,356,2,337,250,325,1,42.5,337,124,0.663101604,1.348,1.348,0.663101604,356,325,250,150.6137444,213,44.54772721,0.4842963,63,230.5,36-47
52,54,192,right,1,247,103,1,7,390,250,3,42,7,1,0.004048583,0.017948718,0.017948718,0.004048583,250,103,390,4.242640687,6,101.1162697,0.00982888,143,4,36-47
53,59,232,right,223,411,524,1,124,211,353,0,39.5,223,124,0.542579075,0.587677725,0.587677725,0.542579075,524,353,411,70.00357134,99,141.4213562,0.031889561,200,173.5,36-47
54,62,198,right,102,377,1019,0,51,465,659,2,38,102,51,0.270557029,0.109677419,0.270557029,0.109677419,1019,659,465,36.06244584,51,62.22539674,0.113759063,88,76.5,36-47
58,67,207,right,148,135,258,5,30,268,164,5,35.5,148,30,1.096296296,0.111940299,1.096296296,0.111940299,258,164,268,83.43860018,118,94.0452019,0.696044801,133,89,24-35
59,69,216,right,323,269,479,2,232,276,861,1,34.5,323,232,1.200743494,0.84057971,1.200743494,0.84057971,861,479,276,64.34671709,91,4.949747468,0.254674254,7,277.5,24-35
60,70,226,right,157,198,305,1,79,359,383,2,34,157,79,0.792929293,0.22005571,0.792929293,0.22005571,383,305,359,55.15432893,78,113.8441918,0.405082795,161,118,24-35
62,73,225,right,54,306,403,2,61,440,706,2,32.5,61,54,0.176470588,0.138636364,0.176470588,0.138636364,706,403,440,4.949747468,7,94.75230868,0.026752837,134,57.5,24-35
64,84,199,right,4,299,406,7,1,393,330,5,27,4,1,0.013377926,0.002544529,0.013377926,0.002544529,406,330,393,2.121320344,3,66.46803743,0.007660369,94,2.5,24-35
65,90,214,right,15,286,374,0,23,297,406,2,24,23,15,0.052447552,0.077441077,0.077441077,0.052447552,406,374,297,5.656854249,8,7.778174593,0.017673091,11,19,24-35
66,92,209,right,64,258,360,0,86,294,651,5,23,86,64,0.248062016,0.292517007,0.292517007,0.248062016,651,360,294,15.55634919,22,25.45584412,0.031434426,36,75,12-23
68,99,219,right,153,230,231,2,309,111,453,1,19.5,309,153,0.665217391,2.783783784,2.783783784,0.665217391,453,231,230,110.3086579,156,84.14570696,1.498052663,119,231,12-23
70,101,210,right,475,685,841,10,213,501,452,5,18.5,475,213,0.693430657,0.425149701,0.693430657,0.425149701,841,452,685,185.2619767,262,130.1076477,0.189703283,184,344,12-23
72,108,202,right,106,298,567,2,9,233,570,2,15,106,9,0.355704698,0.038626609,0.355704698,0.038626609,570,567,298,68.58935778,97,45.96194078,0.224208067,65,57.5,12-23
73,109,213,right,15,282,285,0,6,203,195,2,14.5,15,6,0.053191489,0.02955665,0.053191489,0.02955665,285,195,282,6.363961031,9,55.86143571,0.016712355,79,10.5,12-23
74,111,191,right,4,223,383,1,7,156,357,2,13.5,7,4,0.01793722,0.044871795,0.044871795,0.01793722,383,357,223,2.121320344,3,47.37615434,0.019045621,67,5.5,12-23
75,112,197,right,153,313,505,4,139,234,607,3,13,153,139,0.488817891,0.594017094,0.594017094,0.488817891,607,505,313,9.899494937,14,55.86143571,0.07438707,79,146,12-23
76,115,211,right,14,225,235,3,27,410,349,1,11.5,27,14,0.062222222,0.065853659,0.065853659,0.062222222,349,235,410,9.192388155,13,130.8147545,0.002567813,185,20.5,< 12
78,116,203,right,352,375,784,6,150,318,514,1,11,352,150,0.938666667,0.471698113,0.938666667,0.471698113,784,514,375,142.8355698,202,40.30508653,0.330196631,57,251,< 12
79,116,218,right,81,200,315,1,141,175,511,1,11,141,81,0.405,0.805714286,0.805714286,0.405,511,315,200,42.42640687,60,17.67766953,0.283347789,25,111,< 12
80,121,190,right,77,161,407,0,119,194,306,3,8.5,119,77,0.47826087,0.613402062,0.613402062,0.47826087,407,306,194,29.69848481,42,23.33452378,0.095559253,33,98,< 12
82,123,212,right,21,299,320,1,6,100,140,3,7.5,21,6,0.070234114,0.06,0.070234114,0.06,320,140,299,10.60660172,15,140.7142495,0.007236611,199,13.5,< 12
83,123,221,right,7,276,281,1,10,276,343,0,7.5,10,7,0.025362319,0.036231884,0.036231884,0.025362319,343,281,276,2.121320344,3,0,0.007685943,0,8.5,< 12
85,128,230,right,227,202,457,28,315,437,603,8,5,315,227,1.123762376,0.720823799,1.123762376,0.720823799,603,457,437,62.22539674,88,166.1700936,0.284920601,235,271,< 12
87,130,205,right,48,349,216,6,27,202,185,5,4,48,27,0.137535817,0.133663366,0.137535817,0.133663366,216,185,349,14.8492424,21,103.9446968,0.002738236,147,37.5,< 12
89,131,224,right,149,278,513,6,98,236,360,0,3.5,149,98,0.535971223,0.415254237,0.535971223,0.415254237,513,360,278,36.06244584,51,29.69848481,0.085359799,42,123.5,< 12
90,134,220,right,22,131,391,0,19,123,467,0,2,22,19,0.167938931,0.154471545,0.167938931,0.154471545,467,391,131,2.121320344,3,5.656854249,0.00952288,8,20.5,< 12
91,136,208,right,7,122,227,0,14,135,329,2,1,14,7,0.057377049,0.103703704,0.103703704,0.057377049,329,227,135,4.949747468,7,9.192388155,0.032757892,13,10.5,< 12
92,137,201,right,11,24,61,0,15,132,125,0,0.5,15,11,0.458333333,0.113636364,0.458333333,0.113636364,125,61,132,2.828427125,4,76.36753237,0.243737565,108,13,< 12
93,138,204,right,50,98,201,0,8,39,81,1,0,50,8,0.510204082,0.205128205,0.510204082,0.205128205,201,81,98,29.69848481,42,41.71930009,0.215721221,59,29,< 12
94,138,223,right,6,40,88,0,2,72,81,0,0,6,2,0.15,0.027777778,0.15,0.027777778,88,81,72,2.828427125,4,22.627417,0.086424162,32,4,< 12
