,Donor,Image,Cell,Score,Binary Low/High
Images from 2015-09-18,1,1,1,4,TRUE
,1,1,2,4,TRUE
,1,1,3,3,TRUE
,1,1,4,3,TRUE
,1,1,5,3,TRUE
,1,1,6,3,TRUE
,1,2,1,2,FALSE
,1,2,2,2,FALSE
,1,2,3,2,FALSE
,1,2,4,2,FALSE
,1,2,5,2,FALSE
,1,3,1,1,FALSE
,1,3,2,1,FALSE
,1,3,3,2,FALSE
,1,3,4,1,FALSE
,1,3,5,5,TRUE
,1,3,6,5,TRUE
,1,3,7,5,TRUE
,1,4,1,4,TRUE
,1,4,2,4,TRUE
,1,4,3,3,TRUE
,1,4,4,2,FALSE
,1,4,5,1,FALSE
,1,4,6,1,FALSE
,1,5,1,5,TRUE
,1,5,2,3,TRUE
,1,5,3,4,TRUE
,1,5,4,2,FALSE
,1,5,5,2,FALSE
,1,5,6,1,FALSE
,1,5,7,1,FALSE
,1,6,1,5,TRUE
,1,6,2,3,TRUE
,1,6,3,4,TRUE
,1,6,4,4,TRUE
,1,6,5,2,FALSE
,1,6,6,2,FALSE
,1,7,1,5,TRUE
,1,7,2,5,TRUE
,1,7,3,1,FALSE
,1,7,4,1,FALSE
,1,8,1,4,TRUE
,1,8,2,3,TRUE
,1,8,3,3,TRUE
,1,8,4,2,FALSE
,1,8,5,2,FALSE
,1,8,6,2,FALSE
,1,8,7,2,FALSE
,1,9,1,2,FALSE
,1,9,2,2,FALSE
,1,9,3,2,FALSE
,1,9,4,2,FALSE
,1,9,5,2,FALSE
,1,9,6,2,FALSE
,1,10,1,2,FALSE
,1,10,2,2,FALSE
,1,10,3,1,FALSE
,1,10,4,1,FALSE
,1,10,5,3,TRUE
,1,10,6,3,TRUE
,1,10,7,1,FALSE
,1,10,8,1,FALSE
,2,1,1,2,FALSE
,2,1,2,5,TRUE
,2,1,3,5,TRUE
,2,2,1,4,TRUE
,2,2,2,4,TRUE
,2,2,3,5,TRUE
,2,3,1,5,TRUE
,2,3,2,5,TRUE
,2,3,3,3,TRUE
,2,3,4,3,TRUE
,2,3,5,2,FALSE
,2,3,6,2,FALSE
,2,4,1,2,FALSE
,2,4,2,2,FALSE
,2,5,1,3,TRUE
,2,5,2,2,FALSE
,2,5,3,1,FALSE
,2,5,4,1,FALSE
,2,6,1,1,FALSE
,2,6,2,1,FALSE
,2,6,3,1,FALSE
,2,6,4,1,FALSE
,2,7,1,1,FALSE
,2,7,2,1,FALSE
,2,7,3,1,FALSE
,2,7,4,5,TRUE
,2,7,5,3,TRUE
,2,7,6,3,TRUE
,2,7,7,4,TRUE
,2,8,1,3,TRUE
,2,8,2,3,TRUE
,2,8,3,4,TRUE
,2,8,4,2,FALSE
,2,8,5,2,FALSE
,2,9,1,3,TRUE
,2,9,2,3,TRUE
,2,9,3,3,TRUE
,2,9,4,2,FALSE
,2,9,5,1,FALSE
,2,9,6,1,FALSE
,2,10,1,1,FALSE
,2,10,2,1,FALSE
,2,10,3,2,FALSE
,2,10,4,3,TRUE
,3,1,1,3,TRUE
,3,1,2,3,TRUE
,3,1,3,1,FALSE
,3,1,4,1,FALSE
,3,2,1,,
,3,2,2,,
,3,2,3,,
,3,2,4,,
,3,2,5,,
,3,2,6,,
,3,3,1,1,FALSE
,3,3,2,1,FALSE
,3,3,3,1,FALSE
,3,4,1,3,TRUE
,3,4,2,2,FALSE
,3,4,3,1,FALSE
,3,4,4,2,FALSE
,3,4,5,2,FALSE
,3,5,1,1,FALSE
,3,5,2,1,FALSE
,3,5,3,1,FALSE
,3,5,4,5,TRUE
,3,5,5,5,TRUE
,3,5,6,1,FALSE
,3,6,1,1,FALSE
,3,6,2,1,FALSE
,3,6,3,3,TRUE
,3,6,4,4,TRUE
,3,6,5,4,TRUE
,3,7,1,2,FALSE
,3,7,2,2,FALSE
,3,7,3,2,FALSE
,3,7,4,2,FALSE
,3,7,5,1,FALSE
,3,8,1,1,FALSE
,3,8,2,2,FALSE
,3,8,3,2,FALSE
,3,8,4,2,FALSE
,3,8,5,2,FALSE
,3,9,1,1,FALSE
,3,9,2,1,FALSE
,3,9,3,2,FALSE
,3,9,4,2,FALSE
,3,9,5,2,FALSE
,3,9,6,3,TRUE
,3,10,1,3,TRUE
,3,10,2,3,TRUE
,3,10,3,3,TRUE
,3,10,4,3,TRUE
,3,10,5,2,FALSE
,3,10,6,2,FALSE
,3,10,7,2,FALSE
,3,10,8,2,FALSE
