objArrayNum,objNum,isGood,cy.RNA,tmr.RNA,GAPDH.RNA,alexa.RNA,cy.Threshold
1,1,true,114,33,91,0,1226.0126
1,2,true,465,402,180,0,1402.5141
1,3,true,393,287,204,0,1094.0089
1,4,true,344,47,283,0,890.5794
1,5,true,288,21,228,2,850.0337
2,1,true,400,124,246,1,775.269
2,2,true,308,315,163,2,1099.718
2,3,true,152,295,75,1,894.4461
2,4,true,1,14,15,1,400.9464
2,5,true,69,67,51,0,1746.3309
2,6,true,86,53,78,0,1774.7968
2,7,true,136,16,72,0,994.3698
3,1,true,353,377,120,0,882.2543
3,2,true,139,137,128,0,955.7777
3,3,true,275,291,305,1,1716.7573
3,4,true,200,103,380,1,2236.8558
3,5,true,98,5,158,0,1273.2926
3,6,true,118,0,62,0,995.2404
4,1,true,239,173,215,0,1275.3215
4,2,true,427,446,176,0,953.0173
4,3,true,161,1,63,0,1182.4747
4,4,true,78,0,33,2,1566.3182
4,5,true,158,60,62,0,864.6975
4,6,true,105,81,79,0,1434.4855
5,1,true,321,221,144,1,1468.8887
5,2,true,240,173,109,0,1319.0889
5,3,true,230,120,261,0,1728.8666
5,4,true,161,1,264,0,860.4603
5,5,true,127,249,75,1,1665.6763
5,6,true,208,4,139,0,1520.8492
6,1,true,455,432,0,0,510.5043
6,2,true,46,0,0,0,135.614
6,3,true,324,163,115,0,1188.9511
6,4,false,152,104,159,0,2177.5424
7,1,true,114,103,93,2,899.5767
7,2,true,150,26,61,0,842.002
7,3,true,174,148,250,0,1050.1772
8,1,true,149,87,155,0,1637.6183
8,2,true,340,71,242,1,1263.0417
8,3,true,174,2,55,0,1133.4189
9,1,true,105,3,70,1,1420.4425
9,2,true,81,12,102,0,995.0093
9,3,true,11,1,0,5,470.9326
10,1,true,185,31,182,2,848.8085
10,2,true,219,85,142,0,827.2552
10,3,true,191,60,211,0,867.9046
10,4,true,30,11,0,0,397.5701
11,1,true,139,1,166,0,1126.8959
11,2,true,170,76,76,0,551.3623
11,3,true,427,145,120,1,867.1013
11,4,true,191,30,246,0,1722.1504
11,5,true,405,321,132,4,1283.6377
