objArrayNum,objNum,isGood,Neighbors,group,cy.RNA,tmr.RNA,alexa.RNA,GAPDH.RNA
1,1,true,NaN,1,59,1,1,131
1,2,true,NaN,1,37,0,1,76
1,3,false,NaN,1,17,81,19,5
1,4,true,NaN,2,87,0,0,55
2,1,true,NaN,1,177,182,0,238
2,2,true,NaN,2,63,32,1,249
2,3,true,NaN,3,8,14,0,195
3,1,true,NaN,1,186,32,0,312
3,2,true,NaN,1,158,31,3,315
3,3,true,NaN,3,46,16,0,138
3,4,true,NaN,3,69,65,0,283
3,5,true,NaN,2,0,32,1,270
4,1,false,NaN,1,9,14,11,7
4,2,true,NaN,2,67,3,0,79
4,3,true,NaN,2,50,0,0,149
4,4,true,NaN,4,1,3,0,113
4,5,true,NaN,3,1,0,1,80
4,6,true,NaN,3,1,0,0,156
4,7,true,NaN,5,105,108,3,149
4,8,true,NaN,5,95,86,0,203
5,1,true,NaN,1,83,142,16,247
5,2,true,NaN,2,0,0,0,128
5,3,true,NaN,2,4,0,0,161
5,4,true,NaN,4,7,0,3,158
5,5,true,NaN,4,24,0,0,233
6,1,true,NaN,1,189,72,0,229
6,2,true,NaN,2,51,16,1,144
6,3,true,NaN,2,32,29,1,96
7,1,true,NaN,1,182,0,2,150
7,2,true,NaN,2,3,4,0,92
7,3,true,NaN,2,4,2,0,184
7,4,true,NaN,4,13,2,0,68
7,5,true,NaN,5,33,11,1,223
8,1,true,NaN,1,240,36,2,205
8,2,true,NaN,2,115,5,4,204
8,3,true,NaN,2,104,15,1,219
8,4,true,NaN,3,117,46,2,97
9,1,true,NaN,1,0,46,0,295
9,2,true,NaN,1,2,43,0,352
9,3,true,NaN,3,150,148,2,305
9,4,true,NaN,4,0,46,0,163
10,1,true,NaN,1,123,2,0,95
10,2,true,NaN,1,96,6,3,135
10,3,true,NaN,3,3,6,0,19
10,4,true,NaN,3,2,28,0,39
10,5,true,NaN,4,85,5,0,6
10,6,true,NaN,4,149,25,0,37
11,1,true,NaN,1,59,0,0,101
11,2,true,NaN,1,81,0,0,204
11,3,true,NaN,3,0,0,0,278
12,1,true,NaN,1,167,0,1,284
12,2,true,NaN,2,0,16,6,142
13,1,true,NaN,1,190,162,3,342
13,2,true,NaN,2,68,31,0,316
13,3,true,NaN,3,287,8,1,303
13,4,true,NaN,4,5,25,6,304
13,5,false,NaN,5,20,51,13,12
13,6,true,NaN,6,0,0,0,210
14,1,true,NaN,1,181,99,1,266
14,2,true,NaN,1,103,20,1,147
15,1,false,NaN,1,9,13,18,12
15,2,true,NaN,2,7,51,0,135
15,3,true,NaN,3,2,21,4,77
15,4,true,NaN,4,121,12,4,42
15,5,true,NaN,4,157,4,4,89
15,6,true,NaN,6,2,59,2,181
16,1,true,NaN,1,40,116,2,258
16,2,true,NaN,2,3,126,1,304
17,1,true,NaN,1,0,0,0,241
17,2,true,NaN,1,1,19,3,218
17,3,true,NaN,2,0,1,0,72
17,4,true,NaN,2,0,0,0,75
17,5,true,NaN,5,70,0,0,199
17,6,true,NaN,4,190,14,2,74
17,7,true,NaN,4,139,13,3,52
17,8,true,NaN,3,0,30,0,33
17,9,true,NaN,3,0,22,0,111
18,1,true,NaN,1,161,35,0,254
18,2,true,NaN,1,163,77,0,162
18,3,true,NaN,3,255,75,1,323
18,4,true,NaN,4,0,0,0,106
18,5,true,NaN,4,0,0,0,334
18,6,false,NaN,6,8,14,3,6
18,7,true,NaN,7,380,64,6,160
18,8,true,NaN,2,0,0,0,222
18,9,true,NaN,2,10,14,0,275
18,10,true,NaN,8,5,0,2,245
18,11,true,NaN,8,1,3,3,354
19,1,true,NaN,1,157,140,2,457
19,2,true,NaN,2,241,108,1,382
19,3,true,NaN,3,4,34,2,368
19,4,true,NaN,4,183,11,3,152
19,5,true,NaN,5,242,40,1,296
20,1,true,NaN,1,83,130,7,240
20,2,true,NaN,2,5,10,3,217
20,3,true,NaN,2,2,17,3,235
20,4,true,NaN,4,0,31,3,601
21,1,true,NaN,1,1,71,1,271
21,2,true,NaN,2,21,13,0,246
21,3,true,NaN,2,29,1,1,300
21,4,true,NaN,3,91,35,1,276
21,5,true,NaN,3,69,21,0,294
21,6,true,NaN,4,119,33,2,218
21,7,true,NaN,4,202,5,1,116
22,1,true,NaN,1,196,11,2,252
22,2,true,NaN,1,195,43,0,171
22,3,true,NaN,3,206,1,0,227
