objArrayNum,objNum,isGood,cy.RNA,tmr.RNA,GAPDH.RNA,alexa.RNA,cy.Threshold,type.Cell,matlab.object.number,area.AB,total.AB,mean.AB,qualitative.Score
1,1,TRUE,151,0,46,0,264.6397,individual,2,50595,3080584515,60887.13341,5
1,2,TRUE,20,5,73,0,172.3442,individual,1,6358,363170534,57120.24756,2
1,3,TRUE,58,1,0,0,199.2246,,,,,,
1,4,TRUE,258,2,31,0,220.4362,,,,,,
1,5,TRUE,111,8,0,0,229.2256,,,,,,
1,6,TRUE,16,2,0,0,196.6183,,,,,,
1,7,TRUE,258,2,15,0,223.154,,,,,,
1,8,TRUE,178,0,87,0,413.7116,,,,,,
1,9,TRUE,105,1,36,0,486.9226,,,,,,
1,10,TRUE,168,1,62,1,480.6552,,,,,,
1,11,TRUE,247,14,8,0,438.2626,,,,,,
2,1,TRUE,92,1,1,0,192.3213,doublet,2,22084,1337567932,60567.28546,5
2,2,TRUE,93,3,0,0,189.8313,doublet,2,22084,1337567932,60567.28546,5
2,3,TRUE,351,14,81,0,639.1348,doublet,,,,,2
2,4,TRUE,216,1,127,0,555.7973,doublet,,,,,2
2,5,TRUE,203,148,57,0,676.9343,,,,,,
2,6,TRUE,58,48,41,0,699.7675,,,,,,
2,7,TRUE,116,1,59,0,517.4702,,,,,,
2,8,TRUE,87,1,46,0,543.9395,,,,,,
2,9,TRUE,197,11,135,0,423.566,,,,,,
2,10,TRUE,13,1,0,0,326.0741,,,,,,
2,11,TRUE,73,0,0,0,248.8294,,,,,,
2,12,TRUE,57,44,14,0,506.6098,,,,,,
2,13,TRUE,1,3,0,0,864.676,doublet,,,,,4
2,14,TRUE,45,0,0,0,511.336,doublet,,,,,4
3,1,TRUE,174,3,37,0,420.6388,,,,,,
3,2,TRUE,187,2,50,0,383.9737,,,,,,
3,3,TRUE,281,10,166,0,466.2443,doublet,,,,,0
3,4,TRUE,81,67,55,0,437.3235,doublet,,,,,0
3,5,TRUE,149,37,49,0,718.5136,individual,0,0,0,0,0
3,6,TRUE,105,24,0,0,291.7198,doublet,0,0,0,0,0
3,7,TRUE,37,0,0,1,323.8435,doublet,0,0,0,0,0
4,1,TRUE,5,3,0,0,364.3859,doublet,,,,,3
4,2,TRUE,1,0,0,0,382.2052,doublet,,,,,3
4,3,TRUE,243,1,181,2,1171.473,doublet,,,,,0
4,4,TRUE,266,1,390,0,1192.335,doublet,,,,,0
4,5,TRUE,20,0,0,0,286.9229,doublet,,,,,5
4,6,TRUE,7,0,0,0,337.199,doublet,,,,,5
4,7,TRUE,57,0,1,0,436.1217,doublet,,,,,2
4,8,TRUE,43,0,35,0,555.4983,doublet,,,,,2
4,9,TRUE,41,2,0,0,414.7585,individual,,,,,4
4,10,TRUE,159,3,18,0,344.2094,doublet,,,,,3
4,11,TRUE,34,0,0,0,230.9616,doublet,,,,,3
5,1,TRUE,3,4,0,0,656.5162,doublet,0,0,0,0,
5,2,TRUE,29,2,2,0,413.737,doublet,0,0,0,0,
5,3,TRUE,102,0,3,0,272.6697,doublet,0,0,0,0,
5,4,TRUE,108,0,4,0,240.5357,doublet,0,0,0,0,
5,5,TRUE,176,1,18,0,324.8674,doublet,0,0,0,0,
5,6,TRUE,109,36,28,0,380.1056,doublet,0,0,0,0,
5,7,TRUE,69,67,21,0,539.604,,,,,,
5,8,TRUE,158,14,11,0,518.2761,,,,,,
5,9,TRUE,172,8,17,0,400.3247,,,,,,
6,1,TRUE,128,15,69,2,791.8816,doublet,0,0,0,0,
6,2,TRUE,106,17,52,0,518.4551,doublet,0,0,0,0,
6,3,TRUE,271,28,197,5,1041.9529,individual,0,0,0,0,
6,4,TRUE,69,2,2,1,479.3755,,,,,,
6,5,TRUE,112,2,24,1,467.6466,,,,,,
7,1,TRUE,150,1,51,0,414.6142,doublet,0,0,0,0,
7,2,TRUE,127,0,83,0,417.9583,doublet,0,0,0,0,
7,3,TRUE,39,0,57,0,622.8708,,,,,,
7,4,TRUE,102,2,40,0,369.7174,,,,,,
7,5,TRUE,122,51,88,0,900.0286,doublet,0,0,0,0,
7,6,TRUE,189,0,78,0,602.199,doublet,0,0,0,0,
7,7,TRUE,83,5,0,0,154.9219,doublet,0,0,0,0,
7,8,TRUE,119,2,5,0,249.3258,doublet,0,0,0,0,
7,9,TRUE,136,0,7,0,400.9094,doublet,0,0,0,0,
7,10,TRUE,91,0,0,0,356.581,doublet,0,0,0,0,
8,1,TRUE,232,15,82,0,827.9592,,,,,,
8,2,TRUE,384,39,312,1,2685.625,,,,,,
9,1,TRUE,39,2,0,0,238.2353,doublet,0,0,0,0,1
9,2,TRUE,71,4,19,0,344.6426,doublet,0,0,0,0,1
9,3,TRUE,187,16,172,0,788.2065,,,,,,
9,4,TRUE,142,0,0,0,268.0835,doublet,0,0,0,0,1
9,5,TRUE,196,0,0,0,267.1453,doublet,0,0,0,0,1
9,6,TRUE,88,0,9,0,358.5434,doublet,0,0,0,0,1
9,7,TRUE,121,1,6,0,259.7355,doublet,0,0,0,0,1
9,8,TRUE,141,3,38,0,731.1877,doublet,0,0,0,0,1
9,9,TRUE,138,157,30,0,510.1044,doublet,0,0,0,0,1
9,10,TRUE,172,0,0,0,338.1068,,,,,,
9,11,TRUE,91,0,0,0,312.0988,,,,,,
9,12,TRUE,213,5,57,0,594.6167,individual,0,0,0,0,0
10,1,TRUE,206,104,219,0,672.2583,,,,,,
10,2,TRUE,183,1,0,0,217.1929,individual,0,0,0,0,0
10,3,TRUE,281,24,78,1,384.2112,individual,0,0,0,0,0
10,4,TRUE,152,1,0,0,168.1195,doublet,0,0,0,0,1
10,5,TRUE,99,12,0,0,246.8691,doublet,0,0,0,0,1
10,6,TRUE,62,0,19,0,263.7612,doublet,0,0,0,0,1
10,7,TRUE,81,0,0,0,208.8376,doublet,0,0,0,0,1
10,8,TRUE,157,0,16,0,209.6176,individual,0,0,0,0,0
10,9,TRUE,129,105,0,0,377.1327,individual,0,0,0,0,0
12,1,TRUE,94,1,0,0,180.6308,doublet,0,0,0,0,2
12,2,TRUE,158,2,21,1,215.0953,doublet,0,0,0,0,2
12,3,TRUE,160,0,99,0,670.6693,individual,0,0,0,0,1
12,4,TRUE,191,4,161,0,1271.219,,,,,,
12,5,TRUE,176,2,132,0,700.3712,,,,,,
12,6,TRUE,107,1,58,1,823.5219,,,,,,
12,7,TRUE,67,2,32,0,856.8266,,,,,,
12,8,TRUE,105,1,34,1,1084.3722,,,,,,
12,9,TRUE,151,0,102,0,982.3795,,,,,,
12,10,TRUE,185,1,3,0,328.8011,doublet,0,0,0,0,1
12,11,TRUE,114,0,0,0,264.7385,doublet,0,0,0,0,1
12,12,TRUE,169,0,35,0,731.2702,doublet,0,0,0,0,1
12,13,TRUE,162,0,69,0,481.6128,doublet,0,0,0,0,1
12,14,TRUE,127,0,1,0,350.2066,,,,,,
12,15,TRUE,80,1,1,0,256.9652,,,,,,
12,16,TRUE,151,0,51,0,750.0812,individual,0,0,0,0,0
13,1,FALSE,178,40,129,1,614.1647,,,,,,
13,2,TRUE,75,11,71,0,1075.7928,doublet,0,0,0,0,0
13,3,TRUE,160,14,102,0,1197.9558,doublet,0,0,0,0,0
13,4,TRUE,9,136,439,1,506.4827,,,,,,
13,5,TRUE,22,147,14,1,2217.6753,individual,0,0,0,0,0
13,6,TRUE,176,0,0,0,305.9156,doublet,0,0,0,0,0
13,7,TRUE,14,0,0,0,436.8669,doublet,0,0,0,0,0
13,8,TRUE,31,0,0,0,269.0822,quad,0,0,0,0,2
13,9,TRUE,77,0,10,0,344.8762,quad,0,0,0,0,2
13,10,TRUE,41,0,0,0,226.9837,quad,0,0,0,0,2
13,11,TRUE,115,0,0,0,167.8673,quad,0,0,0,0,2
13,12,TRUE,46,0,1,0,321.864,,,,,,
13,13,TRUE,102,0,0,0,229.3489,,,,,,
13,14,TRUE,219,6,3,0,245.2685,doublet,0,0,0,0,1
13,15,TRUE,162,2,0,0,354.2152,doublet,0,0,0,0,1
14,1,TRUE,249,8,68,0,365.1498,individal,6,7455,424024911,56877.92233,3
14,2,TRUE,261,37,129,1,676.4132,individual,9,6582,380459231,57802.98253,3
14,3,TRUE,4,18,0,1,196.5174,individual,0,0,0,0,0
14,4,TRUE,204,3,0,0,301.8092,doublet,5,26041,1562882511,60016.22484,5
14,5,TRUE,57,0,0,1,228.9104,doublet,5,26041,1562882511,60016.22484,5
14,6,TRUE,18,22,1,0,398.6902,,,,,,
14,7,TRUE,116,54,2,0,460.1913,,,,,,
15,1,TRUE,153,47,56,1,537.1334,individual,0,0,0,0,0
15,2,TRUE,136,30,20,0,612.8973,individual,0,0,0,0,0
15,3,TRUE,70,1,0,0,203.0075,doublet,0,0,0,0,2
15,4,TRUE,92,0,0,0,188.2392,doublet,0,0,0,0,2
15,5,TRUE,98,37,8,0,227.9571,doublet,0,0,0,0,2
16,1,TRUE,228,15,64,0,257.1622,individual,0,0,0,0,0
16,2,TRUE,142,10,19,0,258.6937,doublet,0,0,0,0,0
16,3,TRUE,201,20,66,0,373.1494,doublet,0,0,0,0,0
16,4,TRUE,352,10,40,0,387.1763,individual,0,0,0,0,0
