objArrayNum,objNum,isGood,cy.RNA,GAPDH.RNA,Image,Cell,Score
1,1,TRUE,165,67,1,1,1
1,2,TRUE,183,21,1,2,1
2,1,TRUE,174,21,2,1,4
2,2,TRUE,145,25,2,2,4
2,3,TRUE,110,14,2,3,4
2,4,TRUE,191,0,2,4,3
2,5,TRUE,36,0,2,5,4
3,1,TRUE,33,0,3,1,4
3,2,TRUE,76,0,3,2,4
3,3,TRUE,129,24,3,3,4
3,4,TRUE,36,10,3,4,4
3,5,TRUE,79,19,3,5,4
3,6,TRUE,138,5,3,6,3
3,7,TRUE,140,0,3,7,4
3,8,TRUE,138,9,3,8,4
4,1,TRUE,217,21,4,1,1
4,2,TRUE,104,8,4,2,1
4,3,TRUE,144,12,4,3,0
4,4,TRUE,23,1,4,4,0
4,5,TRUE,109,0,4,5,0
4,6,TRUE,170,27,4,6,0
4,7,TRUE,245,20,4,7,1
5,1,TRUE,75,0,5,1,5
5,2,TRUE,150,12,5,2,2
5,3,TRUE,103,12,5,3,4
7,1,TRUE,172,0,7,1,4
7,2,TRUE,82,5,7,2,4
7,3,TRUE,53,0,7,3,5
7,4,TRUE,12,0,7,4,5
7,5,TRUE,1,0,7,5,5
7,6,TRUE,83,2,7,6,4
7,7,TRUE,1,0,7,7,4
7,8,TRUE,75,0,7,8,4
7,9,TRUE,35,1,7,9,4
8,1,TRUE,53,0,8,1,2
8,2,TRUE,33,0,8,2,4
8,3,TRUE,90,7,8,3,3
8,4,TRUE,55,0,8,4,4
8,5,TRUE,24,0,8,5,4
8,6,TRUE,53,0,8,6,5
8,7,TRUE,158,13,8,7,5
8,8,TRUE,98,18,8,8,5
8,9,TRUE,16,0,8,9,5
8,10,TRUE,89,7,8,10,5
9,1,TRUE,238,35,9,1,1
9,2,TRUE,21,0,9,2,4
9,3,TRUE,87,25,9,3,3
9,4,TRUE,138,55,9,4,0
9,5,TRUE,116,0,9,5,3
9,6,TRUE,74,6,9,6,3
9,7,TRUE,278,0,9,7,3
9,8,TRUE,21,0,9,8,4
10,1,TRUE,136,46,10,1,3
10,2,TRUE,56,4,10,2,3
10,3,TRUE,43,2,10,3,3
10,4,TRUE,101,0,10,4,4
10,5,TRUE,73,0,10,5,4
10,6,TRUE,0,0,10,6,3
10,7,TRUE,96,3,10,7,3
10,8,TRUE,133,0,10,8,4
10,9,TRUE,97,10,10,9,4
10,10,TRUE,143,11,10,10,4
10,11,TRUE,30,0,10,11,4
10,12,TRUE,1,8,10,12,4
10,13,TRUE,76,0,10,13,3
11,1,TRUE,119,30,11,1,2
11,2,TRUE,115,24,11,2,2
11,3,TRUE,101,0,11,3,1
11,4,TRUE,97,10,11,4,1
11,5,TRUE,148,19,11,5,2
11,6,TRUE,92,15,11,6,3
11,7,TRUE,121,7,11,7,3
12,1,TRUE,108,10,12,1,3
12,2,TRUE,68,17,12,2,2
12,3,TRUE,160,14,12,3,4
12,4,TRUE,68,1,12,4,4
12,5,TRUE,45,1,12,5,4
12,6,TRUE,185,53,12,6,3
12,7,TRUE,161,4,12,7,3
12,8,TRUE,138,20,12,8,3
12,9,TRUE,129,7,12,9,3
13,1,TRUE,213,25,13,1,0
13,2,TRUE,176,10,13,2,0
13,3,TRUE,201,1,13,3,5
13,4,TRUE,43,0,13,4,5
13,5,TRUE,148,32,13,5,1
13,6,TRUE,121,27,13,6,1
14,1,TRUE,140,77,14,1,0
14,2,TRUE,139,83,14,2,0
14,3,TRUE,281,35,14,3,4
14,4,TRUE,271,57,14,4,4
15,1,TRUE,112,0,15,1,5
15,2,TRUE,108,0,15,2,5
15,3,TRUE,153,0,15,3,3
15,4,TRUE,156,98,15,4,4
16,1,TRUE,19,0,16,1,5
16,2,TRUE,75,0,16,2,5
16,3,TRUE,108,49,16,3,5
16,4,TRUE,2,0,16,4,4
16,5,TRUE,0,0,16,5,4
16,6,TRUE,82,0,16,6,4
16,7,TRUE,11,0,16,7,4
16,8,TRUE,3,0,16,8,4
