objArrayNum,objNum,isGood,cy.RNA,GAPDH.RNA
2,1,true,124,9
2,2,true,301,1
2,3,true,204,40
2,4,true,206,30
2,5,true,191,70
2,6,true,291,65
3,1,true,207,141
3,2,true,212,239
3,3,true,129,23
3,4,true,191,240
3,5,true,180,130
3,6,true,195,61
3,7,true,122,119
3,8,true,68,47
3,9,true,172,75
3,10,true,228,159
3,11,true,326,145
3,12,true,322,88
3,13,true,230,162
3,14,true,214,162
3,15,true,215,58
3,16,true,230,136
3,17,true,375,94
3,18,true,162,64
3,19,true,196,56
3,20,true,176,138
3,21,true,216,157
4,1,true,154,101
4,2,true,140,123
4,3,true,262,183
4,4,true,124,114
4,5,true,276,110
4,6,true,239,157
4,7,true,162,136
4,8,true,156,233
4,9,true,219,191
4,10,true,173,108
4,11,true,215,162
5,1,true,146,142
5,2,true,240,90
5,3,true,152,69
5,4,true,129,32
5,5,true,121,21
5,6,true,194,140
5,7,true,232,66
5,8,true,199,154
5,9,true,205,75
5,10,true,207,146
6,1,true,185,103
6,2,true,316,132
6,3,true,229,130
6,4,true,189,163
6,5,true,130,12
6,6,true,210,76
6,7,true,226,142
6,8,true,180,25
6,9,true,233,173
6,10,true,246,53
6,11,true,288,166
7,1,true,230,91
7,2,true,246,230
7,3,true,420,405
7,4,true,313,311
7,5,true,137,144
7,6,true,147,101
7,7,true,196,109
7,8,true,193,53
7,9,true,233,139
7,10,true,188,55
7,11,true,147,202
7,12,true,79,102
7,13,true,294,159
8,1,true,115,56
8,2,true,200,109
8,3,true,179,93
8,4,true,129,14
8,5,true,148,81
8,6,true,175,91
8,7,true,327,265
9,1,true,119,37
9,2,true,150,76
9,3,true,197,118
9,4,true,129,64
9,5,true,88,44
9,6,true,133,28
