objArrayNum,objNum,isGood,GAPDH.RNA,cy.RNA
1,1,true,13,186
1,2,true,15,115
1,3,true,12,149
1,4,true,9,190
1,5,true,11,230
1,6,true,65,203
1,7,true,59,234
1,8,true,16,206
1,9,true,7,191
2,1,true,85,248
2,2,true,36,139
2,3,true,21,184
2,4,true,34,127
2,5,true,69,356
2,6,true,81,231
2,7,true,20,152
2,8,true,39,209
3,1,true,149,87
3,2,true,7,7
3,3,true,26,157
3,4,true,4,98
3,5,true,61,30
4,1,true,80,250
4,2,true,27,153
4,3,true,61,134
4,4,true,80,58
4,5,true,80,336
4,6,true,108,190
4,7,true,47,219
4,8,true,29,215
4,9,true,22,224
4,10,true,16,250
4,11,true,28,263
5,1,true,67,297
5,2,true,31,165
5,3,true,48,135
5,4,true,28,75
5,5,true,4,154
5,6,true,2,167
5,7,true,2,163
5,8,true,4,208
6,1,true,92,242
6,2,true,26,165
6,3,true,87,165
6,4,true,35,292
6,5,true,43,180
6,6,true,24,248
6,7,true,88,217
7,1,true,15,95
7,2,true,14,93
7,3,true,22,225
7,4,true,12,143
7,5,true,6,135
8,1,true,1,6
8,2,true,46,70
8,3,true,38,25
8,4,true,27,53
8,5,true,4,32
8,6,true,53,168
9,1,true,51,186
9,2,true,18,126
9,3,true,28,202
9,4,true,17,110
9,5,true,8,147
9,6,true,58,243
9,7,true,28,128
9,8,true,25,144
9,9,true,20,199
9,10,true,70,280
9,11,true,9,114
9,12,true,18,82
10,1,true,24,115
10,2,true,17,144
10,3,true,96,227
10,4,true,118,116
10,5,true,62,133
10,6,true,33,180
10,7,true,23,242
11,1,true,52,219
11,2,true,49,381
11,3,true,23,156
11,4,true,40,170
11,5,true,24,127
11,6,true,56,267
11,7,true,31,205
11,8,true,21,253
11,9,true,54,267
11,10,true,68,204
11,11,true,37,256
11,12,true,63,219
11,13,true,65,261
11,14,true,37,160
11,15,true,53,283
11,16,true,45,215
12,1,true,50,223
12,2,true,68,229
12,3,true,122,339
12,4,true,79,193
12,5,true,101,266
12,6,true,144,295
12,7,true,53,374
12,8,true,84,386
12,9,true,44,148
12,10,true,44,256
13,1,true,24,118
13,2,true,19,94
13,3,true,3,3
13,4,true,11,6
13,5,true,2,145
14,1,true,36,219
14,2,true,27,210
14,3,true,78,50
14,4,true,31,211
14,5,true,97,175
14,6,true,33,66
14,7,true,31,294
14,8,true,16,300
15,1,true,6,2
15,2,true,8,28
15,3,true,19,96
15,4,true,53,83
15,5,true,0,1
15,6,true,35,103
16,1,true,77,344
16,2,true,90,417
16,3,true,37,238
16,4,true,44,212
16,5,true,79,277
16,6,true,62,235
16,7,true,57,181
16,8,true,31,138
16,9,true,36,130
16,10,true,35,223
16,11,true,58,211
16,12,true,63,262
16,13,true,36,196
16,14,true,42,247
16,15,true,43,253
