objArrayNum,objNum,isGood,GAPDH.RNA,cy.RNA,Score
1,1,TRUE,13,186,3
1,2,TRUE,15,115,1
1,3,TRUE,12,149,1
1,4,TRUE,9,190,1
1,5,TRUE,11,230,2
1,6,TRUE,65,203,0
1,7,TRUE,59,234,0
1,8,TRUE,16,206,0
1,9,TRUE,7,191,0
2,1,TRUE,85,248,0
2,2,TRUE,36,139,0
2,3,TRUE,21,184,0
2,4,TRUE,34,127,0
2,5,TRUE,69,356,0
2,6,TRUE,81,231,0
2,7,TRUE,20,152,0
2,8,TRUE,39,209,0
3,1,TRUE,149,87,4
3,2,TRUE,7,7,4
3,3,TRUE,26,157,5
3,4,TRUE,4,98,5
3,5,TRUE,61,30,5
4,1,TRUE,80,250,0
4,2,TRUE,27,153,0
4,3,TRUE,61,134,0
4,4,TRUE,80,58,0
4,5,TRUE,80,336,0
4,6,TRUE,108,190,0
4,7,TRUE,47,219,0
4,8,TRUE,29,215,0
4,9,TRUE,22,224,0
4,10,TRUE,16,250,0
4,11,TRUE,28,263,0
5,1,TRUE,67,297,0
5,2,TRUE,31,165,0
5,3,TRUE,48,135,0
5,4,TRUE,28,75,0
5,5,TRUE,4,154,0
5,6,TRUE,2,167,0
5,7,TRUE,2,163,0
5,8,TRUE,4,208,0
6,1,TRUE,92,242,0
6,2,TRUE,26,165,0
6,3,TRUE,87,165,0
6,4,TRUE,35,292,0
6,5,TRUE,43,180,0
6,6,TRUE,24,248,0
6,7,TRUE,88,217,0
7,1,TRUE,15,95,2
7,2,TRUE,14,93,2
7,3,TRUE,22,225,0
7,4,TRUE,12,143,2
7,5,TRUE,6,135,3
8,1,TRUE,1,6,4
8,2,TRUE,46,70,4
8,3,TRUE,38,25,4
8,4,TRUE,27,53,3
8,5,TRUE,4,32,3
8,6,TRUE,53,168,2
9,1,TRUE,51,186,1
9,2,TRUE,18,126,0
9,3,TRUE,28,202,0
9,4,TRUE,17,110,5
9,5,TRUE,8,147,5
9,6,TRUE,58,243,0
9,7,TRUE,28,128,0
9,8,TRUE,25,144,1
9,9,TRUE,20,199,2
9,10,TRUE,70,280,0
9,11,TRUE,9,114,1
9,12,TRUE,18,82,1
10,1,TRUE,24,115,0
10,2,TRUE,17,144,0
10,3,TRUE,96,227,0
10,4,TRUE,118,116,0
10,5,TRUE,62,133,2
10,6,TRUE,33,180,0
10,7,TRUE,23,242,0
11,1,TRUE,52,219,0
11,2,TRUE,49,381,0
11,3,TRUE,23,156,0
11,4,TRUE,40,170,0
11,5,TRUE,24,127,0
11,6,TRUE,56,267,0
11,7,TRUE,31,205,0
11,8,TRUE,21,253,0
11,9,TRUE,54,267,0
11,10,TRUE,68,204,0
11,11,TRUE,37,256,0
11,12,TRUE,63,219,0
11,13,TRUE,65,261,0
11,14,TRUE,37,160,0
11,15,TRUE,53,283,0
11,16,TRUE,45,215,0
12,1,TRUE,50,223,0
12,2,TRUE,68,229,0
12,3,TRUE,122,339,0
12,4,TRUE,79,193,0
12,5,TRUE,101,266,0
12,6,TRUE,144,295,0
12,7,TRUE,53,374,0
12,8,TRUE,84,386,0
12,9,TRUE,44,148,0
12,10,TRUE,44,256,0
13,1,TRUE,24,118,4
13,2,TRUE,19,94,3
13,3,TRUE,3,3,4
13,4,TRUE,11,6,4
13,5,TRUE,2,145,4
14,1,TRUE,36,219,3
14,2,TRUE,27,210,3
14,3,TRUE,78,50,2
14,4,TRUE,31,211,1
14,5,TRUE,97,175,1
14,6,TRUE,33,66,1
14,7,TRUE,31,294,0
14,8,TRUE,16,300,0
15,1,TRUE,6,2,4
15,2,TRUE,8,28,4
15,3,TRUE,19,96,3
15,4,TRUE,53,83,2
15,5,TRUE,0,1,4
15,6,TRUE,35,103,4
16,1,TRUE,77,344,0
16,2,TRUE,90,417,0
16,3,TRUE,37,238,0
16,4,TRUE,44,212,0
16,5,TRUE,79,277,0
16,6,TRUE,62,235,0
16,7,TRUE,57,181,0
16,8,TRUE,31,138,0
16,9,TRUE,36,130,0
16,10,TRUE,35,223,0
16,11,TRUE,58,211,0
16,12,TRUE,63,262,0
16,13,TRUE,36,196,0
16,14,TRUE,42,247,0
16,15,TRUE,43,253,0
