objArrayNum,objNum,isGood,tmr.RNA,GAPDH.RNA
1,1,true,163,52
1,2,true,176,76
1,3,true,190,15
2,1,true,186,88
2,2,true,132,56
2,3,true,217,67
2,4,true,183,33
2,5,true,216,59
2,6,true,365,142
3,1,true,267,106
3,2,true,121,154
3,3,true,206,60
3,4,true,269,27
3,5,true,165,29
3,6,true,256,65
3,7,true,249,45
3,8,true,267,45
4,1,true,282,57
4,2,true,172,44
4,3,true,58,19
4,4,true,163,21
4,5,true,200,20
4,6,true,180,39
4,7,true,159,79
4,8,true,165,45
4,9,true,303,55
4,10,true,143,39
5,1,true,217,27
5,2,true,182,3
5,3,true,202,2
5,4,true,153,0
5,5,true,178,8
5,6,true,360,8
5,7,true,172,4
6,1,true,115,24
6,2,true,192,56
6,3,true,261,76
6,4,true,124,20
6,5,true,111,60
6,6,true,256,20
6,7,true,226,25
6,8,true,299,105
6,9,true,150,106
6,10,true,207,60
6,11,true,125,94
6,12,true,182,42
6,13,true,112,29
6,14,true,389,25
7,1,true,212,63
7,2,true,249,83
7,3,true,193,157
7,4,true,313,64
7,5,true,156,60
7,6,true,152,72
8,1,true,275,98
8,2,true,207,66
8,3,true,222,28
8,4,true,200,58
8,5,true,198,49
8,6,true,134,36
8,7,true,197,77
8,8,true,110,82
8,9,true,191,61
9,1,true,238,84
9,2,true,92,47
9,3,true,186,114
9,4,true,224,71
9,5,true,160,24
9,6,true,114,50
9,7,true,244,75
9,8,true,231,69
9,9,true,137,54
9,10,true,257,50
9,11,true,211,50
10,1,true,164,230
10,2,true,110,86
10,3,true,149,85
10,4,true,95,101
10,5,true,68,92
10,6,true,71,160
10,7,true,124,171
10,8,true,294,26
10,9,true,166,35
10,10,true,168,0
10,11,true,81,1
11,1,true,270,43
11,2,true,126,56
11,3,true,141,58
11,4,true,200,76
11,5,true,208,91
11,6,true,210,29
11,7,true,239,44
12,1,true,350,159
12,2,true,270,130
12,3,true,244,147
12,4,true,142,3
12,5,true,226,0
12,6,true,204,12
12,7,true,219,53
12,8,true,333,0
13,1,true,98,14
13,2,true,205,13
13,3,true,145,0
13,4,true,209,1
13,5,true,107,0
13,6,true,118,3
13,7,true,4,3
14,1,true,166,0
14,2,true,217,29
14,3,true,336,1
14,4,true,146,0
14,5,true,48,0
14,6,true,105,1
14,7,true,167,1
14,8,true,179,2
14,9,true,135,12
