objArrayNum,objNum,isGood,tmr.RNA,GAPDH.RNA,Score
1,1,TRUE,163,52,4
1,2,TRUE,176,76,3
1,3,TRUE,190,15,5
2,1,TRUE,186,88,0
2,2,TRUE,132,56,0
2,3,TRUE,217,67,0
2,4,TRUE,183,33,0
2,5,TRUE,216,59,0
2,6,TRUE,365,142,0
3,1,TRUE,267,106,0
3,2,TRUE,121,154,0
3,3,TRUE,206,60,0
3,4,TRUE,269,27,0
3,5,TRUE,165,29,0
3,6,TRUE,256,65,0
3,7,TRUE,249,45,0
3,8,TRUE,267,45,0
4,1,TRUE,282,57,1
4,2,TRUE,172,44,0
4,3,TRUE,58,19,1
4,4,TRUE,163,21,1
4,5,TRUE,200,20,1
4,6,TRUE,180,39,0
4,7,TRUE,159,79,0
4,8,TRUE,165,45,0
4,9,TRUE,303,55,1
4,10,TRUE,143,39,3
5,1,TRUE,217,27,4
5,2,TRUE,182,3,4
5,3,TRUE,202,2,3
5,4,TRUE,153,0,3
5,5,TRUE,178,8,2
5,6,TRUE,360,8,2
5,7,TRUE,172,4,2
6,1,TRUE,115,24,3
6,2,TRUE,192,56,3
6,3,TRUE,261,76,1
6,4,TRUE,124,20,2
6,5,TRUE,111,60,1
6,6,TRUE,256,20,0
6,7,TRUE,226,25,0
6,8,TRUE,299,105,0
6,9,TRUE,150,106,0
6,10,TRUE,207,60,0
6,11,TRUE,125,94,0
6,12,TRUE,182,42,0
6,13,TRUE,112,29,0
6,14,TRUE,389,25,0
7,1,TRUE,212,63,0
7,2,TRUE,249,83,0
7,3,TRUE,193,157,0
7,4,TRUE,313,64,0
7,5,TRUE,156,60,0
7,6,TRUE,152,72,0
8,1,TRUE,275,98,0
8,2,TRUE,207,66,1
8,3,TRUE,222,28,0
8,4,TRUE,200,58,0
8,5,TRUE,198,49,1
8,6,TRUE,134,36,1
8,7,TRUE,197,77,0
8,8,TRUE,110,82,0
8,9,TRUE,191,61,0
9,1,TRUE,238,84,0
9,2,TRUE,92,47,0
9,3,TRUE,186,114,0
9,4,TRUE,224,71,0
9,5,TRUE,160,24,0
9,6,TRUE,114,50,0
9,7,TRUE,244,75,0
9,8,TRUE,231,69,0
9,9,TRUE,137,54,0
9,10,TRUE,257,50,0
9,11,TRUE,211,50,0
10,1,TRUE,164,230,0
10,2,TRUE,110,86,0
10,3,TRUE,149,85,1
10,4,TRUE,95,101,0
10,5,TRUE,68,92,0
10,6,TRUE,71,160,0
10,7,TRUE,124,171,0
10,8,TRUE,294,26,3
10,9,TRUE,166,35,4
10,10,TRUE,168,0,5
10,11,TRUE,81,1,5
11,1,TRUE,270,43,0
11,2,TRUE,126,56,0
11,3,TRUE,141,58,0
11,4,TRUE,200,76,0
11,5,TRUE,208,91,0
11,6,TRUE,210,29,0
11,7,TRUE,239,44,0
12,1,TRUE,350,159,0
12,2,TRUE,270,130,0
12,3,TRUE,244,147,0
12,4,TRUE,142,3,4
12,5,TRUE,226,0,4
12,6,TRUE,204,12,3
12,7,TRUE,219,53,3
12,8,TRUE,333,0,5
13,1,TRUE,98,14,4
13,2,TRUE,205,13,4
13,3,TRUE,145,0,3
13,4,TRUE,209,1,2
13,5,TRUE,107,0,2
13,6,TRUE,118,3,2
13,7,TRUE,4,3,2
14,1,TRUE,166,0,3
14,2,TRUE,217,29,1
14,3,TRUE,336,1,2
14,4,TRUE,146,0,3
14,5,TRUE,48,0,2
14,6,TRUE,105,1,2
14,7,TRUE,167,1,NA
14,8,TRUE,179,2,NA
14,9,TRUE,135,12,NA
