objArrayNum,objNum,isGood,cy.RNA,tmr.RNA,GAPDH.RNA,alexa.RNA,Donor,CellNumber,ImgNum,ImgCellNum,Group,Score
1,1,FALSE,19,0,100,1,8,1,1,1,1,3
1,2,FALSE,24,34,80,1,8,2,1,2,,3
1,3,TRUE,510,23,412,1,8,3,1,3,2,4
1,4,TRUE,435,27,324,0,8,4,1,4,,4
2,1,TRUE,411,8,159,0,8,5,2,1,1,2
2,2,TRUE,364,2,273,0,8,6,2,2,,2
2,3,TRUE,322,369,201,0,8,7,2,3,2,2
2,4,TRUE,152,169,114,0,8,8,2,4,,2
3,1,FALSE,718,256,40,11,8,9,3,1,1,3
3,2,FALSE,60,66,61,44,8,10,3,2,2,3
3,3,TRUE,370,492,104,0,8,11,3,3,3,4
3,4,TRUE,426,187,168,1,8,12,3,4,,4
4,1,TRUE,353,193,179,0,8,13,4,1,1,3
4,2,TRUE,509,321,211,2,8,14,4,2,,3
4,3,TRUE,292,284,91,1,8,15,4,3,2,4
4,4,TRUE,474,415,112,0,8,16,4,4,,4
4,5,TRUE,492,395,161,0,8,17,4,5,3,5
4,6,TRUE,564,269,239,0,8,18,4,6,,5
4,7,TRUE,335,301,255,0,8,19,4,7,4,2
4,8,TRUE,241,139,139,0,8,20,4,8,,2
5,1,TRUE,863,241,621,0,8,21,5,1,1,4
5,2,TRUE,639,143,227,0,8,22,5,2,,4
5,3,TRUE,917,103,732,0,8,23,5,3,2,2
5,4,TRUE,284,38,262,0,8,24,5,4,,3
5,5,TRUE,418,152,353,0,8,25,5,5,3,4
5,6,TRUE,755,219,584,0,8,26,5,6,,4
5,7,TRUE,557,439,203,0,8,27,5,7,4,4
5,8,TRUE,592,117,129,1,8,28,5,8,5,3
5,9,TRUE,232,41,43,0,8,29,5,9,,3
6,1,TRUE,701,474,531,0,8,30,6,1,1,4
6,2,TRUE,374,180,380,0,8,31,6,2,,4
6,3,TRUE,476,361,462,0,8,32,6,3,,4
6,4,TRUE,257,190,639,0,8,33,6,4,,4
6,5,TRUE,542,23,263,0,8,34,6,5,2,4
6,6,TRUE,599,46,213,0,8,35,6,6,,4
6,7,TRUE,500,253,218,0,8,36,6,7,3,5
6,8,TRUE,406,209,497,0,8,37,6,8,,5
6,9,TRUE,345,157,124,0,8,38,6,9,,5
7,1,TRUE,422,460,223,1,8,39,7,1,1,3
7,2,TRUE,348,404,205,0,8,40,7,2,,3
7,3,TRUE,307,151,120,0,8,41,7,3,2,3
7,4,TRUE,398,151,158,0,8,42,7,4,,3
7,5,TRUE,1,0,31,0,8,43,7,5,4,1
8,1,TRUE,450,1,138,0,8,44,8,1,1,4
8,2,TRUE,299,0,84,0,8,45,8,2,,4
8,3,TRUE,297,411,423,0,8,46,8,3,2,3
8,4,TRUE,214,266,349,0,8,47,8,4,,3
8,5,TRUE,532,170,312,0,8,48,8,5,3,4
8,6,TRUE,407,99,349,0,8,49,8,6,,4
