objArrayNum,objNum,isGood,group,cy.RNA,tmr.RNA,GAPDH.RNA,alexa.RNA
1,1,true,1,359,208,373,0
1,2,true,1,304,77,519,1
2,1,true,1,202,0,186,0
2,2,true,1,313,0,363,0
3,1,true,1,24,64,149,0
3,2,true,1,170,119,275,0
5,1,true,3,387,7,324,1
5,2,true,6,477,21,212,0
5,3,true,4,210,211,305,0
5,4,true,5,162,11,220,0
5,5,true,1,397,19,136,0
5,6,true,7,414,12,104,0
5,7,false,2,164,3,370,0
6,1,true,1,277,197,217,0
6,2,true,1,232,192,171,0
6,3,true,1,505,352,680,0
9,1,true,1,517,243,302,0
9,2,true,2,392,422,438,3
9,3,true,3,550,1,329,1
9,4,true,4,528,273,268,1
10,1,true,1,218,98,214,1
10,2,true,2,519,364,479,1
11,1,true,1,249,249,458,1
11,2,true,2,529,114,643,0
11,3,true,3,226,187,166,1
12,1,true,1,761,118,598,1
12,2,true,1,484,26,302,2
12,3,true,1,590,50,267,0
13,1,true,1,574,442,495,1
15,1,true,1,202,0,571,0
15,2,true,2,1061,0,180,0
15,3,true,3,295,1,234,0
15,4,true,4,361,14,72,0
15,5,true,4,322,0,79,0
15,6,true,6,239,25,233,0
15,7,true,7,291,0,247,0
15,8,true,8,153,0,128,0
15,9,true,9,163,0,154,1
15,10,true,10,159,7,209,0
16,1,true,1,278,37,213,0
16,2,true,1,221,18,259,0
16,3,true,2,53,0,128,0
16,4,true,2,28,0,235,0
16,5,true,2,10,0,111,0
17,1,true,1,17,1,154,0
17,2,true,1,23,2,158,0
17,3,true,3,193,0,270,0
17,4,true,2,147,11,393,0
17,5,true,2,325,64,545,0
17,6,true,2,200,0,114,0
18,1,true,1,129,0,66,0
18,2,true,1,43,0,5,0
18,3,true,1,5,0,0,0
18,4,true,1,77,0,22,0
19,1,true,1,170,19,91,0
19,2,true,1,132,0,83,0
19,3,true,1,39,0,67,0
19,4,true,1,69,0,196,0
20,1,true,1,304,0,331,0
20,2,true,2,740,0,126,0
20,3,true,3,247,0,162,0
20,4,true,3,308,0,173,0
20,5,true,5,0,0,100,2
21,1,true,1,1191,0,454,0
21,2,true,2,157,0,54,0
21,3,true,2,348,0,245,1
21,4,true,2,415,0,154,0
21,5,true,2,479,0,52,0
22,1,true,1,497,127,311,1
22,2,true,1,691,196,622,0
23,1,true,1,462,796,884,0
23,2,true,2,955,307,461,0
23,3,true,3,432,215,532,0
23,4,true,4,197,91,177,0
23,5,true,4,226,116,147,0
23,6,true,2,514,92,241,0
23,7,true,7,2,0,97,0
23,8,true,8,247,205,507,0
24,1,true,1,288,8,4,1
24,2,true,1,23,0,2,0
25,1,true,1,718,308,446,0
25,2,true,2,730,321,394,0
25,3,true,1,402,117,143,0
25,4,true,1,208,77,56,2
