dataFile,objNum,isGood,alexa.RNA,tmr.RNA,cy.RNA,GAPDH.RNA,area
data001.mat,1,1,0,66,400,337,16892
data001.mat,2,1,0,9,202,340,15601
data001.mat,3,1,1,267,823,524,28434
data002.mat,1,1,12,11,6,804,29799
data002.mat,2,1,0,547,433,656,23257
data003.mat,1,1,1,236,544,476,16090
data003.mat,2,1,2,11,12,1023,27740
data004.mat,1,1,10,237,432,525,13987
data004.mat,2,1,2,70,140,256,8028
data004.mat,3,1,1,86,257,499,16056
data004.mat,4,1,0,140,267,193,9955
data005.mat,1,1,2,265,296,105,11509
data005.mat,2,1,0,14,115,431,18689
data006.mat,1,1,12,167,218,554,20686
data006.mat,2,1,2,80,383,376,10780
data006.mat,3,1,0,54,220,312,8334
data007.mat,1,1,1,3,34,327,20570
data007.mat,2,1,11,44,292,876,24972
data008.mat,1,1,5,22,155,249,16863
data008.mat,2,1,9,85,136,273,21493
data008.mat,3,1,0,27,116,358,15719
data009.mat,1,1,0,33,383,316,16297
data010.mat,1,1,0,180,107,244,20200
data011.mat,1,1,0,18,449,551,24480
data012.mat,1,1,1,4,3,312,18391
data012.mat,2,1,2,58,401,360,17321
data013.mat,1,1,1,34,270,373,15606
data013.mat,2,1,0,35,136,188,21824
data013.mat,3,0,2,39,116,186,11310
data014.mat,1,1,2,16,331,255,23524
data014.mat,2,1,0,2,292,239,16462
data015.mat,1,1,0,9,64,155,19091
data016.mat,1,1,1,2,182,412,23321
data016.mat,2,1,1,27,6,27,18944
data016.mat,3,1,3,32,252,208,18494
data016.mat,4,1,1,27,282,241,22617
data017.mat,1,1,15,88,318,607,19271
data017.mat,2,1,5,46,244,210,14474
data017.mat,3,1,1,3,6,164,10309
data017.mat,4,1,0,14,0,0,12325
data018.mat,1,1,2,2,35,504,27693
data018.mat,2,1,0,7,209,617,27400
data018.mat,3,1,0,13,0,0,16114
data018.mat,4,1,4,121,203,329,25376
data019.mat,1,0,0,61,0,0,22115
data019.mat,2,0,1,51,3,0,27855
data020.mat,1,1,1,45,0,3,21121
data020.mat,2,1,2,33,0,20,20109
data020.mat,3,1,6,46,3,37,30033
data020.mat,4,1,0,3,1,9,17747
data020.mat,5,1,0,4,0,0,25729
data021.mat,1,1,1,6,1,7,22332
data021.mat,2,1,0,28,0,21,19389
data021.mat,3,1,0,99,0,0,24707
data021.mat,4,1,1,3,2,42,29676
data021.mat,5,1,1,2,0,3,22087
data022.mat,1,1,0,69,0,0,24062
data022.mat,2,1,1,71,0,13,18979
data022.mat,3,1,0,66,0,4,29441
data022.mat,4,1,0,47,0,2,23614
data022.mat,5,1,2,19,0,2,16705
data023.mat,1,1,2,27,11,263,25150
data023.mat,2,1,5,448,332,277,19609
data023.mat,3,1,0,263,227,154,16702
data023.mat,4,1,1,213,346,369,17794
data023.mat,5,1,2,201,312,333,19867
data023.mat,6,1,1,416,307,234,21572
data023.mat,7,1,0,44,3,2,25409
data024.mat,1,1,2,269,253,329,26484
data024.mat,2,1,1,390,501,239,21306
data025.mat,1,1,0,172,456,378,27714
data025.mat,2,1,0,212,49,131,19698
data025.mat,3,1,4,239,279,282,20760
data025.mat,4,1,0,182,0,8,26678
data025.mat,5,1,0,143,201,216,18272
data026.mat,1,1,1,20,84,129,17539
data026.mat,2,1,4,132,299,445,29642
data026.mat,3,1,1,19,225,280,21420
data027.mat,1,1,0,355,314,327,20181
data027.mat,2,1,0,458,399,582,30405
data027.mat,3,1,0,294,349,780,37961
data028.mat,1,1,1,61,0,17,21596
data028.mat,2,1,1,110,2,27,40940
data028.mat,3,1,0,77,0,8,24229
data028.mat,4,1,0,60,0,2,16268
data028.mat,5,1,0,58,0,13,14671
data029.mat,1,1,0,247,295,297,19301
data029.mat,2,1,2,19,200,270,20436
data029.mat,3,1,1,459,133,834,58650
data029.mat,4,1,3,460,343,451,27756
data030.mat,1,1,1,246,177,564,43349
data030.mat,2,1,0,37,0,6,21152
data030.mat,3,1,7,89,99,180,27019
data031.mat,1,1,0,2,259,225,17200
data031.mat,2,1,3,324,145,513,24289
data031.mat,3,1,12,163,181,208,14623
data031.mat,4,1,0,264,447,472,27729
data032.mat,1,1,4,261,362,428,29036
data032.mat,2,1,0,10,200,178,22490
data032.mat,3,1,0,12,8,197,27783
data033.mat,1,1,3,241,218,631,29622
data033.mat,2,1,12,163,228,502,25363
data033.mat,3,1,3,365,349,597,20536
data034.mat,1,1,1,265,261,309,15581
data034.mat,2,1,1,245,267,296,16297
data034.mat,3,1,0,340,601,259,22739
data034.mat,4,1,1,413,376,295,21096
data035.mat,1,1,2,226,344,311,20436
data035.mat,2,1,1,20,147,408,16646
data035.mat,3,1,1,75,64,305,14580
data036.mat,1,1,3,267,2,173,17931
data036.mat,2,1,2,267,384,254,28944
data036.mat,3,1,1,450,398,459,25916
