objArrayNum,objNum,isGood,cy.RNA,tmr.RNA,GAPDH.RNA,alexa.RNA
1,1,true,7,205,15,0
1,2,true,1,53,0,3
3,1,true,1,13,26,4
3,2,true,3,8,29,0
4,1,true,5,73,64,1
4,2,true,5,179,116,4
4,3,true,14,100,0,0
4,4,true,39,330,6,7
4,5,true,15,170,154,0
5,1,true,6,454,35,11
5,2,true,8,206,132,0
5,3,true,5,89,12,1
6,1,true,104,283,100,4
6,2,true,46,60,64,0
6,3,true,255,40,92,4
6,4,true,23,25,14,1
6,5,true,26,150,39,8
7,1,true,58,112,24,0
7,2,true,3,185,95,1
7,3,true,4,21,101,1
7,4,true,2,13,56,8
7,5,true,50,251,15,0
7,6,true,16,181,29,5
7,7,true,154,139,25,3
8,1,true,18,362,231,12
8,2,true,11,464,28,18
8,3,true,1,73,34,13
8,4,true,1,346,80,10
9,1,true,33,386,156,9
9,2,true,57,163,130,10
9,3,true,231,317,98,2
10,1,true,28,214,16,4
10,2,true,4,5,46,10
10,3,true,31,39,61,6
10,4,true,1,11,98,9
10,5,true,4,8,152,12
10,6,true,22,180,175,1
10,7,true,17,27,51,2
10,8,true,12,10,165,1
10,9,true,48,12,91,3
10,10,true,21,55,46,0
10,11,true,3,7,262,5
11,1,true,481,110,172,15
11,2,true,75,75,92,3
11,3,true,1,45,54,1
11,4,true,1,64,107,2
11,5,true,10,205,98,1
12,1,true,4,61,20,4
12,2,true,3,21,7,2
12,3,true,2,130,138,1
12,4,true,125,363,66,7
12,5,true,54,153,0,2
