objArrayNum,objNum,isGood,isDead,cy.RNA,tmr.RNA,GAPDH.RNA,alexa.RNA
1,1,true,true,8,0,1,0
1,2,true,true,33,0,0,0
1,3,true,false,16,0,0,3
1,4,true,false,121,0,0,0
2,1,true,false,14,0,0,0
2,2,true,true,1,0,0,0
3,1,true,false,70,245,241,0
3,2,true,true,1,0,0,0
3,3,true,true,1,0,0,0
3,4,true,true,0,1,0,0
4,1,true,false,11,190,152,0
4,2,true,true,5,0,0,0
4,3,true,true,1,0,0,0
4,4,true,true,2,0,0,0
5,1,true,false,182,0,34,0
5,2,true,true,0,0,0,0
5,3,true,true,0,0,0,0
6,1,true,false,16,35,56,0
6,2,true,true,0,0,0,0
7,1,true,false,46,46,95,1
7,2,true,false,54,2,95,0
7,3,true,false,5,54,83,0
7,4,true,false,33,259,194,0
7,5,true,true,4,1,0,0
8,1,true,false,446,73,537,0
8,2,true,true,3,0,1,1
9,1,true,false,151,1,104,0
9,2,true,true,2,0,0,0
9,3,true,true,1,0,0,0
9,4,true,true,3,0,0,0
9,5,true,true,1,0,2,0
10,1,true,false,78,26,84,0
10,2,true,false,32,43,51,0
10,3,true,false,1,0,0,1
10,4,true,true,1,0,0,0
10,5,true,true,8,0,0,0
11,1,true,false,76,0,210,0
11,2,true,false,47,2,57,3
11,3,true,true,0,0,0,1
11,4,true,true,5,0,0,1
11,5,true,true,1,0,0,0
11,6,true,true,0,0,1,0
12,1,true,false,275,0,177,0
12,2,true,true,6,0,0,1
12,3,true,true,3,0,0,0
12,4,true,true,0,0,0,0
12,5,true,true,3,0,0,2
12,6,true,true,1,0,0,0
13,1,true,true,94,1,50,1
13,2,true,true,121,1,20,0
13,3,true,true,131,1,54,0
13,4,true,true,1,0,0,0
14,1,true,false,45,0,87,0
14,2,true,false,50,0,83,0
14,3,true,false,62,97,77,0
14,4,true,false,3,1,109,0
14,5,true,false,4,11,88,1
15,1,true,true,56,2,25,0
15,2,true,true,0,0,0,0
15,3,true,true,0,0,0,0
15,4,true,true,0,0,0,0
15,5,true,true,2,0,0,0
16,1,true,false,74,0,190,0
16,2,true,false,21,0,97,0
16,3,true,false,10,0,32,0
16,4,true,true,1,0,0,0
16,5,true,true,1,0,0,0
17,1,true,false,152,0,227,0
17,2,true,false,137,0,125,0
17,3,true,true,2,1,1,1
17,4,true,true,3,1,1,1
18,1,true,false,56,1,115,0
18,2,true,true,4,2,0,1
18,3,true,true,1,1,0,0
19,1,true,false,10,1,100,0
19,2,true,true,2,1,37,0
19,3,true,true,1,1,0,0
20,1,true,false,1,1,205,0
20,2,true,true,1,2,0,0
20,3,true,true,2,0,0,0
20,4,true,true,1,0,0,0
21,1,true,false,51,0,149,1
21,2,true,false,4,0,101,0
21,3,true,true,6,0,0,0
21,4,true,true,1,0,0,0
21,5,true,true,3,0,0,0
22,1,true,false,48,0,215,2
22,2,true,false,141,0,373,0
23,1,true,false,88,0,260,0
23,2,true,true,2,0,0,2
23,3,true,true,1,0,0,0
23,4,true,true,0,0,0,0
24,1,true,false,104,0,197,0
24,2,true,false,221,0,139,1
24,3,true,true,0,0,0,0
24,4,true,true,0,0,0,0
24,5,true,true,0,0,0,0
24,6,true,true,0,0,0,0
25,1,true,false,1,9,67,2
25,2,true,true,1,0,0,0
25,3,true,true,0,0,0,0
26,1,true,false,9,0,199,0
26,2,true,false,6,0,248,0
27,1,true,false,18,0,51,1
27,2,true,false,2,0,42,0
27,3,true,false,10,0,76,0
27,4,true,false,24,0,89,0
27,5,true,false,196,0,239,0
27,6,true,false,8,0,89,0
28,1,true,false,3,0,76,0
28,2,true,false,15,0,76,0
28,3,true,true,0,0,0,0
29,1,true,false,267,0,327,0
29,2,true,true,5,0,0,0
29,3,true,true,0,0,0,0
29,4,true,true,1,0,4,0
30,1,true,false,5,0,121,0
31,1,true,false,100,0,109,4
31,2,true,false,260,81,242,3
32,1,true,false,44,0,32,0
32,2,true,true,2,0,0,0
33,1,true,false,89,0,131,0
33,2,true,false,101,0,132,0
33,3,true,false,1,0,1,0
33,4,true,false,1,0,3,0
34,1,true,false,93,0,147,1
34,2,true,true,2,0,0,0
34,3,true,true,1,0,0,0
34,4,true,true,0,0,0,0
35,1,true,false,17,0,64,0
35,2,true,false,24,0,60,0
35,3,true,true,0,0,0,0
35,4,true,true,1,0,2,0
36,1,true,false,7,0,32,0
36,2,true,false,19,0,31,0
37,1,true,false,23,0,69,0
38,1,true,false,64,0,187,0
39,1,true,false,3,0,100,3
40,1,true,false,1,0,239,0
40,2,true,false,2,0,88,0
40,3,true,false,3,0,53,0
41,1,true,false,17,0,136,0
41,2,true,false,1,8,109,0
42,1,true,false,50,0,103,0
43,1,true,false,0,98,70,0
44,1,true,false,74,0,126,0
44,2,true,false,79,0,107,1
