Originating File,Donor,Day,Passage,Cell Count Watershed - Dead,Cell Count Watershed - Live,% Live- Watershed,Cell Count Filter - Dead,Cell Count Filter - Live,%Live - Filter
P1_Don1_Day01_A.png,1,1,1,145,1666,0.919933738,90,1223,0.931454684
P1_Don1_Day01_B.png,1,1,1,91,1492,0.942514214,67,905,0.931069959
P1_Don1_Day01_C.png,1,1,1,171,1477,0.896237864,102,1127,0.917005696
P1_Don1_Day07_A.png,1,7,1,78,1636,0.954492415,69,1342,0.951098512
P1_Don1_Day07_B.png,1,7,1,44,1854,0.976817703,36,1453,0.9758227
P1_Don1_Day07_C.png,1,7,1,34,1387,0.976073188,28,1133,0.97588286
P1_Don1_Day14_A.png,1,14,1,97,2483,0.962403101,63,1740,0.965058236
P1_Don1_Day14_B.png,1,14,1,136,2516,0.948717949,104,1761,0.944235925
P1_Don1_Day14_C.png,1,14,1,114,2801,0.960891938,71,1895,0.963886063
P1_Don3_Day01_A.png,3,1,1,66,1335,0.952890792,43,922,0.955440415
P1_Don3_Day01_B.png,3,1,1,49,902,0.948475289,31,661,0.955202312
P1_Don3_Day01_C.png,3,1,1,54,1015,0.9494855,36,722,0.952506596
P1_Don3_Day07_A.png,3,7,1,74,1277,0.945225759,59,991,0.943809524
P1_Don3_Day07_C.png,3,7,1,61,1332,0.95620962,42,1006,0.959923664
P1_Don3_Day07_b.png,3,7,1,48,1741,0.973169368,35,1337,0.974489796
P1_Don3_Day14_A.png,3,14,1,321,2036,0.863809928,229,1558,0.871852266
P1_Don3_Day14_B.png,3,14,1,283,1500,0.841278744,113,1285,0.919170243
P1_Don3_Day14_C.png,3,14,1,282,2181,0.885505481,210,1496,0.876905041
P5_Don1_Day01_A.png,1,1,5,80,2154,0.964189794,66,1889,0.966240409
P5_Don1_Day01_B.png,1,1,5,60,1759,0.967014843,52,1585,0.968234575
P5_Don1_Day01_C.png,1,1,5,60,1964,0.970355731,55,1727,0.969135802
P5_Don1_Day14_B.png,1,14,5,56,1673,0.967611336,30,1345,0.978181818
P5_Don1_Day14_C.png,1,14,5,6,1311,0.995444191,1,1004,0.999004975
P5_Don3_Day01_A.png,3,1,5,64,1244,0.951070336,58,1076,0.948853616
P5_Don3_Day01_B.png,3,1,5,67,1535,0.958177278,51,1359,0.963829787
P5_Don3_Day01_C.png,3,1,5,123,1588,0.928112215,94,1407,0.937375083
P5_Don3_Day14_A.png,3,14,5,101,1296,0.927702219,61,1071,0.946113074
P5_Don3_Day14_B.png,3,14,5,139,1313,0.904269972,90,1086,0.923469388
P5_Don3_Day14_C.png,3,14,5,102,964,0.904315197,67,810,0.923603193
