donor,passage,day,real,centerX,centerY,radiusMicrons,nNuclei,totalIntensity,areaPxSq,normalizedIntensity,normI-BG,totalI-BG
1,1,1,1,190.8707506,1112.031767,8.895534234,1,156724153,2427.694234,64556.79,141.7925317,344228.9116
1,1,1,1,2525.208157,1082.495877,8.802427931,2,153462742,2377.140614,64557.70,142.7047978,339229.3705
1,1,1,1,685.573581,911.3563031,11.33896567,4,254415836,3944.543928,64498.16,83.16269143,328038.8895
1,1,1,1,280.8446026,1108.864093,7.493369759,1,111363683,1722.678537,64645.66,230.6553786,397345.07
1,1,1,1,1252.449944,1801.274094,10.20461628,1,206239457,3194.797041,64554.79,139.7915393,446605.5962
1,1,1,1,224.780199,1120.193688,8.69042033,1,149226556,2317.029062,64404.27,-10.73401117,-24871.01584
1,1,1,1,346.5124321,913.9848769,9.556419223,1,180329586,2801.820461,64361.58,-53.42205325,-149679.0019
1,1,1,1,1252.883237,1734.242806,9.206071936,1,167431829,2600.151447,64393.11,-21.89350946,-56926.4403
1,1,1,1,1877.538274,1133.958306,5.793258519,2,66383712,1029.664486,64471.21,56.2067741,57874.11917
1,1,1,1,527.0338669,1757.97705,8.439424483,1,141141004,2185.121443,64591.84,176.8351379,386406.2518
1,1,1,1,1042.228587,632.2764964,10.67725423,1,225755507,3497.591489,64545.99,130.9904904,458151.2245
1,1,1,1,1839.358353,193.6327535,11.11696715,1,244975997,3791.6004,64610.18,195.1833435,740057.2432
1,1,1,1,169.3947181,1367.809632,8.084887165,1,129302856,2005.38537,64477.81,62.80956717,125957.3871
1,1,1,1,2087.607454,287.0051115,14.2476518,3,401801774,6227.826446,64517.18,102.175851,636333.4671
1,1,1,1,2521.822132,757.5452974,9.66034449,1,184723147,2863.090945,64518.78,103.7842521,297143.7525
1,1,1,1,819.7127688,1932.182675,9.751821985,1,188296489,2917.571082,64538.78,123.7836994,361147.7418
1,1,1,1,206.1273898,1307.553596,7.012763682,1,97400528,1508.788358,64555.46,140.4609821,211925.8947
1,1,1,1,1827.625858,1437.435136,10.09413106,1,201293162,3125.991512,64393.38,-21.6191382,-67581.24252
1,1,1,1,1871.97014,1791.856777,9.384365413,1,175116579,2701.840681,64813.81,398.8064652,1077511.532
1,1,1,1,38.28187341,95.55466592,5.557067543,1,60825001,947.4172042,64200.86,-214.1381942,-202878.2093
1,1,1,1,1973.933318,1712.313529,8.36671326,1,138475657,2147.631112,64478.33,63.32509786,135998.9503
1,1,1,1,924.5924737,881.9237232,6.092425156,2,73577556,1138.755064,64612.28,197.2755452,224648.5261
1,1,1,1,1331.561394,1657.180866,7.183979317,1,101965931,1583.361434,64398.39,-16.60756328,-26295.77521
1,1,1,1,182.4296685,470.003695,6.484597821,1,83202421,1290.078116,64494.10,79.09535278,102039.1837
1,1,1,1,1160.512797,1852.973498,8.474515721,1,141597795,2203.330749,64265.34,-149.662148,-329755.2128
1,1,1,1,1704.809086,31.75148125,7.852823345,1,122211591,1891.914787,64596.77,181.7735102,343899.9918
1,1,1,1,477.6782195,1378.291296,5.705648112,1,64500610,998.7571084,64580.88,165.8770285,165670.8614
1,1,1,1,1800.098679,1815.444076,11.51061361,4,262749549,4064.871937,64639.07,224.0718092,910823.2089
1,1,1,1,514.834179,1409.170312,14.99807751,3,444780507,6901.144221,64450.26,35.25531141,243301.9886
1,1,1,1,1869.914923,80.33616073,8.940414298,1,157642026,2452.252607,64284.58,-130.4211827,-319825.6854
1,1,1,1,1467.617356,1674.3948,5.458613544,1,59045126,914.1439995,64590.62,175.6181414,160540.2702
1,1,1,1,1138.8355,544.2532079,8.948257397,1,158298019,2456.557037,64438.98,23.97560385,58897.43836
1,1,1,1,2331.758213,1343.634159,11.11959758,2,244355462,3793.394904,64416.04,1.035818341,3929.268014
1,1,1,1,1752.748507,1152.180564,7.336139531,1,106426924,1651.144498,64456.46,41.45677841,68451.1316
1,1,1,1,35.47621947,145.3145679,8.379158749,1,138657320,2154.025067,64371.27,-43.7342649,-94204.70289
1,1,1,1,561.1071835,1967.18165,6.756315629,1,90150238,1400.456991,64372.01,-42.98531364,-60199.08301
1,1,1,1,283.0078433,581.163576,10.54531837,1,219538663,3411.688002,64348.99,-66.01414598,-225219.6698
1,1,1,1,2443.214863,1742.910248,8.225049519,1,133492300,2075.520172,64317.52,-97.48490242,-202331.8814
1,1,1,1,1876.069623,537.7687672,5.767884279,1,65661909,1020.664461,64332.51,-82.4876914,-84192.25508
1,1,1,0,0,0,0,1,0,0,64415.00,0,0
1,1,1,0,0,0,0,1,0,0,64415.00,0,0
1,1,1,0,0,0,0,1,0,0,64415.00,0,0
1,1,1,0,0,0,0,1,0,0,64415.00,0,0
1,1,1,0,0,0,0,1,0,0,64415.00,0,0
1,1,1,0,0,0,0,1,0,0,64415.00,0,0
1,1,1,0,0,0,0,1,0,0,64415.00,0,0
1,1,1,0,0,0,0,1,0,0,64415.00,0,0
1,1,1,0,0,0,0,1,0,0,64415.00,0,0
1,1,1,0,0,0,0,1,0,0,64415.00,0,0
1,1,1,0,0,0,0,1,0,0,64415.00,0,0
1,1,1,0,0,0,0,1,0,0,64415.00,0,0
1,1,1,0,0,0,0,1,0,0,64415.00,0,0
1,1,1,0,0,0,0,1,0,0,64415.00,0,0
1,1,1,0,0,0,0,1,0,0,64415.00,0,0
1,1,1,0,0,0,0,1,0,0,64415.00,0,0
1,1,1,0,0,0,0,1,0,0,64415.00,0,0
1,1,1,0,0,0,0,1,0,0,64415.00,0,0
1,1,1,0,0,0,0,1,0,0,64415.00,0,0
1,1,1,0,0,0,0,1,0,0,64415.00,0,0
1,1,1,0,0,0,0,1,0,0,64415.00,0,0
1,1,1,0,0,0,0,1,0,0,64415.00,0,0
1,1,1,0,0,0,0,1,0,0,64415.00,0,0
1,1,1,0,0,0,0,1,0,0,64415.00,0,0
1,1,1,0,0,0,0,1,0,0,64415.00,0,0
