donor,passage,diameterMicrons,radiusMicrons
1,0,11.32,5.66
1,0,10.2,5.1
1,0,10.33,5.165
1,0,15.63,7.815
1,0,10.9,5.45
1,0,10.46,5.23
1,0,10.27,5.135
1,0,10.59,5.295
1,0,12.39,6.195
1,0,10.2,5.1
1,0,12.01,6.005
1,0,11.08,5.54
1,0,11.08,5.54
1,0,11.55,5.775
1,0,10.9,5.45
1,0,10.53,5.265
1,0,10.96,5.48
1,0,12.44,6.22
1,0,10.4,5.2
1,0,11.9,5.95
1,0,10.65,5.325
1,0,11.02,5.51
1,0,11.08,5.54
1,0,11.9,5.95
1,0,10.01,5.005
1,0,10.53,5.265
1,0,12.06,6.03
1,0,10.33,5.165
1,0,10.4,5.2
1,0,13.82,6.91
1,0,10.07,5.035
1,0,10.53,5.265
1,0,10.65,5.325
1,0,10.07,5.035
1,0,12.6,6.3
1,0,10.78,5.39
1,0,11.44,5.72
1,0,12.01,6.005
1,0,11.67,5.835
1,0,11.08,5.54
1,0,12.06,6.03
1,0,10.9,5.45
1,0,12.6,6.3
1,0,12.23,6.115
1,0,10.4,5.2
1,0,12.6,6.3
1,0,10.4,5.2
1,0,10.9,5.45
1,0,13.28,6.64
1,0,12.17,6.085
1,0,10.4,5.2
1,0,12.12,6.06
1,0,10.4,5.2
1,0,13.62,6.81
1,0,11.55,5.775
1,0,10.65,5.325
1,0,14.1,7.05
1,0,10.14,5.07
1,0,11.14,5.57
1,0,12.87,6.435
1,0,13.12,6.56
1,0,12.97,6.485
1,0,10.27,5.135
1,0,10.65,5.325
1,0,11.14,5.57
1,0,10.14,5.07
1,0,10.9,5.45
1,0,12.28,6.14
1,0,10.9,5.45
1,0,11.84,5.92
1,0,11.2,5.6
1,0,10.07,5.035
1,0,10.59,5.295
1,0,11.32,5.66
1,0,11.78,5.89
1,0,10.46,5.23
1,0,10.53,5.265
1,0,13.02,6.51
1,0,12.81,6.405
1,0,10.01,5.005
1,0,10.65,5.325
1,0,10.07,5.035
1,0,10.07,5.035
1,0,14.43,7.215
1,0,13.02,6.51
1,0,10.07,5.035
1,0,11.2,5.6
1,0,10.01,5.005
1,0,10.01,5.005
1,0,10.53,5.265
1,0,11.44,5.72
1,0,10.01,5.005
1,0,19.02,9.51
1,0,11.08,5.54
1,0,11.02,5.51
1,0,11.5,5.75
1,0,10.78,5.39
1,0,10.46,5.23
1,0,11.14,5.57
1,0,12.28,6.14
1,0,10.72,5.36
1,0,15.11,7.555
1,0,10.84,5.42
1,0,11.08,5.54
1,0,14.1,7.05
1,0,10.2,5.1
1,0,12.06,6.03
1,0,10.07,5.035
1,0,10.96,5.48
1,0,10.96,5.48
1,0,10.84,5.42
1,0,10.27,5.135
1,0,10.2,5.1
1,0,11.78,5.89
1,0,10.78,5.39
1,0,10.72,5.36
1,0,13.67,6.835
1,0,10.27,5.135
1,0,10.96,5.48
1,0,11.02,5.51
1,0,10.27,5.135
1,0,10.2,5.1
1,0,11.78,5.89
1,0,11.78,5.89
1,0,11.14,5.57
1,0,12.12,6.06
1,0,11.5,5.75
1,0,11.5,5.75
1,0,10.84,5.42
1,0,14.01,7.005
1,0,10.4,5.2
1,0,11.38,5.69
1,0,11.44,5.72
1,0,10.53,5.265
1,0,11.95,5.975
1,0,10.96,5.48
1,0,16.66,8.33
1,0,10.07,5.035
1,0,11.78,5.89
1,0,11.08,5.54
1,0,12.34,6.17
1,0,11.26,5.63
1,0,10.59,5.295
1,0,10.01,5.005
1,0,10.33,5.165
1,0,11.5,5.75
1,0,10.33,5.165
1,0,10.96,5.48
1,0,11.2,5.6
1,0,10.14,5.07
1,0,10.4,5.2
1,0,14.71,7.355
1,0,11.78,5.89
1,0,10.84,5.42
1,0,11.55,5.775
1,0,10.9,5.45
1,0,12.6,6.3
1,0,14.1,7.05
1,0,10.53,5.265
1,0,10.14,5.07
1,0,12.5,6.25
1,0,12.92,6.46
1,0,12.23,6.115
1,0,10.27,5.135
1,0,10.14,5.07
1,0,10.4,5.2
1,0,11.26,5.63
1,0,10.07,5.035
1,0,10.53,5.265
1,0,11.38,5.69
1,0,10.27,5.135
1,0,10.72,5.36
1,0,10.84,5.42
1,0,12.12,6.06
1,0,10.33,5.165
1,0,11.2,5.6
1,0,10.46,5.23
1,0,11.2,5.6
1,0,11.32,5.66
1,0,10.9,5.45
1,0,13.43,6.715
1,0,10.9,5.45
1,0,11.67,5.835
1,0,11.02,5.51
1,0,10.14,5.07
1,0,11.26,5.63
1,0,11.61,5.805
1,0,12.6,6.3
1,0,11.14,5.57
1,0,10.46,5.23
1,0,12.34,6.17
1,0,10.07,5.035
1,0,11.73,5.865
1,0,10.46,5.23
1,0,10.84,5.42
1,0,10.27,5.135
1,0,10.78,5.39
1,0,12.34,6.17
1,0,10.14,5.07
1,0,11.26,5.63
1,0,10.33,5.165
1,0,10.9,5.45
1,0,13.72,6.86
1,0,10.78,5.39
1,0,10.33,5.165
1,0,11.73,5.865
1,0,12.76,6.38
1,0,11.2,5.6
1,0,10.46,5.23
1,0,11.2,5.6
1,0,10.65,5.325
1,0,10.07,5.035
1,0,10.46,5.23
1,0,11.32,5.66
1,0,10.65,5.325
1,0,11.38,5.69
1,0,10.4,5.2
1,0,10.59,5.295
1,0,10.2,5.1
1,0,10.27,5.135
1,0,10.9,5.45
1,0,10.59,5.295
1,0,12.97,6.485
1,0,10.59,5.295
1,0,11.44,5.72
1,0,13.17,6.585
1,0,10.72,5.36
1,0,11.08,5.54
1,0,10.46,5.23
1,0,11.08,5.54
1,0,10.65,5.325
1,0,10.65,5.325
1,0,11.08,5.54
1,0,12.71,6.355
1,0,10.96,5.48
1,0,12.87,6.435
1,0,11.02,5.51
1,0,11.5,5.75
1,0,10.65,5.325
1,0,11.61,5.805
1,0,12.87,6.435
1,0,10.27,5.135
1,0,14.43,7.215
1,0,12.44,6.22
1,0,10.33,5.165
1,0,12.55,6.275
1,0,10.07,5.035
1,0,10.84,5.42
1,0,11.95,5.975
1,0,11.02,5.51
1,0,11.02,5.51
1,0,14.2,7.1
1,0,10.33,5.165
1,0,10.53,5.265
1,0,10.01,5.005
1,0,11.08,5.54
1,0,12.06,6.03
1,0,12.12,6.06
1,0,11.55,5.775
1,0,11.95,5.975
1,0,10.2,5.1
1,0,11.61,5.805
1,0,10.14,5.07
1,0,10.72,5.36
1,0,14.93,7.465
1,0,10.59,5.295
1,0,10.96,5.48
1,0,11.61,5.805
1,0,11.9,5.95
1,0,11.38,5.69
1,0,11.26,5.63
1,0,10.14,5.07
1,0,10.01,5.005
1,0,12.17,6.085
1,0,10.96,5.48
1,0,12.87,6.435
1,0,12.12,6.06
1,0,10.14,5.07
1,0,10.01,5.005
1,0,10.9,5.45
1,0,13.67,6.835
1,0,11.26,5.63
1,0,10.14,5.07
1,0,10.27,5.135
1,0,11.67,5.835
1,0,10.53,5.265
1,0,10.72,5.36
1,0,11.2,5.6
1,0,10.27,5.135
1,0,10.33,5.165
1,0,10.4,5.2
1,0,10.9,5.45
1,0,12.17,6.085
1,0,10.4,5.2
1,0,10.59,5.295
1,0,10.33,5.165
1,0,10.2,5.1
1,0,12.23,6.115
1,0,11.73,5.865
1,0,10.27,5.135
1,0,11.14,5.57
1,0,10.2,5.1
1,0,10.46,5.23
1,0,12.44,6.22
1,0,12.39,6.195
1,0,11.38,5.69
1,0,10.14,5.07
1,0,12.39,6.195
1,0,10.4,5.2
1,0,11.38,5.69
1,0,10.14,5.07
1,0,12.01,6.005
1,0,11.61,5.805
1,0,10.07,5.035
1,0,10.59,5.295
1,0,10.46,5.23
1,0,13.12,6.56
1,0,11.95,5.975
1,0,10.01,5.005
1,0,11.55,5.775
1,0,10.46,5.23
1,0,12.92,6.46
1,0,12.5,6.25
1,0,11.5,5.75
1,0,10.65,5.325
1,0,12.12,6.06
1,0,11.14,5.57
1,0,10.4,5.2
1,0,11.02,5.51
1,0,11.14,5.57
1,0,11.26,5.63
1,0,11.08,5.54
1,0,11.55,5.775
1,0,11.44,5.72
1,0,13.47,6.735
1,0,10.96,5.48
1,0,10.27,5.135
1,0,11.2,5.6
1,0,11.26,5.63
1,0,12.01,6.005
1,0,11.02,5.51
1,0,10.01,5.005
1,0,10.14,5.07
1,0,12.81,6.405
1,0,11.14,5.57
1,0,12.44,6.22
1,0,12.71,6.355
1,0,13.91,6.955
1,0,11.5,5.75
1,0,10.01,5.005
1,0,11.02,5.51
1,0,10.14,5.07
1,0,11.32,5.66
1,0,12.28,6.14
1,0,10.84,5.42
1,0,10.72,5.36
1,0,11.14,5.57
1,0,11.61,5.805
1,0,10.72,5.36
1,0,10.4,5.2
1,0,10.2,5.1
1,0,11.14,5.57
1,0,12.55,6.275
1,0,10.4,5.2
1,0,11.5,5.75
1,0,10.9,5.45
1,0,12.12,6.06
1,0,11.32,5.66
1,0,10.59,5.295
1,0,10.65,5.325
1,0,10.14,5.07
1,0,11.55,5.775
1,0,10.9,5.45
1,0,10.4,5.2
1,0,10.14,5.07
1,0,16.09,8.045
1,0,20.6,10.3
1,0,10.84,5.42
1,0,10.27,5.135
1,0,12.23,6.115
1,0,11.5,5.75
1,0,11.9,5.95
1,0,10.78,5.39
1,0,10.53,5.265
1,0,10.07,5.035
1,0,13.17,6.585
1,0,10.01,5.005
1,0,12.44,6.22
1,0,13.47,6.735
1,0,10.14,5.07
1,0,14.57,7.285
1,0,10.78,5.39
1,0,11.78,5.89
1,0,11.2,5.6
1,0,11.38,5.69
1,0,17.52,8.76
1,0,13.07,6.535
1,0,10.65,5.325
1,0,13.96,6.98
1,0,10.14,5.07
1,0,12.17,6.085
1,0,15.67,7.835
1,0,11.26,5.63
1,0,10.33,5.165
1,0,11.44,5.72
1,0,10.53,5.265
1,0,11.32,5.66
1,0,11.32,5.66
1,0,10.07,5.035
1,0,13.28,6.64
1,0,10.2,5.1
1,0,10.72,5.36
1,0,13.38,6.69
1,0,16.05,8.025
1,0,11.32,5.66
1,0,11.78,5.89
1,0,10.84,5.42
1,0,10.07,5.035
1,0,13.67,6.835
1,0,11.14,5.57
1,0,11.9,5.95
1,0,10.33,5.165
1,0,12.23,6.115
1,0,10.14,5.07
1,0,10.2,5.1
1,0,10.46,5.23
1,0,10.59,5.295
1,0,11.55,5.775
1,0,10.4,5.2
1,0,11.44,5.72
1,0,11.55,5.775
1,0,10.01,5.005
1,0,11.67,5.835
1,0,12.12,6.06
1,0,11.67,5.835
1,0,10.33,5.165
1,0,10.33,5.165
3,0,11.67,5.835
3,0,13.91,6.955
3,0,12.12,6.06
3,0,11.9,5.95
3,0,10.27,5.135
3,0,11.08,5.54
3,0,11.73,5.865
3,0,13.52,6.76
3,0,10.9,5.45
3,0,11.67,5.835
3,0,11.02,5.51
3,0,11.95,5.975
3,0,10.59,5.295
3,0,10.33,5.165
3,0,12.87,6.435
3,0,13.22,6.61
3,0,10.84,5.42
