dataFile,Colony Number
data001.mat,1
data002.mat,1
data003.mat,1
data004.mat,1
data005.mat,1
data006.mat,1
data007.mat,1
data008.mat,1
data009.mat,1
data010.mat,1
data011.mat,1
data012.mat,1
data013.mat,1
data014.mat,1
data015.mat,1
data016.mat,1
data017.mat,1
data018.mat,1
data019.mat,1
data020.mat,1
data021.mat,2
data022.mat,2
data023.mat,2
data024.mat,2
data025.mat,2
data026.mat,3
data027.mat,3
data028.mat,3
data029.mat,3
data030.mat,3
data031.mat,4
data032.mat,4
data033.mat,4
data034.mat,4
data035.mat,4
data036.mat,4
data037.mat,4
data038.mat,4
data039.mat,5
data040.mat,5
