dataFile,objNum,isGood,cy.RNA,GAPDH.RNA,alexa.RNA,tmr.RNA
data001.mat,1,1,2,26,0,0
data001.mat,2,1,3,26,0,10
data001.mat,3,0,1,5,0,0
data001.mat,4,1,122,56,2,37
data001.mat,5,1,105,115,3,56
data001.mat,6,1,218,21,3,67
data002.mat,1,0,47,2,6,4
data003.mat,1,1,54,113,0,5
data003.mat,2,1,42,25,0,10
data003.mat,3,0,237,20,2,4
data004.mat,1,1,387,83,3,295
data004.mat,2,0,4,8,0,0
data004.mat,3,0,15,5,0,0
data005.mat,1,1,7,9,0,3
data005.mat,2,1,203,109,0,3
data005.mat,3,1,331,29,0,294
data006.mat,1,1,217,29,1,0
data006.mat,2,0,297,22,1,102
data006.mat,3,0,439,19,0,225
data007.mat,1,0,87,10,0,0
data007.mat,2,0,369,5,1,2
data007.mat,3,1,6,46,0,0
data007.mat,4,1,7,42,0,1
data010.mat,1,0,1,5,0,1
data010.mat,2,1,280,44,3,5
data011.mat,1,1,168,97,0,0
data011.mat,2,1,0,36,0,6
data011.mat,3,0,1,5,0,5
data012.mat,1,0,2,4,0,3
data013.mat,1,0,5,4,1,4
data014.mat,1,0,0,9,1,1
data015.mat,1,1,87,26,0,5
data015.mat,2,1,39,27,2,34
data015.mat,3,1,39,39,0,0
data016.mat,1,1,104,77,1,8
data016.mat,2,0,130,8,1,3
data016.mat,3,1,5,10,0,0
data016.mat,4,1,110,38,1,0
data016.mat,5,1,50,49,0,8
data016.mat,6,0,3,7,0,4
data017.mat,1,1,60,46,0,3
data017.mat,2,1,2,21,0,4
data024.mat,1,0,0,10,0,9
