dataFile,objNum,isGood,alexa.RNA,tmr.RNA,cy.RNA,GAPDH.RNA
data041.mat,1,1,0,101,201,397
data041.mat,2,1,7,108,109,1047
data041.mat,3,1,5,174,172,565
data041.mat,4,1,0,74,274,1098
data042.mat,1,1,0,25,536,513
data042.mat,2,1,0,5,3,47
data043.mat,1,1,6,135,49,928
data044.mat,1,1,2,9,2,213
data044.mat,2,1,4,3,7,182
data044.mat,3,1,3,0,14,177
data045.mat,1,1,0,10,218,370
data045.mat,2,1,0,151,233,289
data045.mat,3,1,0,27,31,61
data045.mat,4,1,0,28,2,68
data046.mat,1,1,0,3,104,942
data046.mat,2,1,1,26,184,195
data046.mat,3,1,0,1,26,891
data046.mat,4,1,1,1,7,623
data046.mat,5,0,2,2,44,237
data047.mat,1,1,0,3,3,1048
data047.mat,2,1,3,21,2,1276
data048.mat,1,1,0,359,108,1106
data048.mat,2,1,1,61,186,259
data048.mat,3,1,1,134,134,858
data049.mat,1,1,0,101,260,382
data049.mat,2,1,1,3,0,468
data049.mat,3,1,0,126,129,99
data049.mat,4,1,1,139,159,254
data050.mat,1,1,1,13,228,733
data050.mat,2,1,0,201,363,910
data050.mat,3,1,1,4,1,142
data051.mat,1,1,0,0,0,57
data051.mat,2,1,0,0,3,138
data051.mat,3,1,0,69,88,230
data051.mat,4,1,1,35,196,426
data052.mat,1,1,1,78,341,271
data052.mat,2,1,0,2,319,398
data052.mat,3,1,0,0,2,23
data053.mat,1,1,0,76,263,314
data053.mat,2,1,1,128,245,479
data054.mat,1,1,0,240,191,726
data054.mat,2,1,1,134,422,748
data054.mat,3,1,1,346,260,324
data054.mat,4,1,0,177,171,631
data055.mat,1,1,0,0,1,181
data055.mat,2,0,10,222,159,434
data055.mat,3,1,0,62,235,265
data056.mat,1,1,1,138,175,139
data056.mat,2,1,0,58,323,487
data056.mat,3,1,0,17,2,4
data057.mat,1,1,0,1,194,108
data057.mat,2,1,0,3,31,133
data058.mat,1,1,0,1,1,6
data058.mat,2,1,0,1,2,8
data059.mat,1,1,0,159,255,380
data059.mat,2,1,5,215,233,409
data060.mat,1,1,0,62,58,69
data060.mat,2,1,0,0,1,115
data061.mat,1,1,0,44,246,479
data061.mat,2,1,0,0,13,145
data062.mat,1,1,0,48,431,422
data062.mat,2,1,0,296,186,746
data062.mat,3,1,0,195,74,597
data062.mat,4,1,1,135,337,302
data063.mat,1,1,6,91,146,451
data063.mat,2,1,1,428,405,908
data063.mat,3,1,0,374,178,790
data064.mat,1,1,1,1,64,120
data064.mat,2,1,1,0,21,731
data064.mat,3,1,6,0,21,679
data064.mat,4,1,14,0,18,552
data065.mat,1,1,1,17,143,136
data065.mat,2,1,0,659,339,572
data065.mat,3,1,2,108,468,668
data066.mat,1,1,0,187,515,465
data066.mat,2,1,0,185,263,1326
data067.mat,1,1,1,52,92,690
data067.mat,2,1,1,8,110,206
data068.mat,1,1,1,274,241,474
data068.mat,2,1,1,43,310,446
data069.mat,1,1,0,12,227,246
data069.mat,2,1,0,236,232,372
data070.mat,1,1,0,9,186,791
data070.mat,2,1,0,5,163,621
data071.mat,1,1,1,91,191,530
data071.mat,2,1,29,9,71,515
data072.mat,1,1,0,0,82,88
data073.mat,1,1,0,3,288,479
data073.mat,2,1,0,31,337,1117
data074.mat,1,1,2,161,254,231
data074.mat,2,1,1,105,314,565
data074.mat,3,1,1,1138,636,1301
data075.mat,1,1,1,339,167,1739
data075.mat,2,1,2,5,16,26
data075.mat,3,1,2,155,243,342
