dataFile,objNum,isGood,alexa.RNA,tmr.RNA,cy.RNA,GAPDH.RNA,area
data001.mat,1,1,9,158,437,954,52396
data001.mat,2,1,1,418,469,1193,89190
data001.mat,3,1,0,478,482,1059,89545
data001.mat,4,1,0,190,480,837,58957
data001.mat,5,1,1,193,243,621,65796
data001.mat,6,1,2,109,324,934,57675
data001.mat,7,1,1,243,816,1149,71301
data001.mat,8,1,1,218,144,1020,73002
data001.mat,9,0,5,155,418,500,79295
data002.mat,1,1,0,152,296,841,62090
data002.mat,2,1,2,211,490,565,71270
data002.mat,3,1,4,27,375,660,55744
data002.mat,4,1,0,173,484,559,60168
data002.mat,5,1,0,73,6,596,80819
data002.mat,6,1,0,186,39,465,98023
data003.mat,1,1,5,358,682,1192,93719
data003.mat,2,1,0,47,337,929,84218
data003.mat,3,1,0,437,306,251,38106
data003.mat,4,1,0,48,333,414,53489
data003.mat,5,1,0,48,157,351,35793
data003.mat,6,1,0,180,326,379,34504
data004.mat,1,1,0,194,477,887,72947
data004.mat,2,1,2,330,355,760,107492
data004.mat,3,0,1,1,1,221,181246
data004.mat,4,1,0,82,537,620,59556
data004.mat,5,1,0,361,437,579,104441
data005.mat,1,1,0,373,209,1296,95985
data005.mat,2,1,1,228,331,450,50479
data005.mat,3,1,3,45,317,865,53330
data005.mat,4,1,2,212,311,1094,64214
data005.mat,5,1,2,385,113,1421,60971
data005.mat,6,1,2,411,591,1091,80640
data005.mat,7,1,0,65,121,629,29154
data005.mat,8,1,0,149,146,617,72779
data006.mat,1,1,0,101,412,1183,70207
data006.mat,2,1,0,547,552,1292,95738
data006.mat,3,1,1,279,107,1466,125977
data006.mat,4,1,0,186,122,626,54575
data007.mat,1,1,0,157,594,1067,76971
data007.mat,2,1,0,287,39,973,79242
data007.mat,3,1,0,432,738,1493,117169
data007.mat,4,1,7,263,783,1761,154570
data007.mat,5,1,0,222,359,1115,109933
data008.mat,1,1,2,52,862,1336,120718
data008.mat,2,1,0,598,526,1733,152240
data009.mat,1,1,4,325,324,1551,147356
data009.mat,2,1,10,527,184,1058,73038
data009.mat,3,1,1,25,102,1403,119420
data010.mat,1,1,5,342,258,1524,126746
data010.mat,2,1,3,111,284,1268,90429
data010.mat,3,1,1,99,185,657,54313
data010.mat,4,1,3,1087,4,2249,216630
data010.mat,5,1,1,365,463,852,52491
data011.mat,1,1,1,436,155,692,44828
data011.mat,2,1,4,373,191,498,27599
data011.mat,3,1,0,48,289,856,56069
data011.mat,4,1,0,334,191,661,51053
data011.mat,5,1,0,60,209,740,34796
data011.mat,6,1,0,115,391,1732,114312
data012.mat,1,1,0,173,289,1543,80319
data012.mat,2,1,10,466,356,870,66469
data012.mat,3,1,0,393,242,1775,137116
data013.mat,1,1,1,112,412,1656,119397
data013.mat,2,1,2,68,2,1464,142889
data013.mat,3,1,0,369,155,1516,160263
data014.mat,1,1,3,188,92,616,32224
data014.mat,2,1,14,37,53,758,58028
data014.mat,3,1,5,179,217,1207,102182
data014.mat,4,1,0,222,19,1236,97948
data014.mat,5,1,1,43,3,1617,118151
data015.mat,1,1,1,380,138,1083,111221
data015.mat,2,1,0,438,75,1180,133324
data015.mat,3,1,2,206,409,1190,67754
data015.mat,4,1,2,12,29,1943,171563
data016.mat,1,1,0,639,203,1238,76189
data016.mat,2,1,1,166,82,1170,114900
data016.mat,3,1,6,428,640,1346,112601
data016.mat,4,1,1,343,213,1118,72313
data017.mat,1,1,2,537,516,1708,133665
data017.mat,2,1,2,232,87,1183,92988
data017.mat,3,1,3,268,485,1068,94884
data017.mat,4,1,3,2,1,1376,112609
data018.mat,1,1,5,216,82,708,79483
data018.mat,2,1,6,346,131,823,62581
data018.mat,3,1,0,462,260,1113,110703
data019.mat,1,1,1,405,26,2257,189003
data019.mat,2,1,0,520,182,1398,123861
data020.mat,1,1,2,437,116,1074,96921
data020.mat,2,1,1,386,269,1031,76710
data020.mat,3,1,0,300,129,867,46602
data021.mat,1,1,4,293,169,792,87489
data021.mat,2,1,0,600,130,1344,135592
data022.mat,1,1,0,224,233,1122,83012
data022.mat,2,1,0,121,2,2047,163675
data023.mat,1,1,0,550,112,1715,100750
data023.mat,2,1,0,239,87,1520,112061
data024.mat,1,1,1,448,433,1103,81261
data024.mat,2,1,2,2,0,1589,99983
data025.mat,1,1,11,494,348,2198,184306
data025.mat,2,1,0,176,351,1444,119255
data026.mat,1,1,4,687,671,1385,87038
data026.mat,2,1,0,70,224,1052,94455
data026.mat,3,1,0,308,517,1095,111529
data027.mat,1,1,2,109,388,1636,123920
data027.mat,2,1,1,129,380,1205,100708
data027.mat,3,1,3,403,437,1301,101158
data028.mat,1,1,0,206,101,1889,159180
data028.mat,2,1,0,68,175,822,79364
data028.mat,3,1,1,586,385,1294,147920
data029.mat,1,1,6,472,263,917,102959
data029.mat,2,1,3,528,91,1476,113601
data029.mat,3,1,1,351,12,1316,128756
data029.mat,4,1,0,332,168,1026,69873
data030.mat,1,1,0,626,27,1208,229890
data030.mat,2,1,5,609,551,1387,119872
