dataFile,objNum,isGood,cy.RNA,GAPDH.RNA,alexa.RNA
data001.mat,1,1,16,2376,1
data001.mat,2,1,16,996,0
data001.mat,3,1,38,618,0
data002.mat,1,1,54,998,0
data002.mat,2,1,4,1754,0
data003.mat,1,1,15,639,0
data003.mat,2,1,13,943,1
data003.mat,3,1,19,1093,0
data004.mat,1,1,262,860,1
data004.mat,2,1,5,1016,0
data005.mat,1,1,88,1330,0
data005.mat,2,1,1,1584,0
data006.mat,1,1,3,1015,1
data006.mat,2,1,61,824,0
data007.mat,1,1,3,1780,1
data007.mat,2,1,67,653,2
data008.mat,1,1,2,1274,0
data008.mat,2,1,1,1124,0
data009.mat,1,1,0,2367,0
data009.mat,2,1,15,1758,0
data010.mat,1,1,2,1671,0
data010.mat,2,1,16,1155,0
data011.mat,1,1,67,1400,0
data011.mat,2,1,25,922,0
data012.mat,1,1,3,929,0
data012.mat,2,1,6,725,0
data013.mat,1,1,39,1286,0
data013.mat,2,1,20,954,0
data014.mat,1,1,58,724,0
data014.mat,2,1,4,835,0
data014.mat,3,1,15,1036,0
data015.mat,1,1,30,920,0
data015.mat,2,1,131,894,0
data016.mat,1,1,93,968,0
data016.mat,2,1,32,721,0
data017.mat,1,1,0,1181,0
data017.mat,2,1,1,952,0
data018.mat,1,1,9,682,0
data018.mat,2,1,2,541,0
data019.mat,1,1,6,1136,1
data019.mat,2,1,9,1177,0
data019.mat,3,1,21,800,0
data020.mat,1,1,23,633,0
data020.mat,2,1,123,1349,0
data021.mat,1,1,47,1632,0
data021.mat,2,1,331,928,0
data021.mat,3,1,5,1108,0
data022.mat,1,1,1,2330,0
data022.mat,2,1,6,1157,0
data023.mat,1,1,61,833,0
data023.mat,2,1,1,920,0
data024.mat,1,0,95,1398,0
data024.mat,2,1,77,1264,0
data025.mat,1,1,54,867,0
data025.mat,2,1,15,1102,0
data026.mat,1,1,0,545,0
data026.mat,2,1,2,918,2
data027.mat,1,1,2,1300,0
data027.mat,2,1,17,758,0
data028.mat,1,1,17,1321,0
data028.mat,2,1,28,1276,0
data029.mat,1,1,1,1551,0
data029.mat,2,1,4,829,0
data030.mat,1,0,8,1516,0
data030.mat,2,1,131,876,0
data030.mat,3,1,11,890,0
data031.mat,1,1,6,589,0
data031.mat,2,1,9,849,0
data032.mat,1,1,1,879,0
data032.mat,2,0,39,675,0
data033.mat,1,1,0,944,0
data033.mat,2,1,2,777,0
data034.mat,1,1,3,1107,0
data034.mat,2,1,61,732,0
data035.mat,1,1,27,1094,347
data035.mat,2,1,190,953,317
data036.mat,1,1,1,349,147
data036.mat,2,1,8,1108,316
data037.mat,1,1,4,1394,255
data037.mat,2,1,3,773,565
data038.mat,1,1,1,1115,222
data038.mat,2,1,11,732,358
data039.mat,1,1,5,1253,326
data039.mat,2,1,9,1175,25
data040.mat,1,1,29,507,91
data040.mat,2,1,31,1536,88
data041.mat,1,1,10,1094,211
data041.mat,2,1,1,1372,3961
data042.mat,1,1,19,1018,124
data042.mat,2,1,1,679,459
data043.mat,1,1,52,536,252
data043.mat,2,1,0,862,105
data044.mat,1,1,1,799,355
data044.mat,2,1,4,1007,556
data045.mat,1,1,31,1185,901
data045.mat,2,1,8,1244,219
data046.mat,1,0,17,1469,785
data046.mat,2,1,150,929,465
data047.mat,1,1,2,900,600
data047.mat,2,1,174,789,341
data047.mat,3,1,35,1352,464
data048.mat,1,1,8,1618,688
data048.mat,2,1,2,1012,330
data049.mat,1,1,13,943,389
data049.mat,2,1,3,484,55
data049.mat,3,1,0,430,104
data050.mat,1,1,25,819,486
data050.mat,2,1,3,922,243
data051.mat,1,1,8,875,139
data051.mat,2,1,38,1429,584
data052.mat,1,1,3,954,0
data052.mat,2,1,9,1368,650
data052.mat,3,1,18,1226,283
data053.mat,1,1,4,1723,379
data053.mat,2,1,6,1324,445
data054.mat,1,1,134,1114,544
data054.mat,2,1,0,604,148
data055.mat,1,1,86,881,361
data055.mat,2,1,8,1058,573
