objArrayNum,objNum,isGood,cy.RNA,tmr.RNA,GAPDH.RNA,alexa.RNA
9,2,FALSE,8,131,720,3
9,4,FALSE,0,6,481,0
11,2,FALSE,2,55,11,0
20,2,FALSE,0,11,275,0
1,1,TRUE,96,133,659,1
1,2,TRUE,80,209,935,1
1,3,TRUE,31,256,632,14
2,1,TRUE,14,148,477,0
2,2,TRUE,24,184,276,0
2,3,TRUE,16,223,363,5
3,1,TRUE,45,96,647,0
3,2,TRUE,15,50,316,0
3,3,TRUE,9,143,743,2
4,1,TRUE,48,261,216,3
4,2,TRUE,68,232,519,2
4,3,TRUE,52,86,477,1
4,4,TRUE,88,409,1250,4
4,5,TRUE,27,88,415,2
4,6,TRUE,17,25,205,1
5,1,TRUE,16,312,510,1
5,2,TRUE,10,315,570,1
5,3,TRUE,41,922,1999,3
6,1,TRUE,19,98,438,1
6,2,TRUE,165,365,1030,3
6,3,TRUE,136,248,813,1
7,1,TRUE,133,562,686,2
7,2,TRUE,75,405,388,2
8,1,TRUE,60,187,790,1
8,2,TRUE,13,159,514,3
9,1,TRUE,6,52,385,0
9,3,TRUE,1,80,527,2
10,1,TRUE,5,239,620,1
10,2,TRUE,205,570,1334,2
10,3,TRUE,24,380,657,1
11,1,TRUE,4,132,237,2
12,1,TRUE,4,98,371,5
12,2,TRUE,2,97,104,2
13,1,TRUE,9,145,35,0
13,2,TRUE,3,3,148,1
14,1,TRUE,9,99,329,1
14,2,TRUE,7,135,258,0
15,1,TRUE,0,186,156,0
16,1,TRUE,20,123,506,1
16,2,TRUE,4,40,384,0
16,3,TRUE,0,9,254,0
17,1,TRUE,25,102,42,0
17,2,TRUE,19,78,215,2
17,3,TRUE,13,73,177,1
18,1,TRUE,2,64,119,0
18,2,TRUE,4,14,159,2
19,1,TRUE,13,59,192,0
19,2,TRUE,19,119,297,4
19,3,TRUE,9,110,187,0
19,4,TRUE,17,102,192,3
20,1,TRUE,1,51,165,3
20,3,TRUE,8,86,392,4
21,1,TRUE,12,32,149,2
22,1,TRUE,24,114,253,2
22,2,TRUE,12,188,543,2
22,3,TRUE,9,95,114,1
23,1,TRUE,8,449,244,3
23,2,TRUE,24,161,511,2
24,1,TRUE,12,148,112,5
24,2,TRUE,7,124,188,0
24,3,TRUE,15,151,240,3
25,1,TRUE,7,173,68,0
25,2,TRUE,22,258,190,1
25,3,TRUE,2,36,99,0
25,4,TRUE,5,166,188,2
26,1,TRUE,15,149,285,2
26,2,TRUE,18,69,231,2
26,3,TRUE,7,27,156,2
27,1,TRUE,6,172,378,2
27,2,TRUE,7,171,585,0
27,3,TRUE,49,69,290,0
28,1,TRUE,77,84,733,6
28,2,TRUE,50,112,566,0
28,3,TRUE,96,177,636,5
29,1,TRUE,31,179,470,0
29,2,TRUE,24,187,401,3
29,3,TRUE,27,175,663,1
29,4,TRUE,52,205,772,1
29,5,TRUE,27,193,749,1
30,1,TRUE,45,200,516,1
30,2,TRUE,5,121,673,1
30,3,TRUE,7,176,564,1
31,1,TRUE,37,233,522,3
31,2,TRUE,26,228,501,1
31,3,TRUE,10,152,724,0
31,4,TRUE,24,169,664,5
32,1,TRUE,30,281,1089,7
32,2,TRUE,19,433,408,3
32,3,TRUE,10,120,414,1
33,1,TRUE,40,240,664,2
33,2,TRUE,16,190,741,2
33,3,TRUE,30,196,526,1
34,1,TRUE,1,138,379,2
34,2,TRUE,86,504,464,5
34,3,TRUE,70,679,602,2
35,1,TRUE,18,243,571,1
35,2,TRUE,39,215,437,2
35,3,TRUE,28,230,567,0
35,4,TRUE,46,116,554,0
36,1,TRUE,62,140,408,1
36,2,TRUE,34,164,976,4
