objArrayNum,objNum,isGood,ImageFile,cy.RNA,cy.threshold,tmr.RNA,tmr.threshold,GAPDH.RNA,GAPDH.threshold,alexa.RNA,alexa.threshold
1,1,true,cy034.tif,3,550,598,650,818,140,1,700
2,1,true,cy035.tif,5,550,255,650,219,140,7,700
6,1,true,cy039.tif,12,550,494,650,324,140,6,700
8,1,true,cy041.tif,4,550,354,650,349,140,3,700
9,1,true,cy042.tif,5,550,244,518.6727,248,140,0,700
9,2,true,cy042.tif,27,550,305,650,429,140,2,700
10,1,true,cy043.tif,6,550,568,650,392,140,7,700
10,2,true,cy043.tif,0,550,145,650,430,140,2,700
11,1,true,cy044.tif,25,550,323,650,360,140,3,700
12,1,true,cy045.tif,7,550,437,650,349,140,5,700
12,2,true,cy045.tif,206,550,95,650,278,140,2,700
12,3,true,cy045.tif,61,550,386,650,200,140,1,700
14,1,true,cy047.tif,1,550,429,650,339,140,2,700
14,2,true,cy047.tif,22,550,135,650,240,140,2,700
14,3,true,cy047.tif,139,550,316,650,201,140,0,700
16,1,true,cy049.tif,3,550,295,650,491,140,5,700
17,1,true,cy050.tif,5,550,427,650,579,140,3,700
18,1,true,cy051.tif,8,550,120,650,225,140,4,700
18,2,true,cy051.tif,1,550,47,650,86,140,0,700
20,1,true,cy053.tif,142,550,1241,650,1723,140,7,700
21,1,true,cy054.tif,3,550,278,650,342,140,3,700
21,2,true,cy054.tif,36,550,616,650,347,140,5,700
21,3,true,cy054.tif,116,550,860,650,999,140,5,700
22,1,true,cy055.tif,22,550,286,650,359,140,3,700
25,1,true,cy058.tif,4,550,198,650,851,140,3,700
26,1,true,cy059.tif,81,550,265,650,379,140,3,700
30,1,true,cy063.tif,62,550,577,650,735,140,2,700
30,2,true,cy063.tif,17,550,526,650,605,140,4,700
30,3,true,cy063.tif,13,550,354,650,450,140,6,700
31,1,true,cy064.tif,74,550,708,650,301,140,3,700
31,2,true,cy064.tif,25,550,637,650,253,140,1,700
31,3,true,cy064.tif,116,550,587,650,583,140,2,700
34,1,true,cy068.tif,2,550,375,650,304,140,7,700
34,2,true,cy068.tif,2,550,177,650,89,140,3,700
36,1,true,cy070.tif,9,550,154,650,980,140,4,700
36,2,true,cy070.tif,16,550,134,650,357,140,0,700
37,1,true,cy071.tif,13,550,242,650,327,140,2,700
39,1,true,cy073.tif,34,550,309,650,373,140,2,700
39,2,true,cy073.tif,8,550,458,650,308,140,8,700
40,1,true,cy074.tif,11,550,164,650,469,140,2,700
41,1,true,cy075.tif,19,550,337,650,387,140,2,700
41,2,true,cy075.tif,1,550,33,650,301,140,2,700
43,1,true,cy077.tif,3,550,788,650,1138,140,6,700
43,2,true,cy077.tif,47,550,221,650,267,140,3,700
45,1,true,cy079.tif,5,550,468,650,307,140,1,700
46,1,true,cy080.tif,9,550,253,650,472,140,2,700
46,2,true,cy080.tif,41,550,561,650,817,140,4,700
46,3,true,cy080.tif,4,550,493,650,303,140,0,700
46,4,true,cy080.tif,1,550,602,650,530,140,1,700
47,1,true,cy081.tif,42,550,839,650,304,140,2,700
47,2,true,cy081.tif,66,550,274,650,202,140,4,700
50,1,true,cy084.tif,11,550,314,650,868,140,6,700
51,1,true,cy085.tif,29,550,547,650,468,140,2,700
53,1,true,cy087.tif,56,550,1148,650,439,140,4,700
56,1,true,cy090.tif,24,550,825,650,614,140,4,700
59,1,true,cy093.tif,4,550,454,650,724,140,1,700
59,2,true,cy093.tif,17,550,73,650,476,140,2,700
60,1,true,cy094.tif,1,550,654,650,380,140,2,700
60,2,true,cy094.tif,144,550,572,650,612,140,3,700
62,1,true,cy096.tif,160,550,462,650,448,140,5,700
64,1,true,cy099.tif,41,550,464,650,394,140,4,700
65,1,true,cy100.tif,8,550,1360,650,607,140,5,700
66,1,true,cy101.tif,84,550,480,650,886,140,0,700
66,2,true,cy101.tif,48,550,281,650,608,140,3,700
66,3,true,cy101.tif,24,550,286,650,587,140,2,700
67,1,true,cy102.tif,4,550,256,650,230,140,1,700
67,2,true,cy102.tif,18,550,537,650,450,140,3,700
69,1,true,cy104.tif,1,550,170,650,343,140,0,700
70,1,true,cy105.tif,2,550,61,650,419,140,1,700
73,1,true,cy108.tif,7,550,683,650,450,140,4,700
74,1,true,cy109.tif,8,550,309,650,346,140,3,700
74,2,true,cy109.tif,13,550,40,650,159,140,1,700
74,3,true,cy109.tif,10,550,378,650,376,140,3,700
76,1,true,cy111.tif,174,550,725,650,860,140,5,2257.1411
83,1,true,cy118.tif,2,550,13,650,133,140,1,700
83,2,true,cy118.tif,1,550,63,650,130,140,1,700
83,3,true,cy118.tif,96,550,464,650,815,140,6,700
83,4,true,cy118.tif,61,550,118,650,132,140,2,700
87,1,true,cy122.tif,1,550,343,650,49,140,0,700
87,2,true,cy122.tif,104,550,161,650,573,140,12,778.6646
90,1,true,cy125.tif,2,550,150,650,331,140,1,700
93,1,true,cy128.tif,15,550,541,650,532,140,1,700
95,1,true,cy131.tif,41,550,310,650,167,140,5,700
95,2,true,cy131.tif,5,550,1541,650,901,140,6,700
97,1,true,cy133.tif,2,550,385,650,166,140,1,700
97,2,true,cy133.tif,37,550,269,650,453,140,12,700
97,3,true,cy133.tif,57,550,251,650,396,140,4,700
99,1,true,cy135.tif,55,550,695,650,483,140,0,700
99,2,true,cy135.tif,3,550,169,650,216,140,0,700
99,3,true,cy135.tif,3,550,211,650,349,140,2,700
100,1,true,cy136.tif,9,550,536,650,434,140,1,700
101,1,true,cy137.tif,29,550,387,650,382,140,4,700
101,2,true,cy137.tif,33,550,353,650,139,140,1,700
101,3,true,cy137.tif,2,550,977,650,1152,140,8,700
103,1,true,cy139.tif,3,550,413,650,441,140,2,700
103,2,true,cy139.tif,24,550,1190,650,847,140,8,700
104,1,true,cy140.tif,27,550,393,650,295,140,3,700
104,2,true,cy140.tif,4,550,837,650,348,140,4,700
104,3,true,cy140.tif,6,550,682,650,613,140,3,700
105,1,true,cy141.tif,3,550,884,650,762,140,6,700
105,2,true,cy141.tif,5,550,342,650,287,140,2,700
105,3,true,cy141.tif,14,550,108,650,373,140,0,700
106,1,true,cy142.tif,16,550,233,650,353,140,5,700
106,2,true,cy142.tif,33,550,534,650,865,140,1,700
106,3,true,cy142.tif,5,550,446,650,936,140,1,700
106,4,true,cy142.tif,383,550,602,650,656,140,6,700
108,1,true,cy144.tif,4,550,463,650,650,140,3,700
108,2,true,cy144.tif,10,550,1099,650,534,140,1,700
109,1,true,cy145.tif,23,550,662,650,471,140,5,700
109,2,true,cy145.tif,23,550,337,650,856,140,4,700
109,3,true,cy145.tif,1,550,312,650,505,140,3,700
109,4,true,cy145.tif,2,550,417,650,1338,140,22,432.4323
111,1,true,cy147.tif,48,550,1521,650,1294,140,9,700
112,1,true,cy148.tif,8,550,487,650,557,140,12,700
112,2,true,cy148.tif,7,550,641,650,634,140,4,700
112,3,true,cy148.tif,3,550,435,650,483,140,0,700
115,1,true,cy151.tif,34,550,169,650,247,140,2,700
116,1,true,cy152.tif,22,550,995,650,1753,140,14,700
118,1,true,cy154.tif,10,550,258,650,895,140,3,700
119,1,true,cy155.tif,20,550,778,650,664,140,5,700
119,2,true,cy155.tif,3,550,374,650,641,140,2,700
119,3,true,cy155.tif,2,550,739,650,583,140,3,700
119,4,true,cy155.tif,26,550,205,650,353,140,1,700
123,1,true,cy159.tif,135,550,1655,650,523,140,7,700
125,1,true,cy162.tif,18,550,559,650,469,140,3,700
126,1,true,cy163.tif,75,550,435,650,492,140,7,700
129,1,true,cy166.tif,19,550,532,650,405,140,3,700
129,2,true,cy166.tif,2,550,371,650,695,140,2,700
130,1,true,cy167.tif,166,550,665,650,391,140,7,700
132,1,true,cy169.tif,63,550,225,650,603,140,2,700
132,2,true,cy169.tif,49,550,484,650,307,140,4,700
132,3,true,cy169.tif,3,550,311,650,510,140,4,700
135,1,true,cy172.tif,382,550,542,650,382,140,1,700
135,2,true,cy172.tif,116,550,368,650,669,140,14,700
135,3,true,cy172.tif,42,550,486,650,891,140,5,700
137,1,true,cy174.tif,392,550,582,650,396,140,1,700
137,2,true,cy174.tif,12,550,426,650,337,140,2,700
137,3,true,cy174.tif,13,550,489,650,505,140,3,700
138,1,true,cy175.tif,0,550,211,650,350,140,1,700
138,2,true,cy175.tif,9,550,311,650,715,140,1,700
138,3,true,cy175.tif,346,550,876,650,539,140,4,700
139,1,true,cy176.tif,57,550,244,650,439,140,1,700
142,1,true,cy179.tif,78,550,330,650,637,140,3,700
143,1,true,cy180.tif,24,550,346,650,539,140,1,700
146,1,true,cy183.tif,7,550,410,650,814,140,5,700
147,1,true,cy184.tif,5,550,569,650,420,140,4,700
148,1,true,cy185.tif,81,550,495,650,631,140,1,700
149,1,true,cy186.tif,55,550,602,650,407,140,16,700
150,1,true,cy187.tif,90,550,986,650,441,140,17,700
150,2,true,cy187.tif,2,550,370,650,810,140,2,700
152,1,true,cy189.tif,25,550,175,650,157,140,2,700
152,2,true,cy189.tif,66,550,528,650,487,140,17,700
155,1,true,cy192.tif,219,550,868,650,876,140,1,700
157,1,true,cy195.tif,30,550,839,650,841,140,12,700
158,1,true,cy196.tif,3,550,253,650,297,140,1,700
158,2,true,cy196.tif,67,550,875,650,801,140,5,700
159,1,true,cy197.tif,5,550,361,650,398,140,2,700
159,2,true,cy197.tif,20,550,944,650,275,140,2,700
159,3,true,cy197.tif,6,550,563,650,473,140,1,700
160,1,true,cy198.tif,4,550,416,650,344,140,2,700
160,2,true,cy198.tif,12,550,778,650,1007,140,4,700
162,1,true,cy200.tif,128,550,720,650,388,140,6,700
