Originating File,Replicate Number,Day,Media,Cell Count Watershed - Dead,Cell Count Watershed - Live,% Live - Watershed,Cell Count Filter - Dead,Cell Count Filter - Live,%Live - Filter
Rep1_Day01_CM+_A.png,1,1,CM+,90,847,0.903948773,64,678,0.913746631
Rep1_Day01_CM+_B.png,1,1,CM+,87,1086,0.925831202,66,890,0.930962343
Rep1_Day01_CM+_C.png,1,1,CM+,102,881,0.896236012,66,740,0.918114144
Rep1_Day01_CM-_A.png,1,1,CM-,79,1769,0.957251082,68,1319,0.950973324
Rep1_Day01_CM-_B.png,1,1,CM-,176,1439,0.891021672,116,1201,0.911921033
Rep1_Day01_CM-_C.png,1,1,CM-,48,1416,0.967213115,48,1095,0.958005249
Rep1_Day04_CM+_A.png,1,4,CM+,200,1919,0.905615857,154,1493,0.906496661
Rep1_Day04_CM+_B.png,1,4,CM+,155,2527,0.942207308,122,1736,0.934337998
Rep1_Day04_CM+_C.png,1,4,CM+,163,1572,0.906051873,136,1349,0.908417508
Rep1_Day04_CM-_A.png,1,4,CM-,355,1646,0.822588706,272,1265,0.82303188
Rep1_Day04_CM-_B.png,1,4,CM-,257,1387,0.843673966,212,1135,0.842613215
Rep1_Day04_CM-_C.png,1,4,CM-,322,1694,0.840277778,220,1357,0.86049461
Rep1_Day07_CM+_A.png,1,7,CM+,228,1920,0.893854749,180,1522,0.894242068
Rep1_Day07_CM+_B.png,1,7,CM+,236,2270,0.905826018,189,1659,0.897727273
Rep1_Day07_CM+_C.png,1,7,CM+,205,2043,0.908807829,164,1534,0.903415783
Rep1_Day07_CM-_A.png,1,7,CM-,408,749,0.647363872,299,532,0.640192539
Rep1_Day07_CM-_B.png,1,7,CM-,366,998,0.731671554,228,760,0.769230769
Rep1_Day07_CM-_C.png,1,7,CM-,465,838,0.643131236,321,609,0.65483871
Rep1_Day14_CM+_A.png,1,14,CM+,1070,1762,0.622175141,828,1276,0.606463878
Rep1_Day14_CM+_B.png,1,14,CM+,1123,2456,0.686225203,818,1454,0.639964789
Rep1_Day14_CM+_C.png,1,14,CM+,1299,2315,0.640564471,966,1565,0.618332675
Rep1_Day14_CM-_A.png,1,14,CM-,448,1070,0.704874835,324,906,0.736585366
Rep1_Day14_CM-_B.png,1,14,CM-,329,681,0.674257426,241,556,0.69761606
Rep1_Day14_CM-_C.png,1,14,CM-,423,1148,0.730744749,274,969,0.779565567
Rep1_Day21_CM+_A.png,1,21,CM+,1305,1060,0.44820296,833,702,0.45732899
Rep1_Day21_CM+_B.png,1,21,CM+,1408,2121,0.601020119,931,1340,0.590048437
Rep1_Day21_CM+_C.png,1,21,CM+,1267,1173,0.480737705,875,842,0.490390215
Rep1_Day21_CM-_A.png,1,21,CM-,325,953,0.745696401,190,717,0.790518192
Rep1_Day21_CM-_B.png,1,21,CM-,124,670,0.843828715,55,514,0.903339192
