donor,media,day,real,centerX,centerY,radiusMicrons,nNuclei,totalIntensity,areaPxSq,normalizedIntensity,normI-BG,totalI-BG
1,1,21,1,1952.176711,377.5063296,24.68004107,2,1209470119,18687.08978,64722.2298,322.2298035,6021537.267
1,1,21,1,1735.377678,409.0400551,10.9971886,1,240177760,3710.336193,64732.0748,332.0748038,1232109.163
1,1,21,1,1794.473771,580.0043577,14.68321,4,428358280,6614.422561,64761.25105,361.2510504,2389467.098
1,1,21,1,2405.718497,956.6856799,18.78772545,3,701274603,10829.24867,64757.45681,357.4568052,3870988.633
1,1,21,1,142.4719482,1279.829819,7.102070955,1,99846204,1547.461775,64522.56568,122.5656787,189665.7027
1,1,21,1,2285.724925,1587.043324,8.942039455,2,158682502,2453.144212,64685.3541,285.3541005,700014.7599
1,1,21,1,2316.090487,724.0426391,16.05391778,2,511647337,7907.004481,64708.11269,308.11269,2436248.421
1,1,21,1,193.762019,1753.161408,23.34333131,3,1082841639,16717.66368,64772.3067,372.3066953,6224098.118
1,1,21,1,788.3092035,115.7338971,14.69807118,2,428851168,6627.818521,64704.72398,304.7239845,2019655.268
1,1,21,1,2304.458317,1332.404546,16.46086302,3,537410990,8312.949034,64647.45397,247.453968,2057072.224
1,1,21,1,2260.772351,1534.393835,18.79851557,3,702697266,10841.69109,64814.35967,414.3596654,4492359.494
1,1,21,1,458.982195,1608.80443,25.09768863,3,1253135906,19324.90511,64845.64341,445.643414,8612016.69
1,1,21,1,2409.302258,1442.234712,11.60510621,3,267471763,4131.884327,64733.6038,333.6038017,1378412.32
1,1,21,1,2432.576955,2090.602357,10.44650443,2,216945517,3348.049741,64797.57883,397.5788327,1331113.708
1,1,21,1,607.752563,1559.149974,11.03532931,2,242235367,3736.117374,64836.12337,436.123372,1629408.107
1,1,21,1,837.8700782,1295.292691,12.55718819,2,313323923,4837.653089,64767.75355,367.7535495,1779064.095
1,1,21,1,469.9913454,443.8210637,18.77687937,2,700392228,10816.7489,64750.71523,350.7152267,3793598.545
1,1,21,1,230.4759493,1338.888577,6.195846141,1,75696737,1177.744718,64272.61854,-127.3814566,-150022.8377
1,1,21,1,665.5949753,1042.409169,20.44266226,4,832000874,12821.08629,64893.16545,493.1654476,6322916.76
1,1,21,1,1700.454186,233.2271161,16.87165716,2,565066109,8733.038998,64704.40693,304.4069265,2658397.56
