objArrayNum,objNum,isGood,cy.RNA,tmr.RNA,GAPDH.RNA,alexa.RNA
1,1,true,33,191,226,2
1,2,true,32,41,97,2
1,3,true,52,27,356,0
2,1,true,88,0,152,0
2,2,true,30,0,79,0
2,3,true,30,11,92,0
2,4,true,23,1,151,1
2,5,false,2,2,2,0
2,6,true,32,3,465,1
3,1,true,47,105,107,4
3,2,true,27,43,139,2
4,1,true,392,390,460,12
4,2,true,187,464,451,1
4,3,true,136,284,76,2
4,4,true,155,206,67,5
5,1,true,299,281,494,2
5,2,true,322,267,396,2
6,1,true,48,11,247,2
6,2,true,136,178,272,0
6,3,true,123,57,305,0
7,1,true,210,201,346,1
7,2,true,54,246,83,2
7,3,true,151,163,202,2
7,4,true,210,92,154,0
7,5,true,23,17,79,0
8,1,true,147,190,118,1
9,1,true,33,17,73,1
9,2,true,0,11,44,0
9,3,true,54,27,76,0
10,1,true,79,17,59,0
10,2,true,81,11,172,0
11,1,true,5,88,99,2
11,2,true,9,40,118,1
12,1,true,6,82,169,0
12,2,true,195,161,191,0
12,3,true,167,2,191,1
12,4,true,367,150,126,0
12,5,true,290,99,112,1
