dataFile,objNum,isGood,cy.RNA,GAPDH.RNA,alexa.RNA
data001.mat,1,1,8,717,3
data001.mat,2,1,1,450,2
data001.mat,3,1,6,202,5
data002.mat,1,1,6,599,5
data002.mat,2,1,57,68,0
data003.mat,1,1,33,605,31
data003.mat,2,1,37,451,22
data003.mat,3,1,21,337,23
data003.mat,4,1,2,311,20
data004.mat,1,1,2,348,7
data004.mat,2,1,15,908,22
data004.mat,3,1,3,472,0
data005.mat,1,1,25,697,11
data005.mat,2,1,2,406,33
data005.mat,3,1,18,270,6
data005.mat,4,1,9,352,9
data006.mat,1,1,5,311,4
data006.mat,2,1,26,392,8
data006.mat,3,1,8,219,10
data006.mat,4,1,177,334,89
data007.mat,1,1,11,105,16
data007.mat,2,1,7,443,18
data007.mat,3,0,2,388,4
data008.mat,1,1,36,843,44
data008.mat,2,1,6,841,91
data008.mat,3,1,9,649,10
data009.mat,1,1,2,469,1
data009.mat,2,1,1,145,1
data009.mat,3,1,2,146,25
data009.mat,4,1,2,174,14
data010.mat,1,1,6,152,0
data010.mat,2,1,64,366,28
data011.mat,1,1,3,311,0
data011.mat,2,1,15,690,5
data012.mat,1,1,1,221,27
data012.mat,2,1,151,251,53
data012.mat,3,1,0,188,752
data014.mat,1,1,83,225,14
data014.mat,2,1,4,707,63
data014.mat,3,1,5,407,11
data014.mat,4,1,36,648,7
data014.mat,5,1,39,344,44
data014.mat,6,1,4,144,2
data015.mat,1,1,7,408,2
data016.mat,1,1,7,1136,107
data016.mat,2,1,11,1014,22
data016.mat,3,1,0,885,0
data016.mat,4,1,3,431,3
data016.mat,5,1,2,634,4
data017.mat,1,1,3,235,0
data017.mat,2,1,22,196,0
data017.mat,3,1,11,253,0
data019.mat,1,1,23,931,9
data019.mat,2,1,12,243,6
data019.mat,3,1,16,501,12
data019.mat,4,1,275,308,146
data019.mat,5,1,78,336,32
data020.mat,1,1,107,311,12
data020.mat,2,1,34,509,1
data020.mat,3,1,8,298,52
data020.mat,4,1,6,370,2
data020.mat,5,1,3,287,10
data020.mat,6,1,14,915,3
data020.mat,7,1,48,529,2
data021.mat,1,1,3,1300,22
data021.mat,2,1,14,635,3
data022.mat,1,1,5,566,2
data022.mat,2,1,3,378,0
data022.mat,3,1,114,735,123
data023.mat,1,1,1,1162,8
data023.mat,2,1,6,259,6
data023.mat,3,1,1,280,5
data023.mat,4,1,2,484,71
data023.mat,5,1,0,534,47
data024.mat,1,1,2,555,5
data025.mat,1,1,7,343,2
data025.mat,2,1,33,126,5
data025.mat,3,1,3,255,0
data025.mat,4,1,0,479,1
data025.mat,5,1,53,294,5
data026.mat,1,1,725,340,0
data026.mat,2,1,12,186,8
data026.mat,3,1,3,72,69
data027.mat,1,1,118,486,3
data027.mat,2,1,31,565,66
data027.mat,3,1,42,341,497
data028.mat,1,1,3,620,87
data028.mat,2,1,9,164,6
data029.mat,1,1,9,492,13
data029.mat,2,1,1,196,2
data029.mat,3,1,31,173,15
data030.mat,1,1,2,449,8
data030.mat,2,1,3,337,57
data030.mat,3,1,50,687,7
data031.mat,1,1,24,178,9
data032.mat,1,0,1,701,16
data032.mat,2,1,15,326,9
