objArrayNum,objNum,isGood,cy.RNA,tmr.RNA,GAPDH.RNA,alexa.RNA
1,1,true,9,20,185,0
1,2,true,85,68,403,1
1,3,true,203,79,300,0
1,4,true,92,29,253,0
1,5,true,124,86,469,0
1,6,true,437,179,468,0
1,7,true,150,91,371,1
1,8,true,290,170,384,6
2,1,true,282,90,331,0
2,2,true,473,110,755,1
2,3,true,157,52,313,0
2,4,true,203,116,439,0
2,5,true,81,55,146,0
3,1,true,158,0,301,0
3,2,true,179,51,393,0
4,1,true,112,70,265,0
4,2,true,45,64,274,0
4,3,true,247,140,499,3
4,4,true,266,37,651,1
6,1,true,55,321,242,0
7,1,true,38,81,156,0
7,2,true,67,166,482,2
7,3,true,561,326,256,2
7,4,true,142,47,333,0
7,5,true,252,61,67,3
8,1,true,152,118,292,1
8,2,true,464,151,315,9
8,3,true,70,11,52,1
8,4,true,287,144,387,5
9,1,true,278,79,478,6
9,2,true,259,264,55,1
10,1,true,312,168,517,2
10,2,true,122,71,59,2
10,3,true,315,293,240,2
10,4,true,182,223,267,2
11,1,true,51,8,56,2
11,2,true,229,190,469,2
11,3,true,327,20,324,1
11,4,true,288,11,293,1
12,1,true,352,67,442,2
12,2,true,250,32,368,1
12,3,true,268,247,385,0
12,4,true,273,135,244,1
13,1,true,338,127,185,0
13,2,true,376,140,402,0
13,3,true,300,376,599,1
14,1,true,222,267,677,0
14,2,true,107,97,469,0
14,3,true,80,119,184,1
14,4,true,272,274,360,0
15,1,true,364,60,545,0
15,2,true,363,184,531,1
15,3,true,178,114,266,2
16,1,true,175,144,468,1
16,2,true,324,143,368,2
16,3,true,65,77,544,1
16,4,true,19,30,301,0
