dataFile,objNum,isGood,cy.RNA,GAPDH.RNA
data001.mat,1,1,0,416
data001.mat,2,1,2,471
data001.mat,3,1,2,332
data002.mat,1,1,5,575
data002.mat,2,1,41,343
data002.mat,3,1,4,241
data002.mat,4,1,1,241
data003.mat,1,1,7,478
data003.mat,2,0,1,215
data003.mat,3,1,21,596
data003.mat,4,1,58,632
data003.mat,5,1,2,313
data004.mat,1,1,1,321
data004.mat,2,1,39,448
data004.mat,3,1,3,899
data004.mat,4,1,20,168
data005.mat,1,1,59,370
data005.mat,2,1,0,369
data005.mat,3,1,59,486
data005.mat,4,0,0,910
data006.mat,1,1,3,391
data006.mat,2,1,48,256
data006.mat,3,1,6,423
data007.mat,1,1,102,681
data007.mat,2,1,14,593
data008.mat,1,1,1,459
data008.mat,2,1,0,508
data008.mat,3,1,0,408
data009.mat,1,1,3,621
data009.mat,2,1,1,600
data009.mat,3,1,25,328
data009.mat,4,1,3,643
data014.mat,1,1,28,800
data014.mat,2,1,0,1251
data014.mat,3,1,3,406
data015.mat,1,1,5,664
data015.mat,2,0,1,1
data015.mat,3,1,42,664
data022.mat,1,1,2,541
data022.mat,2,1,2,349
data022.mat,3,1,1,886
data022.mat,4,0,1,2
data023.mat,1,0,0,390
data023.mat,2,1,32,366
data023.mat,3,1,3,565
data023.mat,4,1,90,448
data024.mat,1,1,23,699
data024.mat,2,0,1,306
data024.mat,3,1,1,724
data025.mat,1,0,7,1
data025.mat,2,1,0,464
data025.mat,3,1,1,441
data025.mat,4,1,23,396
data026.mat,1,0,0,850
data026.mat,2,0,1,697
data027.mat,1,1,3,581
data027.mat,2,1,0,682
data027.mat,3,1,13,328
data028.mat,1,1,25,663
data028.mat,2,1,10,469
data029.mat,1,1,25,899
data029.mat,2,1,44,380
data029.mat,3,0,0,728
data029.mat,4,0,0,317
data030.mat,1,1,36,306
data030.mat,2,1,4,353
data030.mat,3,0,15,565
data031.mat,1,0,4,3
data031.mat,2,1,4,302
data032.mat,1,0,5,376
data032.mat,2,1,9,909
data032.mat,3,1,0,331
data032.mat,4,1,39,609
data033.mat,1,1,10,411
data033.mat,2,1,5,423
data033.mat,3,1,2,291
data033.mat,4,1,48,397
data033.mat,5,1,1,641
data033.mat,6,1,2,258
data033.mat,7,1,1,219
data034.mat,1,1,1,386
data034.mat,2,1,100,711
data035.mat,1,1,15,590
data035.mat,2,1,1,489
data035.mat,3,1,17,472
data035.mat,4,1,118,512
data035.mat,5,1,2,641
