,experimentid,N,Aggrecan.RNA.mean,Aggrecan.RNA.sd,Aggrecan.RNA.se,Aggrecan.RNA.CV,GAPDH.RNA.mean,GAPDH.RNA.sd,GAPDH.RNA.se,GAPDH.RNA.CV,Osteopontin.RNA.mean,Ostepontin.RNA.sd,Osteopontin.RNA.se,Osteopontin.RNA.CV,LPL.RNA.mean,LPL.RNA.sd,LPL.RNA.se,LPL.RNA.CV,AggperGAPDH.RNA.mean,AggperGAPDH.RNA.sd,AggperGAPDH.RNA.se,AggperGAPDH.RNA.CV,AggGAPDH.RNA.cor,GAPDH.RNA.range,cy.RNA.range,AggGAPDH.RNA.corsquared,X,Cell.Type,Clone,Substrate,Loading,Media,Donor,Days.CM,Passage,Stain,Purpose,Date.FISHed,Date.Imaged,Good.,Data.Processed.,FISHed.Processed.By,Notes,GFP.dye,GFP.type,GFP.target,alexa.dye,alexa.target,TMR.dye,TMR.target,cy.dye,cy.target,nir.dye,nir.target,dapi.dye,dapi.target
1,A100,64,331.09375,142.507,17.813375,0.430412836,424.234375,184.0957086,23.01196357,0.433948118,171.59375,150.5663086,18.82078858,0.877458,1.578125,2.641576534,0.330197067,1.673870279,0.924921132,0.597265033,0.074658129,0.645746986,0.145654365,992,703,0.021215194,200,chondrocyte,het,agarose,static,basal,1B,1,5,FixDead,chondrocyte redifferentiation core,7/15/14,7/16/14,,,,,atto488,FixableDead,dead cells,alexa594,LPL,cy3,osteopontin,a647N,aggrecan,atto700,GAPDH,dapi,DNA
2,A101,64,131.84375,97.7975263,12.22469079,0.741768391,153.578125,91.36370796,11.4204635,0.59490053,52.8125,82.69889445,10.33736181,1.565896226,0.546875,1.006797335,0.125849667,1.84100084,0.872201358,0.608304562,0.07603807,0.697435926,0.67614006,533,433,0.45716538,201,chondrocyte,het,agarose,static,basal,1B,14,5,FixDead,chondrocyte redifferentiation core,7/21/14,7/22/14,,,,,atto488,FixableDead,dead cells,alexa594,LPL,cy3,osteopontin,a647N,aggrecan,atto700,GAPDH,dapi,DNA
3,A104,47,211.3191489,113.2778628,16.52327449,0.536051102,146.3191489,82.37932053,12.01625889,0.563011206,116.5957447,121.9056406,17.78176522,1.045541078,0.510638298,0.85649286,0.124932324,1.677298517,1.629429271,0.808323752,0.117906137,0.49607784,0.469186287,365,464,0.220135772,204,chondrocyte,het,agarose,static,basal,2,1,0,FixDead,chondrocyte redifferentiation core,8/18/14,8/19/14,,,,,atto488,FixableDead,dead cells,alexa594,LPL,cy3,osteopontin,a647N,aggrecan,atto700,GAPDH,dapi,DNA
4,A105,46,187.826087,71.79764909,10.58598583,0.382256002,107.326087,76.74316599,11.31516252,0.715046716,50.45652174,67.86840421,10.00665028,1.345086856,0.304347826,0.510753918,0.075306557,1.678191446,2.914488657,2.526425577,0.372501129,0.866850372,0.308372258,277,452,0.09509345,205,chondrocyte,het,agarose,static,basal,2,14,0,FixDead,chondrocyte redifferentiation core,8/18/14,8/19/14,,,,,atto488,FixableDead,dead cells,alexa594,LPL,cy3,osteopontin,a647N,aggrecan,atto700,GAPDH,dapi,DNA
5,A108,59,267.779661,112.9548381,14.70546736,0.42182008,210.7118644,125.6656828,16.36027839,0.596386364,132.4576271,109.9219664,14.31062109,0.829865133,1.711864407,2.66555841,0.347026147,1.557108378,2.469777253,3.461358159,0.450630449,1.401485966,0.009275362,508,518,8.60E-05,210,chondrocyte,het,agarose,static,basal,2,1,5,FixDead,chondrocyte redifferentiation core,8/18/14,8/19/14,,,,,atto488,FixableDead,dead cells,alexa594,LPL,cy3,osteopontin,a647N,aggrecan,atto700,GAPDH,dapi,DNA
6,A109,50,109.9,93.13173685,13.17081653,0.847422537,101.72,64.73621199,9.155082897,0.636415769,47.56,44.84629532,6.342223907,0.942941449,0.56,1.180798761,0.166990162,2.108569216,1.254446867,1.223015945,0.172960574,0.974944398,0.487997465,345,355,0.238141526,211,chondrocyte,het,agarose,static,basal,2,14,5,FixDead,chondrocyte redifferentiation core,8/18/14,8/19/14,,,,,atto488,FixableDead,dead cells,alexa594,LPL,cy3,osteopontin,a647N,aggrecan,atto700,GAPDH,dapi,DNA
7,A11,101,77.52475248,84.7076849,8.428729677,1.092653407,200.8019802,101.9066259,10.14008827,0.507498112,31.75247525,41.79890093,4.159146093,1.31639819,1.366336634,2.1574187,0.214671184,1.578980353,0.501886454,0.707701074,0.070418889,1.410082038,0.116410219,582,380,0.013551339,88,MSC,het,agarose,static,CM-,3,1,NA,,MSCs het differentiation in gels core,3/4/14,3/5/14,,y AC,,,,,,alexa594,LPL,cy3,osteopontin,a647N,aggrecan,atto700,GAPDH,dapi,DNA
8,A112,60,235.6333333,103.1904553,13.32183049,0.437928089,226.1,106.8819561,13.7984012,0.472719841,128.0166667,154.6495756,19.96517436,1.208042512,0.766666667,0.945402195,0.122050899,1.233133298,1.212823243,0.777419365,0.100364409,0.640999725,0.582936818,477,476,0.339815334,214,chondrocyte,het,agarose,static,basal,3,1,0,FixDead,chondrocyte redifferentiation core,6/30/14,7/1/14,,,,,atto488,FixableDead,dead cells,alexa594,LPL,cy3,osteopontin,a647N,aggrecan,atto700,GAPDH,dapi,DNA
9,A113,53,222.2830189,89.81955787,12.33766512,0.404077461,189.490566,143.6690404,19.73446042,0.758185716,81.88679245,94.88893515,13.03399765,1.158781927,0.867924528,1.316138522,0.18078553,1.516420471,1.611051496,0.894343296,0.122847499,0.555130173,0.606421245,567,464,0.367746726,215,chondrocyte,het,agarose,static,basal,3,14,0,FixDead,chondrocyte redifferentiation core,6/30/14,7/1/14,,,,,atto488,FixableDead,dead cells,alexa594,LPL,cy3,osteopontin,a647N,aggrecan,atto700,GAPDH,dapi,DNA
10,A116,63,236.968254,109.5530463,13.80238646,0.462311067,341.3015873,164.6417063,20.74290525,0.482393614,137.9206349,154.0662092,19.41051786,1.11706424,0.793650794,1.427367644,0.17983142,1.798483232,0.855633321,0.599999503,0.075592832,0.701234382,0.292454037,823,635,0.085529364,220,chondrocyte,het,agarose,static,basal,3,1,5,FixDead,chondrocyte redifferentiation core,7/15/14,7/16/14,,,,,atto488,FixableDead,dead cells,alexa594,LPL,cy3,osteopontin,a647N,aggrecan,atto700,GAPDH,dapi,DNA
