"","experimentid","actual.rho","lower.rho","upper.rho","X","Cell.Type","Clone","Substrate","Loading","Media","Donor","Days.CM","Passage","Pre.Fix.Stain","Post.Fix.Stain","Purpose","Date.FISHed","Date.Imaged","ImageObject.","Folder","Good.","Data.Processed.","FISHed.Processed.By","Notes","Treatment.Type","Treatment.Length","GFP.dye","GFP.type","GFP.target","alexa.dye","alexa.target","TMR.dye","TMR.target","cy.dye","cy.target","nir.dye","nir.target","dapi.dye","dapi.target"
"1","A100",0.145654364783132,-0.114182693373512,0.422946090294353,200,"chondrocyte","het","agarose","static","basal","1B",1,"5","FixDead","","chondrocyte redifferentiation core","2014-07-15","2014-07-16","","/2014-07-16_P5_CH_gels/2014-07-16_Don1B_CH_gel_P5_D1","","","","","","","atto488","FixableDead","dead cells","alexa594","LPL","cy3","osteopontin","a647N","aggrecan","atto700","GAPDH","dapi","DNA"
"2","A101",0.67614005979337,0.486167952560376,0.79934309374446,201,"chondrocyte","het","agarose","static","basal","1B",14,"5","FixDead","","chondrocyte redifferentiation core","2014-07-21","2014-07-22","","/2014-07-22_CH_rediff/CH_P5_gel_Don1B_D14","","","","","","","atto488","FixableDead","dead cells","alexa594","LPL","cy3","osteopontin","a647N","aggrecan","atto700","GAPDH","dapi","DNA"
"3","A104",0.469186286964396,0.273163068169075,0.656228167175212,204,"chondrocyte","het","agarose","static","basal","2",1,"0","FixDead","","chondrocyte redifferentiation core","2014-08-18","2014-08-19","","/2014-08-19_chon_rediff_Don2/P0_D1_Don2_chon_rediff","","","","","","","atto488","FixableDead","dead cells","alexa594","LPL","cy3","osteopontin","a647N","aggrecan","atto700","GAPDH","dapi","DNA"
"4","A105",0.308372258370395,0.052498745931106,0.538840869076162,205,"chondrocyte","het","agarose","static","basal","2",14,"0","FixDead","","chondrocyte redifferentiation core","2014-08-18","2014-08-19","","/2014-08-19_chon_rediff_Don2/P0_D14_Don2_chon_rediff","","","","","","","atto488","FixableDead","dead cells","alexa594","LPL","cy3","osteopontin","a647N","aggrecan","atto700","GAPDH","dapi","DNA"
"5","A108",0.00927536167583124,-0.250269665702675,0.246705282701078,210,"chondrocyte","het","agarose","static","basal","2",1,"5","FixDead","","chondrocyte redifferentiation core","2014-08-18","2014-08-19","","/2014-08-19_chon_rediff_Don2/P5_D1_Don2_chon_rediff","","","","","","","atto488","FixableDead","dead cells","alexa594","LPL","cy3","osteopontin","a647N","aggrecan","atto700","GAPDH","dapi","DNA"
"6","A109",0.487997464654171,0.161169696055772,0.686693763948058,211,"chondrocyte","het","agarose","static","basal","2",14,"5","FixDead","","chondrocyte redifferentiation core","2014-08-18","2014-08-19","","/2014-08-19_chon_rediff_Don2/P5_D14_Don2_chon_rediff","","","","","","","atto488","FixableDead","dead cells","alexa594","LPL","cy3","osteopontin","a647N","aggrecan","atto700","GAPDH","dapi","DNA"
"7","A11",0.116410219295262,-0.0766856382366676,0.316841977704332,88,"MSC","het","agarose","static","CM-","3",1,NA,"","","MSCs het differentiation in gels core","2014-03-04","2014-03-05","","","","y AC","","","","","","","","alexa594","LPL","cy3","osteopontin","a647N","aggrecan","atto700","GAPDH","dapi","DNA"
"8","A112",0.582936818496471,0.428055823307061,0.715543449935995,214,"chondrocyte","het","agarose","static","basal","3",1,"0","FixDead","","chondrocyte redifferentiation core","2014-06-30","2014-07-01","","","","","","","","","atto488","FixableDead","dead cells","alexa594","LPL","cy3","osteopontin","a647N","aggrecan","atto700","GAPDH","dapi","DNA"
"9","A113",0.606421244503456,0.350200078995481,0.767632892701885,215,"chondrocyte","het","agarose","static","basal","3",14,"0","FixDead","","chondrocyte redifferentiation core","2014-06-30","2014-07-01","","","","","","","","","atto488","FixableDead","dead cells","alexa594","LPL","cy3","osteopontin","a647N","aggrecan","atto700","GAPDH","dapi","DNA"
"10","A116",0.292454036913355,-0.0298571877561197,0.531624735151329,220,"chondrocyte","het","agarose","static","basal","3",1,"5","FixDead","","chondrocyte redifferentiation core","2014-07-15","2014-07-16","","/2014-07-16_P5_CH_gels/2014-07-16_Don3_CH_gel_P5_D1","","","","","","","atto488","FixableDead","dead cells","alexa594","LPL","cy3","osteopontin","a647N","aggrecan","atto700","GAPDH","dapi","DNA"
