dataFile,objNum,isGood,alexa.RNA,GAPDH.RNA,cy.RNA
data001.mat,1,1,0,1264,7
data001.mat,2,0,1,100,13
data001.mat,3,0,27,58,7
data002.mat,1,1,0,1334,42
data002.mat,2,1,0,1047,3
data002.mat,3,1,1,965,5
data003.mat,1,1,0,886,17
data003.mat,2,1,0,1043,54
data004.mat,1,1,0,890,44
data004.mat,2,1,0,694,2
data004.mat,3,1,2,1302,1
data005.mat,1,1,0,1006,12
data005.mat,2,1,0,941,4
data005.mat,3,1,0,583,7
data005.mat,4,1,0,1252,10
data006.mat,1,1,0,828,66
data006.mat,2,1,0,296,4
data006.mat,3,1,0,465,2
data006.mat,4,1,0,1163,3
data007.mat,1,1,2,1041,1
data007.mat,2,1,0,1355,146
data007.mat,3,1,1,1116,4
data007.mat,4,1,0,733,77
data008.mat,1,1,0,800,4
data008.mat,2,1,0,1156,7
data008.mat,3,0,0,801,4
data008.mat,4,1,1,753,2
data009.mat,1,1,0,444,1
data009.mat,2,1,0,505,1
data009.mat,3,1,2,352,0
data009.mat,4,1,0,327,2
data009.mat,5,1,0,404,3
data009.mat,6,1,0,917,36
data010.mat,1,1,0,846,0
data010.mat,2,1,2,468,86
data010.mat,3,1,1,914,89
data010.mat,4,1,0,1281,40
data010.mat,5,1,0,626,44
data010.mat,6,1,0,511,2
data011.mat,1,1,0,707,3
data011.mat,2,1,0,855,2
data011.mat,3,1,0,1111,8
data011.mat,4,1,0,1135,62
data011.mat,5,1,3,899,5
data011.mat,6,1,0,524,2
data012.mat,1,1,0,1419,6
data012.mat,2,1,0,628,3
data012.mat,3,1,0,1043,2
data012.mat,4,1,0,527,2
data012.mat,5,1,0,864,0
data013.mat,1,1,0,791,9
data013.mat,2,1,0,804,10
data013.mat,3,1,0,1239,21
data013.mat,4,1,0,611,28
data013.mat,5,1,1,1003,1
data014.mat,1,1,0,1032,40
data014.mat,2,1,0,577,10
data014.mat,3,1,0,757,38
data014.mat,4,1,0,749,41
data015.mat,1,1,0,1286,7
data015.mat,2,1,0,718,8
data016.mat,1,1,0,867,6
data016.mat,2,1,0,1134,7
data016.mat,3,1,0,658,26
data016.mat,4,1,0,748,13
data016.mat,5,1,0,754,1
data017.mat,1,1,0,1100,2
data017.mat,2,1,0,1051,167
data017.mat,3,1,0,582,172
data018.mat,1,1,0,989,1
data018.mat,2,1,0,625,3
data018.mat,3,1,0,712,1
data019.mat,1,1,0,958,3
data019.mat,2,1,0,869,4
data019.mat,3,1,0,935,18
data020.mat,1,1,0,731,4
data020.mat,2,1,0,698,2
data020.mat,3,1,0,1290,3
data021.mat,1,1,0,426,40
data021.mat,2,1,0,596,73
data022.mat,1,1,0,708,7
data022.mat,2,1,0,1155,4
data023.mat,1,1,0,629,3
data024.mat,1,1,0,780,11
data025.mat,1,1,0,503,2
data026.mat,1,1,0,1899,4
data026.mat,2,1,0,1020,32
data027.mat,1,1,15,1196,2
data028.mat,1,1,0,839,33
data029.mat,1,1,0,1065,8
data030.mat,1,1,1,1180,3
data031.mat,1,1,0,1424,22
data032.mat,1,1,0,1752,23
data033.mat,1,1,0,1772,2
data034.mat,1,1,0,1879,14
data035.mat,1,1,0,1545,46
data036.mat,1,1,0,1559,19
data037.mat,1,1,0,1092,2
data038.mat,1,1,0,1053,3
data039.mat,1,1,0,937,2
data039.mat,2,1,0,614,0
data040.mat,1,1,3,1039,1
