Cell Type,Clone,Substrate,Loading,Media,Donor,Days CM,Passage,Pre-Fix.Stain,Post-Fix.Stain,Experiment ID,Purpose,Date FISHed,Date Imaged,ImageObject?,Folder,Good?,Data Processed?,FISHed/Processed By,Notes,Treatment.Type,Treatment.Length,GFP.dye,GFP.type,GFP.target,alexa.dye,alexa.target,TMR.dye,TMR.target,cy.dye,cy.target,nir.dye,nir.target,dapi.dye,dapi.target
MSC,het,glass,static,CM-,,,,,,G1,,2013-06-24,2013-06-25,,/2013-06-25 Ally/CM Minus Media,y,y,,,,,,,,alexa594,COMP,cy3,GAPDH,a647N,aggrecan,,,dapi,DNA
MSC,het,glass,static,CM+,,,,,,G2,,2013-06-24,2013-06-25,,/2013-06-25 Ally/Differentiation Media,y,y,,,,,,,,alexa594,COMP,cy3,GAPDH,a647N,aggrecan,,,dapi,DNA
MSC,het,scaffold,static,CM-,,,,,,S1,MSCs on scaffolds,2013-06-26,2013-06-27,,/2013-06-27/CM Minus scaffold,y,y,,,,,,,,alexa594,COMP,cy3,GAPDH,a647N,aggrecan,,,dapi,DNA
MSC,het,scaffold,static,CM+,,,,,,S2,MSCs on scaffolds,2013-06-26,2013-06-27,,/2013-06-27/CM Plus,y,y,,,,,,,,alexa594,COMP,cy3,GAPDH,a647N,aggrecan,,,dapi,DNA
MSC,het,scaffold,DL,CM-,,,,,,S3,MSCs on scaffolds,2013-06-26,2013-06-27,,/2013-06-27/CM Minus scaffold,n,N/A,,,,,,,,alexa594,COMP,cy3,GAPDH,a647N,aggrecan,,,dapi,DNA
MSC,K,scaffold,DL,CM-,,,,,,S4,MSCs on scaffolds (clone),2013-07-04,2013-07-05,,/2013-07-05/K DL,y,y,,,,,,,,alexa594,COMP,cy3,GAPDH,a647N,aggrecan,,,dapi,DNA
MSC,K,scaffold,static,CM-,,,,,,S5,MSCs on scaffolds (clone),2013-07-04,2013-07-05,,/2013-07-05/K Static,y,y,,,,,,,,alexa594,COMP,cy3,GAPDH,a647N,aggrecan,,,dapi,DNA
MSC,het,scaffold,DL,CM-,,,,,,S6,MSCs on scaffolds,2013-07-08,2013-07-09,,/2013-07-09,y (t),y,,,,,,,,alexa594,COMP,cy3,GAPDH,a647N,aggrecan,,,dapi,DNA
MSC,het,scaffold,DL,CM-,,,,,,S7,MSCs on scaffolds,2013-07-09,2013-07-10,,/2013-07-10/DL Het,y (t),y,,,,,,,,alexa594,COMP,cy3,GAPDH,a647N,aggrecan,,,dapi,DNA
MSC,F,scaffold,DL,CM-,,,,,,S8,MSCs on scaffolds (clone),2013-07-14,2013-07-15,,/2013-07-15/F DL,n,N/A,,,,,,,,alexa594,COMP,cy3,GAPDH,a647N,aggrecan,,,dapi,DNA
