Parent_Cell,Starting_Stage,Division_Scan,Daughter1,EndingStage1,Daughter2,EndingStage2,Well,Cell,Starting_Stage,Dead_Scan
25,95,122,25-1,95,25-2,95,left,27,95,66
6,95,4,6-1,95, 6-2,95,left,11-2,95,
4,95,7,4-1,95,4-2,95,left,22,95,82
7,95,32,7-1,94,7-2,94,left,10,95,
11,95,2,11-1,95,11-2,95 (dead),left,32,95,82
13,95,130,13-1,95,13-2,95,left,52,112,35
17,95,11,17-1,95,17-2,95,left,53,112,35
18,95,13,18-1,95,18-2,,left,62-1,112,68
34,95,2,34-1,95,34-2,DIV,left,77,112,95
34-2,95,127,34-2-1,95,34-2-2,95,left,79,113,32
37,95,20,37-1,95,37-2,94,left,111-2,94,82
42,112,40,42-1,112,42-2,112,left,119-2,94,82
46,112,17,46-1,,46-2,??,left,138,111,22
47,112,11,47-1,112,47-2,95,left,,,
49,112,20,49-1,112,49-2,112,left,,,
50,112,19,50-1,112,50-2,112,left,,,
55,112,22,55-1,111,55-2,112,left,,,
58,112,21,58-1,112,58-2,112,left,,,
62,112,66,62-1,112 (DEAD),62-2,112,left,,,
66,112,9,66-1,112,66-2,112,left,,,
67,112,7,67-1,DIV,67-2,95,left,,,
70,112,1,70-1,112,70-2,112,left,,,
71,112,1,71-1,112,71-2,112,left,,,
73,112,6,73-1,95,73-2,112,left,,,
41,112,30,41-1,95,41-2,112,left,,,
67-1,95,92,67-1-1,112,67-1-2,95,left,,,
74,112,50,74-1,113,74-2,113,left,,,
80,113,25,80-1,113,80-2,113,left,,,
81,113,20,81-1,113,81-2,113,left,,,
87,113,11,87-1,113,87-2,97,left,,,
89,113,63,89-1,114,89-2,113,left,,,
90,113,78,90-1,113,90-2,113,left,,,
91,113,1,91-1,113,91-2,DIV,left,,,
91-2,113,62,91-2-1,113,91-2-2,113,left,,,
92,113,20,92-1,113,92-2,113,left,,,
95,94,6,95-1,94,95-2,94,left,,,
96,94,10,96-1,76,96-2,77,left,,,
107,94,23,107-1,93,107-2,94,left,,,
108,94,14,108-1,94,108-2,94,left,,,
109,94,20,109-1,94,109-2,94,left,,,
110,94,2,110-1,111,110-2,DIV,left,,,
110-2,95,131,110-2-1,95,110-2-2,95,left,,,
111,94,3,111-1,111,111-2,94 (dead),left,,,
117,94,10,117-1,94,117-2,111,left,,,
119,94,36,119-1,93 (dead),119-2,93,left,,,
127.5,111,-1,127,94,128,111,left,,,
159,129,4,159-1,129,159-2,129,left,,,
168,129,9,168-1,129,168-2,,left,,,
152,129,21,152-1,130,152-2,130,left,,,
175,78,1,DIV,78,175-2,78,left,,,
175,78,73,175-1-1,78,175-1-2,78,left,,,
176,114,101,176-1,114,176-2,114,left,,,
177,131,107,177-1,131,177-2,131,left,,,
178,147,116,178-1,147,178-2,146,left,,,
179,80,9,179-1,80,179-2,80,left,,,
180,80,17,180-1,80,180-2,80,left,,,
181,80,18,181-1,80,181-2,81,left,,,
190,39,121,190-1,39,190-2,39,right,,,
191,41,111,191-1,41,191-2,41,right,,,
192,41,54,192-1,41,192-2,41,right,,,
193,42,35,193-1,42,193-2,42,right,,,
194,42,12,194-1,42,194-2,42,right,,,
195,43,18,195-1,43,195-2,42,right,,,
196,43,33,196-1,43,196-2,43,right,,,
197,43,112,197-1,43,197-2,43,right,,,
198,43,62,198-1,43,198-2,43,right,,,
199,43,84,199-1,43,199-2,43,right,,,
200,43,50,200-1,43,200-2,43,right,,,
201,56,137,201-1,56,201-2,56,right,,,
202,59,108,202-1,59,202-2,59,right,,,
203,59,116,203-1,59,203-2,59,right,,,
204,60,138,204-1,60,204-2,60,right,,,
205,60,130,205-1,60,205-2,60,right,,,
206,61,16,206-1,61,206-2,61,right,,,
207,61,67,207-1,61,207-2,61,right,,,
208,73,136,208-1,73,208-2,73,right,,,
209,73,92,209-1,73,209-2,73,right,,,
210,75,101,210-1,75,210-2,92,right,,,
211,75,115,211-1,75,211-2,75,right,,,
212,76,123,212-1,76,212-2,76,right,,,
213,77,109,213-1,77,213-2,77,right,,,
214,77,90,214-1,77,214-2,77,right,,,
215,77,52,215-1,77,215-2,77,right,,,
216,78,69,216-1,78,216-2,79,right,,,
217,78,37,217-1,78,217-2,78,right,,,
218,87,116,218-1,87,218-2,87,right,,,
219,87,99,219-1,87,219-2,87,right,,,
220,90,134,220-1,90,220-2,90,right,,,
221,90,123,221-1,90,221-2,90,right,,,
222,90,38,222-1,90,222-2,90,right,,,
223,91,138,223-1,91,223-2,91,right,,,
224,92,131,224-1,92,224-2,92,right,,,
225,92,73,225-1,92,225-2,92,right,,,
226,92,70,226-1,92,226-2,92,right,,,
227,92,44,227-1,92,227-2,92,right,,,
228,92,44,228-1,92,228-2,92,right,,,
229,94,2,229-1,94,229-2,94,right,,,
230,95,128,230-1,95,230-2,95,right,,,
231,95,53,231-1,95,231-2,95,right,,,
232,96,59,232-1,96,232-2,96,right,,,
