Sample,Mean,StDev,Media
Het,72.47393801,7.836154146,CM-
B,120.4616616,5.373494074,CM-
C,0,0,CM-
D,144.5275394,20.2206358,CM-
E,49.07459062,4.763181041,CM-
G,229.6284544,27.47222534,CM-
H,55.38319856,12.12057468,CM-
J,54.24226975,9.868270263,CM-
K,0,0,CM-
L,128.3616364,35.15393902,CM-
O,85.61545454,18.21269803,CM-
P,224.2692308,0,CM-
Het,159.0630268,14.35425097,CM+
B,425.458429,53.6016129,CM+
C,152.4928169,40.45586873,CM+
D,241.1520837,28.5927799,CM+
E,269.5530994,22.96290166,CM+
G,265.877939,16.38899893,CM+
H,441.0374176,66.24561187,CM+
J,41.05299682,1.57514338,CM+
K,362.7610218,0,CM+
L,249.5026622,40.85448249,CM+
O,299.2750796,69.90620142,CM+
F,463.6217617,0,CM+
I,370.2094496,0,CM+
M,272.8885707,0,CM+
Q,114.6787272,0,CM+
P,171.5898792,0,CM+
