Sample,Mean,StDev,Media
Het,8.87385,0.280964495,CM-
B,11.0906,0.435196774,CM-
C,0,0,CM-
D,16.550625,4.137105,CM-
E,9.38135,0.368966594,CM-
G,123.85425,7.685548609,CM-
H,8.6411,0.56975032,CM-
J,7.39825,0.276582361,CM-
K,0,0,CM-
L,8.2319,1.981621179,CM-
O,8.59265,0.39786126,CM-
P,29.155,0,CM-
Het,103.2927,4.904373455,CM+
B,115.573,5.272835762,CM+
C,110.674,1.175850003,CM+
D,128.92665,11.00689487,CM+
E,98.0623,14.8909639,CM+
G,141.6274,5.042561718,CM+
H,94.6705,1.005612008,CM+
J,14.8833,1.10604474,CM+
K,132.06315,0,CM+
L,146.6999,4.571936578,CM+
O,142.86645,3.324394255,CM+
F,107.3748,0,CM+
I,114.006,0,CM+
M,85.7757,0,CM+
Q,53.2482,0,CM+
P,68.1555,0,CM+
