"","Cell.Type","Clone","Substrate","Loading","Media","Donor","Days.CM","Passage","Pre.Fix.Stain","Post.Fix.Stain","Experiment.ID","Purpose","Date.FISHed","Date.Imaged","ImageObject.","Folder","Good.","Data.Processed.","FISHed.Processed.By","Notes","Treatment.Type","Treatment.Length","GFP.dye","GFP.type","GFP.target","alexa.dye","alexa.target","TMR.dye","TMR.target","cy.dye","cy.target","nir.dye","nir.target","dapi.dye","dapi.target"
"1","MSC","het","glass","static","CM-","",NA,"","","","G1","","2013-06-24","2013-06-25","","/2013-06-25 Ally/CM Minus Media","y","y","","","","","","","","alexa594","COMP","cy3","GAPDH","a647N","aggrecan","","","dapi","DNA"
"2","MSC","het","glass","static","CM+","",NA,"","","","G2","","2013-06-24","2013-06-25","","/2013-06-25 Ally/Differentiation Media","y","y","","","","","","","","alexa594","COMP","cy3","GAPDH","a647N","aggrecan","","","dapi","DNA"
"3","MSC","het","scaffold","static","CM-","",NA,"","","","S1","MSCs on scaffolds","2013-06-26","2013-06-27","","/2013-06-27/CM Minus scaffold","y","y","","","","","","","","alexa594","COMP","cy3","GAPDH","a647N","aggrecan","","","dapi","DNA"
"4","MSC","het","scaffold","static","CM+","",NA,"","","","S2","MSCs on scaffolds","2013-06-26","2013-06-27","","/2013-06-27/CM Plus","y","y","","","","","","","","alexa594","COMP","cy3","GAPDH","a647N","aggrecan","","","dapi","DNA"
"5","MSC","het","scaffold","DL","CM-","",NA,"","","","S3","MSCs on scaffolds","2013-06-26","2013-06-27","","/2013-06-27/CM Minus scaffold","n",NA,"","","","","","","","alexa594","COMP","cy3","GAPDH","a647N","aggrecan","","","dapi","DNA"
"6","MSC","K","scaffold","DL","CM-","",NA,"","","","S4","MSCs on scaffolds (clone)","2013-07-04","2013-07-05","","/2013-07-05/K DL","y","y","","","","","","","","alexa594","COMP","cy3","GAPDH","a647N","aggrecan","","","dapi","DNA"
"7","MSC","K","scaffold","static","CM-","",NA,"","","","S5","MSCs on scaffolds (clone)","2013-07-04","2013-07-05","","/2013-07-05/K Static","y","y","","","","","","","","alexa594","COMP","cy3","GAPDH","a647N","aggrecan","","","dapi","DNA"
"8","MSC","het","scaffold","DL","CM-","",NA,"","","","S6","MSCs on scaffolds","2013-07-08","2013-07-09","","/2013-07-09","y (t)","y","","","","","","","","alexa594","COMP","cy3","GAPDH","a647N","aggrecan","","","dapi","DNA"
"9","MSC","het","scaffold","DL","CM-","",NA,"","","","S7","MSCs on scaffolds","2013-07-09","2013-07-10","","/2013-07-10/DL Het","y (t)","y","","","","","","","","alexa594","COMP","cy3","GAPDH","a647N","aggrecan","","","dapi","DNA"
"10","MSC","F","scaffold","DL","CM-","",NA,"","","","S8","MSCs on scaffolds (clone)","2013-07-14","2013-07-15","","/2013-07-15/F DL","n",NA,"","","","","","","","alexa594","COMP","cy3","GAPDH","a647N","aggrecan","","","dapi","DNA"
"11","MSC","F","scaffold","static","CM-","",NA,"","","","S9","MSCs on scaffolds (clone)","2013-07-14","2013-07-15","","/2013-07-15/F Static","n",NA,"","","","","","","","alexa594","COMP","cy3","GAPDH","a647N","aggrecan","","","dapi","DNA"
"12","MSC","F","scaffold","static","CM-","",NA,"","","","S10","MSCs on scaffolds (clone)","2013-07-16","2013-07-17","","/2013-07-17","y","y","","","","","","","","alexa594","COMP","cy3","GAPDH","a647N","aggrecan","","","dapi","DNA"
"13","MSC","M","scaffold","static","CM-","",NA,"","","","S11","MSCs on scaffolds (clone)","2013-07-17","2013-07-18","","/2013-07-18","n",NA,"","","","","","","","alexa594","COMP","cy3","GAPDH","a647N","aggrecan","","","dapi","DNA"
"14","MSC","P","scaffold","DL","CM-","",NA,"","","","S12","MSCs on scaffolds (clone)","2013-07-21","2013-07-22","","/2013-07-22/P DL Scaffold","n",NA,"","","","","","","","alexa594","COMP","cy3","GAPDH","a647N","aggrecan","","","dapi","DNA"
"15","MSC","M","scaffold","DL","CM-","",NA,"","","","S13","MSCs on scaffolds (clone)","2013-07-24","2013-07-25","","/2013-07-25","n",NA,"","","","","","","","alexa594","COMP","cy3","GAPDH","a647N","aggrecan","","","dapi","DNA"
"16","MSC","het","scaffold","DL","CM-","",NA,"","","","S14","MSCs on scaffolds (checking to see if dynamic loading works)","several","several","","","n",NA,"","","","","","","","alexa594","COMP","cy3","GAPDH","a647N","aggrecan","","","dapi","DNA"
"17","MSC","L","scaffold","DL","CM-","",NA,"","","","S15","MSCs on scaffolds (clone)","","","","","","","","","","","","","","","","","","","","","","",""
"18","MSC","J","scaffold","DL","CM-","",NA,"","","","S16","MSCs on scaffolds (clone)","","","","","","","","","","","","","","","","","","","","","","",""
"19","MSC","P","scaffold","static","CM-","",NA,"","","","S17","MSCs on scaffolds (clone)","","","","","","","","","","","","","","","","","","","","","","",""
"20","MSC","L","scaffold","static","CM-","",NA,"","","","S18","MSCs on scaffolds (clone)","","","","","","","","","","","","","","","","","","","","","","",""
"21","MSC","J","scaffold","static","CM-","",NA,"","","","S19","MSCs on scaffolds (clone)","","","","","","","","","","","","","","","","","","","","","","",""
"22","MSC","het","glass","static","CM+","",NA,"","","","G3","small colonies before passaging","2013-08-07","2013-08-08","","/2013-08-08","y","y","","large/small colonies","","","","","","alexa594","COMP","cy3","GAPDH","a647N","aggrecan","","","dapi","DNA"
"23","MSC","het","scaffold","static","CM-","",0,"","","","S20","glass and scaffold direct comparison","","","","","","","","","","","","","","","","","","","","","","",""
"24","MSC","het","scaffold","static","CM+","",0,"","","","S21","glass and scaffold direct comparison","","","","","","","","","","","","","","","","","","","","","","",""
"25","MSC","het","scaffold","static","CM-","",4,"","","","S22","glass and scaffold direct comparison","","","","","","","","","","","","","","","","","","","","","","",""
"26","MSC","het","scaffold","static","CM+","",4,"","","","S23","glass and scaffold direct comparison","","","","","","","","","","","","","","","","","","","","","","",""
"27","MSC","het","glass","static","CM-","",0,"","","","G4","glass and scaffold direct comparison","2013-08-20","2013-08-21","","/2013-08-21","y","y","","","","","","","","alexa594","COMP","cy3","GAPDH","a647N","aggrecan","","","dapi","DNA"
