SegmentFileNumber,objNum,Cell Number,DataFileNumber,Well
1,1,none,,left
6,1,none,,left
2,1,none,,left
8,1,none,,left
9,1,none,,left
9,2,none,,left
10,1,none,,left
10,2,none,,left
11,1,none,,left
12,1,none,,left
12,2,none,,left
12,3,none,,left
14,1,none,,left
14,2,none,,left
14,3,175-1-1,,left
16,1,none,,left
17,1,none,,left
18,1,none,,left
18,2,none,,left
20,1,none,,left
21,1,none,,left
21,2,none,,left
21,3,none,,left
22,1,none,,left
25,1,none,,left
26,1,none,,left
30,1,none,,left
30,2,181-2,,left
30,3,none,,left
31,1,none,,left
31,2,none,,left
31,3,none,,left
34,1,none,,left
34,2,none,,left
36,1,none,,left
36,2,none,,left
37,1,none,,left
39,1,none,,left
39,2,none,,left
40,1,none,,left
41,1,none,,left
41,2,none,,left
43,1,none,,left
43,2,none,,left
45,1,none,,left
46,1,none,,left
46,2,none,,left
46,3,none,,left
46,4,none,,left
47,1,none,,left
47,2,none,,left
50,1,none,,left
51,1,none,,left
53,1,none,,left
56,1,none,,left
59,1,181-1,,left
59,2,180-2,,left
60,1,179-2,,left
60,2,none,,left
62,1,none,,left
64,1,none,,left
65,1,none,,left
66,1,none,,left
66,2,none,,left
66,3,none,,left
67,1,none,,left
67,2,none,,left
69,1,none,,left
70,1,none,,left
73,1,none,,left
74,1,none,,left
74,2,none,,left
74,3,none,,left
76,1,none,,left
83,1,none,,left
83,2,none,,left
83,3,none,,left
83,4,none,,left
87,1,none,,left
87,2,180-1,,left
90,1,none,,left
93,1,none,,left
95,1,none,,left
95,2,none,,left
97,1,96-1,,left
97,2,none,,left
97,3,none,,left
99,1,none,,left
99,2,none,,left
99,3,none,,left
100,1,100,,left
101,1,96-2,,left
101,2,none,,left
101,3,102,,left
103,1,none,,left
103,2,none,,left
104,1,none,,left
104,2,none,,left
104,3,none,,left
105,1,none,,left
105,2,none,,left
105,3,none,,left
106,1,none,,left
106,2,12,,left
106,3,none,,left
106,4,39,,left
108,1,none,,left
108,2,none,,left
109,1,none,,left
109,2,none,,left
109,3,none,,left
109,4,none,,left
111,1,none,,left
112,1,none,,left
112,2,none,,left
112,3,none,,left
115,1,none,,left
116,1,none,,left
119,1,none,,left
119,2,none,,left
119,3,179-1,,left
119,4,none,,left
123,1,none,,left
125,1,none,,left
126,1,none,,left
129,1,none,,left
130,1,122,,left
132,1,97,,left
132,2,none,,left
132,3,none,,left
135,1,37-2,,left
135,2,1,,left
135,3,none,,left
137,1,38,,left
137,2,none,,left
137,3,24,,left
138,1,13-1,,left
138,2,13-2,,left
138,3,40,,left
139,1,none,,left
142,1,none,,left
143,1,none,,left
146,1,none,,left
147,1,none,,left
148,1,none,,left
149,1,none,,left
150,1,none,,left
150,2,none,,left
152,1,none,,left
152,2,none,,left
157,1,none,,left
158,1,none,,left
158,2,none,,left
159,1,105,,left
159,2,none,,left
159,3,none,,left
160,1,95-1,,left
160,2,none,,left
162,1,108-1,,left
162,2,95-2,,left
162,3,none,,left
165,1,none,,left
165,2,109-2,,left
165,3,2,,left
167,1,37-1,,left
168,1,1-Apr,,left
168,2,2-Apr,,left
175,1,none,,left
175,2,none,,left
176,1,none,,left
176,2,none,,left
176,3,none,,left
176,4,none,,left
178,1,none,,left
178,2,none,,left
178,3,none,,left
179,1,none,,left
181,1,none,,left
181,2,none,,left
185,1,none,,left
185,2,none,,left
185,3,none,,left
186,1,none,,left
186,2,none,,left
186,3,none,,left
187,1,none,,left
187,2,none,,left
188,1,107-1,,left
193,1,101,,left
193,2,98,,left
193,3,106,,left
195,1,none,,left
195,2,108-2,,left
195,3,109-1,,left
199,1,none,,left
199,2,3,,left
200,1,1-Nov,,left
200,2,none,,left
201,1,14,,left
202,1,none,,left
203,1,none,,left
203,2,16,,left
203,3,9,,left
203,4,17-1,,left
203,5,17-2,,left
205,1,none,,left
211,1,none,,left
211,2,none,,left
211,3,none,,left
211,4,none,,left
212,1,none,,left
212,2,none,,left
213,1,none,,left
214,1,none,,left
214,2,87-2,,left
216,1,none,,left
217,1,none,,left
217,2,none,,left
217,3,none,,left
220,1,none,,left
220,2,none,,left
221,1,119-2,,left
221,2,none,,left
221,3,99,,left
222,1,none,,left
222,2,120,,left
223,1,103,,left
225,1,107-2,,left
225,2,104,,left
226,1,117-2,,left
229,1,5,,left
231,1,23,,left
231,2,25-1,,left
231,3,30,,left
232,1,2-Nov,,left
233,1,15,,left
233,2,none,,left
236,1,none,,left
236,2,none,,left
252,1,121,,left
252,2,none,,left
252,3,none,,left
254,1,none,,left
254,2,none,,left
254,3,118,,left
256,1,114,,left
260,1,29,,left
260,2,26,,left
260,3,34-2-1,,left
260,4,34-2-2,,left
262,1,1-Jun,,left
262,2,25-2,,left
283,1,116,,left
286,1,112,,left
286,2,113,,left
286,3,125,,left
287,1,111-2D,,left
